gene,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value
ABCA2,0.05721500721500715,0.43456543456543456,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8729003824731245
ABCA3,0.01800144300144295,0.7982017982017982,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9776255448471407
ABCA4,0.0765512265512265,0.2837162837162837,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7852009934843068
ABCA5,0.1241702741702741,0.0919080919080919,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.5172599753008663
ABCA6,0.0060966810966811,0.9330669330669331,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9948015257826426
ABCA7,0.006818181818181848,0.9100899100899101,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902
ABCA8,-0.009451659451659447,0.8781218781218781,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9896578137565315
ABCA9,-0.14870129870129864,0.026973026973026972,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.258154403976926
ABCB1,0.0723665223665224,0.32367632367632365,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8121853656547534
ABCB10,0.15378787878787875,0.028971028971028972,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.2717765449199834
ABCB11,0.026551226551226548,0.6853146853146853,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9534026356836948
ABCB4,-0.1095598845598845,0.1258741258741259,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.5943411427282396
ABCB5,0.03502886002886005,0.6133866133866134,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9329283614291037
ABCB6,0.0034271284271284,0.971028971028971,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9981161758303358
ABCB7,0.043037518037518055,0.5524475524475524,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9159286416567968
ABCB8,0.11038961038961038,0.12787212787212787,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.5988688812457224
ABCB9,0.007792207792207798,0.9150849150849151,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902
ABCC1,0.1552308802308802,0.026973026973026972,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.258154403976926
ABCC10,-0.028751803751803702,0.6793206793206793,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9512346282523186
ABCC11,-0.11201298701298695,0.10989010989010989,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.5600174901086755
ABCC12,-0.02503607503607505,0.7162837162837162,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9602689961052976
ABCC2,-0.014105339105339102,0.8571428571428571,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9872150999165747
ABCC3,0.0732683982683982,0.3146853146853147,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.804733951572554
ABCC4,0.09379509379509375,0.1958041958041958,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6963395262662521
ABCC5,0.0903318903318903,0.2217782217782218,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7268981240902336
ABCC6,,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869
ABCC8,0.00483405483405485,0.945054945054945,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.995214416183168
ABCC9,0.0010461760461760502,0.993006993006993,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9988561751855998
ABCD1,0.0989538239538239,0.1848151848151848,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6832123578966633
ABCD2,-0.032756132756132796,0.6323676323676324,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9381721001671207
ABCD3,0.018181818181818146,0.7972027972027972,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9776255448471407
ABCD4,0.0152958152958153,0.8351648351648352,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9845912205922434
