donor_id,condition,analysis_group,n_cells,PGE2_synthesis_mean,PGE2_synthesis_median,PGE2_synthesis_high_fraction,PLA2G4A_mean,PLA2G4A_detection_fraction,PTGS1_mean,PTGS1_detection_fraction,PTGS2_mean,PTGS2_detection_fraction,PTGES_mean,PTGES_detection_fraction,PTGES2_mean,PTGES2_detection_fraction,PTGES3_mean,PTGES3_detection_fraction
KUL01,tumor,C1QC_like_TAM,16,0.0019116175269467462,-0.23680668542196456,0.25,0.03361304444183386,0.0625,0.048392899339147685,0.0625,0.21605873300716666,0.1875,0.0,0.0,0.0934385237039898,0.0625,0.7443914757437129,0.5
KUL01,tumor,FCN1_inflammatory_monocyte_like,161,0.20258950676325693,0.02457006629427383,0.453416149068323,0.036029643574752135,0.031055900621118012,0.24002815231894759,0.2236024844720497,0.20430757248594997,0.15527950310559005,0.012868926387879426,0.012422360248447204,0.17583503050339297,0.18633540372670807,0.9171504440996773,0.6894409937888198
KUL01,tumor,SPP1_like_TAM,156,0.3442205506154152,0.30629516453197,0.5961538461538461,0.01083546834386843,0.01282051282051282,0.318670626169461,0.33974358974358976,0.44278370660204047,0.26282051282051283,0.0,0.0,0.1703091423394654,0.20512820512820512,0.921431067407191,0.7051282051282052
KUL01,tumor,T_cells,306,-0.11030830048687496,-0.10165675169030701,0.13398692810457516,0.0,0.0,0.01181881002079867,0.00980392156862745,0.004138298805813647,0.0032679738562091504,0.0,0.0,0.1621849667318147,0.12091503267973856,0.941504244227572,0.5882352941176471
KUL01,tumor,endothelial_like,101,-0.003758775743723545,-0.03379521985987429,0.3069306930693069,0.011123601522789956,0.009900990099009901,0.10819739977440661,0.15841584158415842,0.053684273832678576,0.0594059405940594,0.005024373649714427,0.009900990099009901,0.2268607405504155,0.2871287128712871,0.8063978433168835,0.6732673267326733
KUL01,tumor,enteric_glial_like,4,0.30108807014861033,0.015127761416066338,0.5,0.3390775991158762,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3046470227583429,0.75
KUL01,tumor,fibroblast_like,311,0.45553184520503126,0.1952930045392962,0.5787781350482315,0.027969548948257768,0.05787781350482315,0.29665682494699813,0.3022508038585209,0.22967334880764428,0.22508038585209003,0.26039736396144086,0.2861736334405145,0.2559962432620504,0.4115755627009646,1.0089266139960191,0.842443729903537
KUL01,tumor,mast_cells,8,0.5486755269535396,0.44776809840782295,0.625,0.11031758058000533,0.125,0.8809493480458435,0.625,0.0,0.0,0.0,0.0,0.11031758058000533,0.125,0.8147072894483449,0.5
KUL01,tumor,other_myeloid,6,0.31475514825169076,0.40033573581440995,0.6666666666666666,0.06920812819894077,0.16666666666666666,0.15358033247758648,0.16666666666666666,0.3157210565431224,0.5,0.0,0.0,0.27723729524615354,0.5,1.0853202364909458,1.0
KUL01,tumor,pericyte_like,37,-0.044030605065183664,-0.0947748164057568,0.21621621621621623,0.04750806180394661,0.05405405405405406,0.04291207652344,0.05405405405405406,0.0,0.0,0.0,0.0,0.20128482303262102,0.2702702702702703,0.8137113116934095,0.6756756756756757
KUL01,tumor,resident_like,7,0.3404041462874439,0.4265305198512039,0.5714285714285714,0.0,0.0,0.6500787525520494,0.5714285714285714,0.0,0.0,0.0,0.0,0.11683817763820833,0.14285714285714285,1.1872746418229383,1.0
KUL01,tumor,smooth_muscle_like,64,0.04004538738921379,-0.022150073162176057,0.25,0.0,0.0,0.034773909279894905,0.046875,0.0,0.0,0.014889981176072771,0.015625,0.3109149920070587,0.328125,1.266740438980173,0.890625
KUL01,tumor,tumor_epithelial,730,0.11587717355886769,0.07134939372323901,0.43561643835616437,0.036102973451051804,0.06986301369863014,0.009415436736763894,0.019178082191780823,0.014785151187786318,0.0273972602739726,0.045455121229378524,0.07671232876712329,0.3156285522275055,0.42876712328767125,1.3584175060140005,0.8054794520547945
KUL19,border,B_cells,1011,-0.18036078839409092,-0.30917598554223086,0.10484668644906034,0.0,0.0,0.02951533246414081,0.02373887240356083,0.0019896068804108945,0.0019782393669634025,0.0030168781730166684,0.0019782393669634025,0.10426925284992629,0.08704253214638971,0.6548306771804109,0.4599406528189911
KUL19,border,C1QC_like_TAM,53,0.25763645683739067,0.17409505200117834,0.5660377358490566,0.03502505080359128,0.07547169811320754,0.3782032220595635,0.4339622641509434,0.09317305232448085,0.09433962264150944,0.0,0.0,0.2055152091072643,0.32075471698113206,1.0236251803624563,0.7169811320754716
KUL19,border,FCN1_inflammatory_monocyte_like,32,0.08107706298478173,-0.031167091394591163,0.34375,0.06584001952065283,0.0625,0.14678188324042565,0.15625,0.058627742068937075,0.03125,0.03672837234403509,0.03125,0.11612160169811608,0.125,0.8800094960716279,0.75
KUL19,border,SPP1_like_TAM,3,0.5115588449803562,0.6297698989899259,0.6666666666666666,0.0,0.0,0.6320140097804695,0.6666666666666666,0.0,0.0,0.0,0.0,0.6340177049566004,1.0,1.0395803267647123,1.0
KUL19,border,T_cells,1362,-0.15379414513683212,-0.12712254248173765,0.08883994126284875,0.0010616054156325691,0.0007342143906020558,0.001218491470234148,0.0007342143906020558,0.0012052540574668828,0.0007342143906020558,0.0022930824861672745,0.0014684287812041115,0.12035803882921411,0.08443465491923642,0.8416898308732478,0.513215859030837
KUL19,border,border_epithelial,218,0.032646675286582466,0.02162955310629398,0.26605504587155965,0.011846721014811342,0.009174311926605505,0.01300153209463709,0.009174311926605505,0.0028198191233904236,0.009174311926605505,0.0860638942718651,0.10091743119266056,0.223301418695755,0.25229357798165136,1.1746925778289883,0.6651376146788991
KUL19,border,endothelial_like,154,0.01008205242170936,-0.05482083754748074,0.2857142857142857,0.010207249146798039,0.012987012987012988,0.01831407013312969,0.032467532467532464,0.0,0.0,0.08277879386541473,0.1038961038961039,0.21545230022953052,0.2857142857142857,1.0907134547551043,0.7857142857142857
KUL19,border,enteric_glial_like,25,-0.07209419116464909,-0.04967610430232492,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11342506225904446,0.08,1.2759003306401098,0.64
KUL19,border,fibroblast_like,248,0.170833283511168,0.03610291238274797,0.4274193548387097,0.041467458368952076,0.06451612903225806,0.04395949408285182,0.06451612903225806,0.0262804398553663,0.028225806451612902,0.2656686049607434,0.29435483870967744,0.18305273279626136,0.22983870967741934,1.0254167593737964,0.7782258064516129
KUL19,border,mast_cells,29,0.5666837794717609,0.31935719260205,0.5517241379310345,0.09963639963305147,0.10344827586206896,0.7229988864486917,0.41379310344827586,0.11885110460426758,0.06896551724137931,0.0,0.0,0.1753283990565326,0.13793103448275862,1.0281448830076452,0.5862068965517241
KUL19,border,other_myeloid,28,0.24508317033162672,0.13183594654388145,0.5,0.12284017860706754,0.17857142857142858,0.16834303420015445,0.2857142857142857,0.09049668575353931,0.10714285714285714,0.0,0.0,0.3723137766391077,0.5,0.7861746873402131,0.75
KUL19,border,pericyte_like,17,-0.12253083571182943,-0.12007948110645696,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.024645484651466484,0.058823529411764705,0.06892164579358762,0.11764705882352941,1.0412529286077088,0.7058823529411765
KUL19,border,resident_like,30,0.11947680033454829,-0.06697763206457297,0.3,0.0,0.0,0.2921610281951956,0.2,0.0,0.0,0.0,0.0,0.21758738230779875,0.16666666666666666,1.0593499879015473,0.6333333333333333
KUL19,border,smooth_muscle_like,53,0.11816547602584732,0.008536258653708328,0.41509433962264153,0.015598770325051739,0.018867924528301886,0.13673306203389823,0.11320754716981132,0.0,0.0,0.033861301893090376,0.03773584905660377,0.28011038698086194,0.2641509433962264,1.2286708638638306,0.8867924528301887
KUL19,normal,B_cells,472,-0.2611536736224137,-0.2918018408305969,0.01694915254237288,0.0,0.0,0.0036014997037171047,0.00847457627118644,0.0,0.0,0.0,0.0,0.09072222150713241,0.1673728813559322,0.38557574524941396,0.5741525423728814
KUL19,normal,C1QC_like_TAM,53,0.2496933129214571,0.18126345212015751,0.5849056603773585,0.039751719957857375,0.05660377358490566,0.18507912250743508,0.22641509433962265,0.25643816683693477,0.2830188679245283,0.0,0.0,0.27106189298433586,0.32075471698113206,1.0120784592856398,0.7924528301886793
KUL19,normal,FCN1_inflammatory_monocyte_like,59,-0.0015044432036473135,-0.09776618137379334,0.23728813559322035,0.02895734658005761,0.03389830508474576,0.10446590279943575,0.11864406779661017,0.014528316523135569,0.01694915254237288,0.0427129458047204,0.03389830508474576,0.1637015698151604,0.1694915254237288,0.8359433997603927,0.6271186440677966
KUL19,normal,T_cells,202,-0.15274519944001555,-0.1438155515558653,0.07920792079207921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272856870488043,0.0891089108910891,0.8535746696211154,0.5148514851485149
KUL19,normal,endothelial_like,50,-0.04444617697771649,-0.08015998184279485,0.14,0.03519249102032128,0.04,0.0,0.0,0.0,0.0,0.013273866545102852,0.04,0.17473875698529234,0.14,1.0354156257348612,0.6
KUL19,normal,enteric_glial_like,81,-0.09967946065789299,-0.052158161691691705,0.1111111111111111,0.018383346640582925,0.012345679012345678,0.0,0.0,0.04674908525086606,0.024691358024691357,0.0,0.0,0.033893709070195385,0.024691358024691357,1.0668289052125013,0.5308641975308642
KUL19,normal,fibroblast_like,450,0.2669431981679047,0.0289835819284945,0.45111111111111113,0.06706983732375218,0.07555555555555556,0.11883133315114049,0.09111111111111111,0.04184197726558398,0.03333333333333333,0.2854125855740827,0.2866666666666667,0.14502209430017723,0.16444444444444445,1.0736265819319102,0.7733333333333333
KUL19,normal,mast_cells,2,-0.3797972811438783,-0.3797972811438783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KUL19,normal,normal_epithelial,287,0.0023975794825982742,-0.020322369050223,0.2682926829268293,0.0040901622653159485,0.013937282229965157,0.03594229097477757,0.017421602787456445,0.0,0.0,0.0,0.0,0.4084767100552934,0.49825783972125437,0.9046894128619679,0.7491289198606271
KUL19,normal,other_myeloid,21,0.05456727346635941,-0.028568964901034777,0.3333333333333333,0.0,0.0,0.11471151267341459,0.14285714285714285,0.18925604315224157,0.14285714285714285,0.0,0.0,0.3177210515327603,0.38095238095238093,0.6077364927061899,0.5714285714285714
KUL19,normal,pericyte_like,13,-0.16057869994189541,-0.18396781692960565,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24100302885516872,0.15384615384615385,0.5859473048623574,0.46153846153846156
KUL19,normal,resident_like,128,0.01777899466929756,-0.07989832406565349,0.234375,0.017505828723831773,0.015625,0.15992504759784956,0.125,0.06766005153525967,0.046875,0.0,0.0,0.08010960028380862,0.078125,0.9810838026461511,0.640625
