donor_id,condition,subtype,n_cells,PTGER4_mean,PTGER4_median,PTGER4_detection_fraction,PTGER4_high_fraction
KUL30,border,FCN1_inflammatory_monocyte_like,22,0.0,0.0,0.0,0.0
KUL30,border,SPP1_like_TAM,11,0.0,0.0,0.0,0.0
KUL30,border,resident_like,4,0.0,0.0,0.0,0.0
KUL30,normal,C1QC_like_TAM,2,0.0,0.0,0.0,0.0
KUL30,normal,FCN1_inflammatory_monocyte_like,29,0.19711624483325849,0.0,0.13793103448275862,0.13793103448275862
KUL30,normal,resident_like,31,0.0656125427511771,0.0,0.03225806451612903,0.03225806451612903
KUL30,tumor,C1QC_like_TAM,30,0.3110952758005948,0.0,0.2,0.2
KUL30,tumor,FCN1_inflammatory_monocyte_like,31,0.3525945631913316,0.0,0.25806451612903225,0.25806451612903225
KUL30,tumor,resident_like,1,0.0,0.0,0.0,0.0
KUL31,border,C1QC_like_TAM,39,0.3311909408868038,0.0,0.4358974358974359,0.4358974358974359
KUL31,border,FCN1_inflammatory_monocyte_like,5,0.0,0.0,0.0,0.0
KUL31,border,SPP1_like_TAM,16,0.1581531120176326,0.0,0.1875,0.1875
KUL31,normal,C1QC_like_TAM,6,0.1110149966263954,0.0,0.16666666666666666,0.16666666666666666
KUL31,normal,FCN1_inflammatory_monocyte_like,13,0.0,0.0,0.0,0.0
KUL31,normal,resident_like,10,0.0,0.0,0.0,0.0
KUL31,tumor,C1QC_like_TAM,5,0.3147536292524335,0.0,0.4,0.4
