cohort,Class,Side,cell_type,cell_type_source,n_cells,total_library_umi,total_umi,detected_cells,mean_cpm_per_cell,mean_log1p_cpm,gene_symbol,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
GSE132465,Tumor,Left,T cells,GEO curated,9113,23259932,2056,1633,89.88689893588632,1.0930151927202378,CEBPB,88.39234783661449,4.493035083847294,0.17919455722594096,True
GSE132465,Tumor,Right,B cells,GEO curated,2191,22782062,719,488,38.7081654996765,1.051109837952515,CEBPB,31.55991762290876,3.4830820111221943,0.2227293473299863,True
GSE132465,Tumor,Right,Epithelial cells,GEO curated,7138,128694542,13059,4468,107.56845772463575,2.9952536303155015,CEBPB,101.47283479978506,4.629597737109215,0.6259456430372653,True
GSE132465,Tumor,Right,Mast cells,GEO curated,3,11009,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,Tumor,Right,Myeloids,GEO curated,2960,18549616,8501,2213,501.8152630822623,4.6402797577796875,CEBPB,458.2844194726187,6.129669668423733,0.7476351351351351,True
GSE132465,Tumor,Right,Stromal cells,GEO curated,1415,16820445,6981,1048,404.7201773655365,4.415482868218291,CEBPB,415.0306368232232,6.030758903759185,0.7406360424028269,True
GSE132465,Tumor,Right,T cells,GEO curated,7626,20662659,1852,1403,88.40065571030867,1.1095602145868628,CEBPB,89.63028427270663,4.506788420690996,0.1839758720167847,True
GSE188711,Tumor,Left,B_Plasma,Marker-inferred from 10X UMI,3578,33740604,1216,698,46.545956743520854,0.9577830540008591,CEBPB,36.039663071828826,3.611989313403692,0.19508105086640581,True
GSE188711,Tumor,Left,Endothelial,Marker-inferred from 10X UMI,352,2235849,186,65,72.19488672501504,0.9883556389148712,CEBPB,83.18987552379431,4.4330746708331485,0.1846590909090909,True
GSE188711,Tumor,Left,Epithelial,Marker-inferred from 10X UMI,3588,53166137,5916,1581,111.75763430825245,2.2399281459075246,CEBPB,111.2738358252359,4.720940849962003,0.4406354515050167,True
GSE188711,Tumor,Left,Fibroblast,Marker-inferred from 10X UMI,1032,7288026,5969,753,734.5203905986205,4.822392498198801,CEBPB,819.0146412759779,6.709322195313503,0.7296511627906976,True
GSE188711,Tumor,Left,Mast,Marker-inferred from 10X UMI,193,762724,136,62,141.12394887364007,1.8578370277596195,CEBPB,178.308274028351,5.189106525828316,0.32124352331606215,True
GSE188711,Tumor,Left,Myeloid,Marker-inferred from 10X UMI,2061,13502592,12405,1496,927.7263925027354,4.934700550042971,CEBPB,918.7124960896397,6.824061116953065,0.7258612324114507,True
GSE188711,Tumor,Left,Neutrophil,Marker-inferred from 10X UMI,667,1098444,1601,443,1730.0016020710502,5.010327013483732,CEBPB,1457.5162684670315,7.2851749434910476,0.664167916041979,True
GSE188711,Tumor,Left,T_NK,Marker-inferred from 10X UMI,4713,16986705,1326,982,86.09033617082682,1.2102945060996526,CEBPB,78.0610483316217,4.370220317730307,0.20835985571822618,True
GSE188711,Tumor,Left,Unclassified,Marker-inferred from 10X UMI,85,122299,9,8,100.82120472291308,0.6544243519858249,CEBPB,73.59013565115005,4.312008268589229,0.09411764705882353,True
GSE188711,Tumor,Right,B_Plasma,Marker-inferred from 10X UMI,4573,40016547,1822,1043,68.60830556659916,1.1711593403225387,CEBPB,45.53116489536191,3.840122300904491,0.22807784823966762,True
GSE188711,Tumor,Right,Endothelial,Marker-inferred from 10X UMI,314,1919144,177,64,66.00071578782263,1.0953488895070609,CEBPB,92.2286185924558,4.5350547409989534,0.20382165605095542,True
GSE188711,Tumor,Right,Epithelial,Marker-inferred from 10X UMI,3375,42953083,4694,1193,93.00492687555811,1.7924371870111484,CEBPB,109.28202755550748,4.703040971509866,0.3534814814814815,True
GSE188711,Tumor,Right,Fibroblast,Marker-inferred from 10X UMI,685,3738693,2358,387,491.2574761737806,3.6242880932760553,CEBPB,630.7016917409372,6.4484172759775875,0.564963503649635,True
GSE188711,Tumor,Right,Mast,Marker-inferred from 10X UMI,498,1749218,403,210,284.1395337574904,2.5931135298466343,CEBPB,230.38866510635037,5.444098829576894,0.42168674698795183,True
GSE188711,Tumor,Right,Myeloid,Marker-inferred from 10X UMI,1475,9299094,7552,943,845.6231331287718,4.300729859839879,CEBPB,812.1221271663669,6.70088131618304,0.6393220338983051,True
GSE188711,Tumor,Right,Neutrophil,Marker-inferred from 10X UMI,535,829489,1941,424,2849.854021508827,6.196152737798818,CEBPB,2339.9948643080256,7.758331273685867,0.7925233644859813,True
