cohort,Patient,Sample,Class,Side,cell_type,cell_type_source,n_cells,total_library_umi,total_umi,detected_cells,mean_cpm_per_cell,mean_log1p_cpm,gene_symbol,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
GSE132465,SMC03,SMC03-N,Normal,Right,Epithelial cells,GEO curated,65,1022785,142,34,111.60167987525544,2.6091972122974516,CEBPB,138.8366078892436,4.940474654528089,0.5230769230769231,True
GSE132465,SMC03,SMC03-N,Normal,Right,Mast cells,GEO curated,2,5561,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,SMC03,SMC03-N,Normal,Right,Myeloids,GEO curated,3,20495,2,1,59.46010227137591,1.729836057034251,CEBPB,97.58477677482313,4.590916855924174,0.3333333333333333,False
GSE132465,SMC03,SMC03-N,Normal,Right,Stromal cells,GEO curated,25,202320,63,16,323.94753479257446,3.843805698145563,CEBPB,311.38790035587186,5.744245685960244,0.64,False
GSE132465,SMC03,SMC03-N,Normal,Right,T cells,GEO curated,470,1863877,150,112,81.24889378245172,1.3647343888459884,CEBPB,80.47741347739148,4.400325846591017,0.23829787234042554,True
GSE132465,SMC03,SMC03-T,Tumor,Right,B cells,GEO curated,300,2549075,83,57,32.48713269760483,0.8961908463290996,CEBPB,32.560830889636435,3.5133596396249556,0.19,True
GSE132465,SMC03,SMC03-T,Tumor,Right,Epithelial cells,GEO curated,796,16778683,1910,540,112.16413632549717,3.25058296592635,CEBPB,113.83491779420352,4.743495599608005,0.678391959798995,True
GSE132465,SMC03,SMC03-T,Tumor,Right,Myeloids,GEO curated,316,1732770,1200,260,723.3423434359422,5.353674434992792,CEBPB,692.5327654564657,6.541798485151372,0.8227848101265823,True
GSE132465,SMC03,SMC03-T,Tumor,Right,Stromal cells,GEO curated,218,3133527,1577,180,473.69641611097575,5.0390109144456945,CEBPB,503.26676617115476,6.223105426001253,0.8256880733944955,True
GSE132465,SMC03,SMC03-T,Tumor,Right,T cells,GEO curated,493,1205504,141,98,115.366304609111,1.2361177745059757,CEBPB,116.96352728817159,4.7703754859090575,0.19878296146044624,True
GSE132465,SMC04,SMC04-N,Normal,Left,B cells,GEO curated,569,6878511,223,153,40.82938364989234,1.2559815794348752,CEBPB,32.41980713558501,3.509148752222559,0.2688927943760984,True
GSE132465,SMC04,SMC04-N,Normal,Left,Epithelial cells,GEO curated,169,1501935,117,54,76.34567924228304,1.5891894193454972,CEBPB,77.89950963257398,4.368175012782755,0.31952662721893493,True
GSE132465,SMC04,SMC04-N,Normal,Left,Mast cells,GEO curated,9,21218,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,SMC04,SMC04-N,Normal,Left,Myeloids,GEO curated,66,432150,181,47,513.9712503811862,4.464697653669827,CEBPB,418.83605229665625,6.0398642833957386,0.7121212121212122,True
GSE132465,SMC04,SMC04-N,Normal,Left,Stromal cells,GEO curated,439,2997287,1745,340,591.3969572823775,4.904009034306186,CEBPB,582.1931633507235,6.368518457976086,0.7744874715261959,True
GSE132465,SMC04,SMC04-N,Normal,Left,T cells,GEO curated,536,1654528,141,113,85.28485424188443,1.2423873795787428,CEBPB,85.22067925112177,4.456910047403495,0.21082089552238806,True
GSE132465,SMC04,SMC04-T,Tumor,Left,B cells,GEO curated,103,479579,22,15,36.144420139589585,0.7696990335819216,CEBPB,45.87356827550831,3.8474539403682915,0.14563106796116504,True
GSE132465,SMC04,SMC04-T,Tumor,Left,Epithelial cells,GEO curated,307,6586600,947,227,159.0651309737365,3.6498126592939624,CEBPB,143.77675887407767,4.975192962056032,0.739413680781759,True
GSE132465,SMC04,SMC04-T,Tumor,Left,Myeloids,GEO curated,823,4066356,2339,635,601.1021697681514,4.935937033532017,CEBPB,575.207876536142,6.3564684923524535,0.7715674362089915,True
GSE132465,SMC04,SMC04-T,Tumor,Left,Stromal cells,GEO curated,149,1584188,453,83,278.29945011240557,3.1818084209170614,CEBPB,285.95090986675825,5.659311155369203,0.5570469798657718,True
GSE132465,SMC04,SMC04-T,Tumor,Left,T cells,GEO curated,459,1442410,125,96,94.16421806937647,1.2480879266154736,CEBPB,86.66051954714679,4.4734716218171195,0.20915032679738563,True
GSE132465,SMC05,SMC05-N,Normal,Right,B cells,GEO curated,262,3177949,226,99,79.14273827129847,1.8909546972580669,CEBPB,71.11504936045229,4.278262751503828,0.37786259541984735,True
GSE132465,SMC05,SMC05-N,Normal,Right,Epithelial cells,GEO curated,75,672457,38,20,83.64491787799058,1.29430237344076,CEBPB,56.50918943516091,4.0519447512977145,0.26666666666666666,True
GSE132465,SMC05,SMC05-N,Normal,Right,Mast cells,GEO curated,7,12948,6,2,673.0640545168283,2.1388349098212105,CEBPB,463.3920296570899,6.140729087008691,0.2857142857142857,False
GSE132465,SMC05,SMC05-N,Normal,Right,Myeloids,GEO curated,21,185068,59,16,289.4309222367116,4.316438531396308,CEBPB,318.8017377396416,5.767701234217616,0.7619047619047619,False
GSE132465,SMC05,SMC05-N,Normal,Right,Stromal cells,GEO curated,264,2219443,1228,187,526.9447780829488,4.4011848204992425,CEBPB,553.2919746080436,6.31769157789418,0.7083333333333334,True
GSE132465,SMC05,SMC05-N,Normal,Right,T cells,GEO curated,485,1637506,124,97,78.58716215938901,1.1687880256169574,CEBPB,75.72491337436321,4.340226471464605,0.2,True
GSE132465,SMC05,SMC05-T,Tumor,Right,B cells,GEO curated,106,1246185,42,31,46.26432903559445,1.3432725431709946,CEBPB,33.7028611321754,3.5468221369305333,0.29245283018867924,True
GSE132465,SMC05,SMC05-T,Tumor,Right,Epithelial cells,GEO curated,13,91555,8,4,137.04895561136044,1.844674909829608,CEBPB,87.37917099011523,4.481636319596542,0.3076923076923077,False
GSE132465,SMC05,SMC05-T,Tumor,Right,Myeloids,GEO curated,20,205190,147,19,761.0194090893474,6.249826946014485,CEBPB,716.4091817340027,6.5756463636418765,0.95,False
GSE132465,SMC05,SMC05-T,Tumor,Right,Stromal cells,GEO curated,16,215243,204,15,757.4125613208504,5.970678545187608,CEBPB,947.7660132965997,6.855162206877389,0.9375,False
GSE132465,SMC05,SMC05-T,Tumor,Right,T cells,GEO curated,505,2045991,204,150,108.30661178161029,1.7087207995710019,CEBPB,99.70718346268386,4.612217132460156,0.297029702970297,True
GSE132465,SMC06,SMC06-N,Normal,Right,B cells,GEO curated,475,7404951,228,136,41.496522659684324,1.3068420424736977,CEBPB,30.790210495653515,3.459158396343178,0.2863157894736842,True
GSE132465,SMC06,SMC06-N,Normal,Right,Epithelial cells,GEO curated,23,148899,10,7,40.017856957321754,1.4349159806808018,CEBPB,67.15961826472979,4.2218522819292295,0.30434782608695654,False
GSE132465,SMC06,SMC06-N,Normal,Right,Mast cells,GEO curated,1,2013,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,SMC06,SMC06-N,Normal,Right,Myeloids,GEO curated,27,226431,52,14,312.58741442651575,3.0358031730734174,CEBPB,229.65053371667307,5.440903723968952,0.5185185185185185,False
GSE132465,SMC06,SMC06-N,Normal,Right,Stromal cells,GEO curated,87,718739,313,66,431.99797905409827,4.628193074012918,CEBPB,435.4849256823409,6.078753840164062,0.7586206896551724,True
GSE132465,SMC06,SMC06-N,Normal,Right,T cells,GEO curated,901,3354744,344,253,103.53334463996875,1.6253724511236185,CEBPB,102.54135635982955,4.639971111251093,0.2807991120976693,True
GSE132465,SMC06,SMC06-T,Tumor,Right,B cells,GEO curated,104,1995684,67,36,50.59019667805971,1.5120975948800726,CEBPB,33.57244934568799,3.5430571031936386,0.34615384615384615,True
GSE132465,SMC06,SMC06-T,Tumor,Right,Epithelial cells,GEO curated,189,4455341,613,157,152.00280139492784,4.085436574362947,CEBPB,137.58767286275057,4.931503142416178,0.8306878306878307,True
GSE132465,SMC06,SMC06-T,Tumor,Right,Mast cells,GEO curated,1,4034,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,SMC06,SMC06-T,Tumor,Right,Myeloids,GEO curated,215,1401524,1084,175,785.9776545995861,5.29192249304744,CEBPB,773.4437655009832,6.65214504973344,0.813953488372093,True
GSE132465,SMC06,SMC06-T,Tumor,Right,Stromal cells,GEO curated,83,1431141,572,66,389.7409436591059,4.642821690271927,CEBPB,399.68109361691126,5.9931658331421325,0.7951807228915663,True
GSE132465,SMC06,SMC06-T,Tumor,Right,T cells,GEO curated,949,3403603,466,277,138.24146600788,1.7289790431883842,CEBPB,136.9137352388043,4.9266283827312,0.291886195995785,True
GSE132465,SMC07,SMC07-N,Normal,Right,B cells,GEO curated,507,4527340,187,121,43.31918224564954,1.1571229857511303,CEBPB,41.304607120295806,3.744895995494807,0.23865877712031558,True
GSE132465,SMC07,SMC07-N,Normal,Right,Epithelial cells,GEO curated,128,1267852,55,34,47.77079940382414,1.2753203380228961,CEBPB,43.380457655940916,3.7927992296626543,0.265625,True
GSE132465,SMC07,SMC07-N,Normal,Right,Mast cells,GEO curated,3,9410,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,SMC07,SMC07-N,Normal,Right,Myeloids,GEO curated,28,121305,45,18,601.2705950117689,4.080314837293289,CEBPB,370.9657474959812,5.918801773410127,0.6428571428571429,False
GSE132465,SMC07,SMC07-N,Normal,Right,Stromal cells,GEO curated,578,4277856,2019,415,516.2515236002699,4.440926283969123,CEBPB,471.9653957496466,6.15902222672402,0.7179930795847751,True
GSE132465,SMC07,SMC07-N,Normal,Right,T cells,GEO curated,970,3007798,235,186,78.17741008329041,1.1317645748927094,CEBPB,78.13024677854031,4.371095188263279,0.19175257731958764,True
GSE132465,SMC07,SMC07-T,Tumor,Right,B cells,GEO curated,814,7785189,269,190,44.80562563989079,1.1345336186403503,CEBPB,34.552789919422636,3.57101863191602,0.2334152334152334,True
GSE132465,SMC07,SMC07-T,Tumor,Right,Epithelial cells,GEO curated,542,12634066,2231,383,170.76997852938845,3.6363656661342207,CEBPB,176.58606500868368,5.179455364690761,0.7066420664206642,True
GSE132465,SMC07,SMC07-T,Tumor,Right,Mast cells,GEO curated,2,6975,0,0,0.0,0.0,CEBPB,0.0,0.0,0.0,False
GSE132465,SMC07,SMC07-T,Tumor,Right,Myeloids,GEO curated,332,2207215,850,244,436.1895283161913,4.463342636161445,CEBPB,385.10068117514606,5.9560981675140265,0.7349397590361446,True
GSE132465,SMC07,SMC07-T,Tumor,Right,Stromal cells,GEO curated,209,1735699,490,111,287.576337771187,3.1493472006133656,CEBPB,282.3070129094964,5.646531160887646,0.5311004784688995,True
GSE132465,SMC07,SMC07-T,Tumor,Right,T cells,GEO curated,2171,4370193,297,262,69.48344319708494,0.7578078806153329,CEBPB,67.96038527360233,4.233532213254017,0.12068171349608475,True
GSE132465,SMC08,SMC08-N,Normal,Left,B cells,GEO curated,591,4313261,238,129,55.255851886383425,1.1407933602744023,CEBPB,55.17866876129221,4.0285371254411295,0.2182741116751269,True
GSE132465,SMC08,SMC08-N,Normal,Left,Epithelial cells,GEO curated,18,139386,14,7,99.78003688104435,2.036660616509168,CEBPB,100.44050335040822,4.619472452727159,0.3888888888888889,False
GSE132465,SMC08,SMC08-N,Normal,Left,Mast cells,GEO curated,41,98149,11,7,94.62021152513549,1.0492130746504764,CEBPB,112.07449897604663,4.728046884454658,0.17073170731707318,False
GSE132465,SMC08,SMC08-N,Normal,Left,Myeloids,GEO curated,34,233489,186,27,823.4099296213047,5.280780235463759,CEBPB,796.6114035350702,6.681621515856193,0.7941176470588235,False
GSE132465,SMC08,SMC08-N,Normal,Left,Stromal cells,GEO curated,233,1750819,903,144,521.6761455819599,3.888262008861584,CEBPB,515.758624963517,6.247575889208301,0.6180257510729614,True
GSE132465,SMC08,SMC08-N,Normal,Left,T cells,GEO curated,703,2326071,166,132,68.05151979860554,1.0901390984578438,CEBPB,71.3649755317013,4.281722418966127,0.18776671408250356,True
GSE132465,SMC08,SMC08-T,Tumor,Left,B cells,GEO curated,304,3087788,126,77,57.57149263856943,1.2553908661176376,CEBPB,40.805910250315115,3.7330377230837937,0.2532894736842105,True
GSE132465,SMC08,SMC08-T,Tumor,Left,Epithelial cells,GEO curated,320,6089548,2063,232,303.5761428371799,4.19775978452946,CEBPB,338.7771965998133,5.82829009868642,0.725,True
GSE132465,SMC08,SMC08-T,Tumor,Left,Myeloids,GEO curated,310,2347589,1470,273,692.8777225179178,5.603201286635191,CEBPB,626.1743431239455,6.441224561190468,0.8806451612903226,True
GSE132465,SMC08,SMC08-T,Tumor,Left,Stromal cells,GEO curated,158,1817559,718,126,394.76352433597776,4.698602428220963,CEBPB,395.0353193486429,5.981503397551616,0.7974683544303798,True
GSE132465,SMC08,SMC08-T,Tumor,Left,T cells,GEO curated,997,2978998,312,227,102.49933512275162,1.3648996958342827,CEBPB,104.73320223779942,4.660918961222326,0.22768304914744233,True
GSE132465,SMC09,SMC09-N,Normal,Left,B cells,GEO curated,382,5460304,151,101,27.27336672193125,1.1634544452899513,CEBPB,27.654137938107475,3.355297863381122,0.2643979057591623,True
GSE132465,SMC09,SMC09-N,Normal,Left,Epithelial cells,GEO curated,189,986934,65,36,54.642249622281476,1.0279972011569518,CEBPB,65.86053373376538,4.2026088638162875,0.19047619047619047,True
GSE132465,SMC09,SMC09-N,Normal,Left,Mast cells,GEO curated,6,13223,3,2,208.8174768980384,2.1164267801361416,CEBPB,226.87741057248732,5.428807811428832,0.3333333333333333,False
GSE132465,SMC09,SMC09-N,Normal,Left,Myeloids,GEO curated,35,199381,62,26,425.2094555691719,4.479054402664839,CEBPB,310.9624287168787,5.742882759779083,0.7428571428571429,False
GSE132465,SMC09,SMC09-N,Normal,Left,Stromal cells,GEO curated,136,693029,378,98,517.5488588024174,4.519913172219671,CEBPB,545.4317207505024,6.303409360653686,0.7205882352941176,True
GSE132465,SMC09,SMC09-N,Normal,Left,T cells,GEO curated,406,981948,75,63,74.03962431243505,0.9425309490295964,CEBPB,76.37878991555561,4.348712710943261,0.15517241379310345,True
GSE132465,SMC09,SMC09-T,Tumor,Left,B cells,GEO curated,21,154595,4,2,13.655275873289657,0.4615379897044997,CEBPB,25.874058022575117,3.2911614355107637,0.09523809523809523,False
GSE132465,SMC09,SMC09-T,Tumor,Left,Epithelial cells,GEO curated,1887,36648007,4161,1338,107.67388066302416,3.397093432207663,CEBPB,113.53959848348643,4.740920601489743,0.7090620031796503,True
GSE132465,SMC09,SMC09-T,Tumor,Left,Myeloids,GEO curated,401,2035353,583,244,320.92191168739794,3.6625867620527854,CEBPB,286.4367999064536,5.661003009659702,0.6084788029925187,True
GSE132465,SMC09,SMC09-T,Tumor,Left,Stromal cells,GEO curated,45,256078,76,19,252.1630865763934,2.533207988066296,CEBPB,296.78457345027687,5.696370317196525,0.4222222222222222,False
GSE132465,SMC09,SMC09-T,Tumor,Left,T cells,GEO curated,1435,2344310,166,158,78.14432882831564,0.7160718432209359,CEBPB,70.80974785757856,4.274020230872204,0.11010452961672473,True
GSE132465,SMC10,SMC10-N,Normal,Right,B cells,GEO curated,437,5263691,251,151,51.23245192017936,1.6147632090636597,CEBPB,47.685169969133824,3.8853744656258953,0.34553775743707094,True
GSE132465,SMC10,SMC10-N,Normal,Right,Epithelial cells,GEO curated,125,1319427,77,45,60.035379573254964,1.680393885366338,CEBPB,58.35866629984076,4.08359813061212,0.36,True
GSE132465,SMC10,SMC10-N,Normal,Right,Mast cells,GEO curated,28,72122,3,3,30.814561569776924,0.6043547546757005,CEBPB,41.59618424336541,3.75176467751155,0.10714285714285714,False
GSE132465,SMC10,SMC10-N,Normal,Right,Myeloids,GEO curated,67,440641,191,52,532.6326298437141,4.794613430103578,CEBPB,433.45943750127657,6.074102585920209,0.7761194029850746,True
GSE132465,SMC10,SMC10-N,Normal,Right,Stromal cells,GEO curated,730,4895363,2874,553,609.7799900457561,4.795019784377151,CEBPB,587.0861874798661,6.376873514503928,0.7575342465753425,True
GSE132465,SMC10,SMC10-N,Normal,Right,T cells,GEO curated,600,1522972,153,126,104.92693243457428,1.2845915510097858,CEBPB,100.46146613332353,4.619679082392147,0.21,True
GSE132465,SMC10,SMC10-T,Tumor,Right,B cells,GEO curated,113,1316821,25,14,23.49872945221151,0.620169782561509,CEBPB,18.985116428125007,2.994987817921899,0.12389380530973451,True
GSE132465,SMC10,SMC10-T,Tumor,Right,Epithelial cells,GEO curated,511,8044234,563,240,76.2183541315196,2.2078838835030283,CEBPB,69.98801874734126,4.2625111127639785,0.46966731898238745,True
GSE132465,SMC10,SMC10-T,Tumor,Right,Myeloids,GEO curated,671,4507254,1831,526,451.18570396536876,4.761291975401577,CEBPB,406.23403961702627,6.009388056086868,0.7839046199701938,True
GSE132465,SMC10,SMC10-T,Tumor,Right,Stromal cells,GEO curated,158,1444987,432,104,301.10442155756317,3.773412543856695,CEBPB,298.96462736342954,5.703664558915845,0.6582278481012658,True
GSE132465,SMC10,SMC10-T,Tumor,Right,T cells,GEO curated,747,1561804,109,92,68.75177711599216,0.7673958897770371,CEBPB,69.79108774212385,4.259733113427671,0.12315930388219545,True
GSE132465,SMC11,SMC11-T,Tumor,Left,B cells,GEO curated,254,2998648,91,66,37.29113173759961,1.2021588691474574,CEBPB,30.347009719046717,3.4451188787671443,0.25984251968503935,True
GSE132465,SMC11,SMC11-T,Tumor,Left,Epithelial cells,GEO curated,326,10033830,2758,274,270.6638901882565,4.59806107998935,CEBPB,274.87011440297476,5.619930154961001,0.8404907975460123,True
GSE132465,SMC11,SMC11-T,Tumor,Left,Myeloids,GEO curated,76,610748,323,65,554.0030203990564,5.330402991722842,CEBPB,528.8596933596181,6.272612241988971,0.8552631578947368,True
GSE132465,SMC11,SMC11-T,Tumor,Left,Stromal cells,GEO curated,53,479053,239,36,525.9839419985235,4.191056688073154,CEBPB,498.9009566791148,6.2144099921586715,0.6792452830188679,True
GSE132465,SMC11,SMC11-T,Tumor,Left,T cells,GEO curated,989,2529861,413,291,161.52456286298312,1.8180177361200727,CEBPB,163.25007579467805,5.101390118823841,0.2942366026289181,True
GSE132465,SMC14,SMC14-T,Tumor,Left,B cells,GEO curated,58,598192,37,24,112.26681218555781,2.175067792399708,CEBPB,61.85305052558376,4.140799470462749,0.41379310344827586,True
GSE132465,SMC14,SMC14-T,Tumor,Left,Epithelial cells,GEO curated,166,2568912,966,117,306.50374590576905,4.1007995042875445,CEBPB,376.0346792727816,5.932337170678383,0.7048192771084337,True
GSE132465,SMC14,SMC14-T,Tumor,Left,Myeloids,GEO curated,593,3256552,1984,481,700.5710686901058,5.273081652893911,CEBPB,609.2333240801928,6.413841382525576,0.8111298482293423,True
GSE132465,SMC14,SMC14-T,Tumor,Left,Stromal cells,GEO curated,297,3608787,1566,219,412.4084412275648,4.383858796983416,CEBPB,433.9408227750765,6.075209982236934,0.7373737373737373,True
GSE132465,SMC14,SMC14-T,Tumor,Left,T cells,GEO curated,635,1882649,215,170,120.12546019991166,1.6062855141334194,CEBPB,114.20078835725619,4.746676591617335,0.2677165354330709,True
GSE132465,SMC15,SMC15-T,Tumor,Left,B cells,GEO curated,380,2429995,94,66,35.801757673277876,0.8795265898879694,CEBPB,38.68320716709294,3.6809281049340368,0.1736842105263158,True
GSE132465,SMC15,SMC15-T,Tumor,Left,Epithelial cells,GEO curated,319,4944209,562,220,108.35964873291968,3.3505598518092765,CEBPB,113.66833400448888,4.742043909336394,0.6896551724137931,True
GSE132465,SMC15,SMC15-T,Tumor,Left,Myeloids,GEO curated,148,933570,618,124,801.7836985401271,5.507567799363429,CEBPB,661.9749991966323,6.496737280872511,0.8378378378378378,True
GSE132465,SMC15,SMC15-T,Tumor,Left,Stromal cells,GEO curated,306,3308960,1388,212,391.05655667227126,4.146531617575217,CEBPB,419.46714375513756,6.04136634022499,0.6928104575163399,True
GSE132465,SMC15,SMC15-T,Tumor,Left,T cells,GEO curated,874,2432741,198,167,84.22978555104427,1.144157323277264,CEBPB,81.38967526752745,4.41146012891334,0.19107551487414187,True
GSE132465,SMC16,SMC16-T,Tumor,Right,B cells,GEO curated,12,60116,4,2,31.799003138442387,0.8655260358102397,CEBPB,66.53802648213454,4.212690794544346,0.16666666666666666,False
GSE132465,SMC16,SMC16-T,Tumor,Right,Epithelial cells,GEO curated,2720,50180992,3958,1834,82.18981173860159,3.093569991595873,CEBPB,78.87448697706095,4.380456489854675,0.674264705882353,True
GSE132465,SMC16,SMC16-T,Tumor,Right,Myeloids,GEO curated,46,194056,74,27,361.4450497061339,3.6771220983131117,CEBPB,381.3332233994311,5.946292540927038,0.5869565217391305,False
GSE132465,SMC16,SMC16-T,Tumor,Right,Stromal cells,GEO curated,29,209707,150,22,730.7041926492659,4.95844347226494,CEBPB,715.2837053603361,6.5740763250164616,0.7586206896551724,False
GSE132465,SMC16,SMC16-T,Tumor,Right,T cells,GEO curated,149,316300,32,28,115.72266222647944,1.1907025146950034,CEBPB,101.16977552956054,4.626635895572051,0.18791946308724833,True
GSE132465,SMC17,SMC17-T,Tumor,Right,B cells,GEO curated,44,747739,15,11,38.85895613954029,1.1013129135272821,CEBPB,20.06047564725125,3.04739809179035,0.25,False
GSE132465,SMC17,SMC17-T,Tumor,Right,Epithelial cells,GEO curated,505,8623979,560,243,83.07785350875042,2.2246848534574837,CEBPB,64.93522305654965,4.188672791230351,0.48118811881188117,True
GSE132465,SMC17,SMC17-T,Tumor,Right,Myeloids,GEO curated,362,1881074,793,260,459.0914932806059,4.461812935316738,CEBPB,421.5676788898257,6.0463496206901866,0.7182320441988951,True
GSE132465,SMC17,SMC17-T,Tumor,Right,Stromal cells,GEO curated,203,2808904,820,137,277.89833146405425,3.8443420068322465,CEBPB,291.92880924374776,5.67992960763028,0.6748768472906403,True
GSE132465,SMC17,SMC17-T,Tumor,Right,T cells,GEO curated,229,670446,60,46,98.59018928848499,1.212903151477934,CEBPB,89.49266607601507,4.50526880958805,0.20087336244541484,True
GSE132465,SMC18,SMC18-T,Tumor,Left,B cells,GEO curated,61,414492,16,13,40.734790272762,1.021343521613955,CEBPB,38.601468785887306,3.678866208125307,0.21311475409836064,True
GSE132465,SMC18,SMC18-T,Tumor,Left,Epithelial cells,GEO curated,1516,41041373,11528,1377,284.2779555248776,4.935415590148242,CEBPB,280.8872890290488,5.641507306748903,0.908311345646438,True
GSE132465,SMC18,SMC18-T,Tumor,Left,Myeloids,GEO curated,79,400134,187,67,586.9946106938547,5.251690099086356,CEBPB,467.3434399476175,6.149201872826218,0.8481012658227848,True
GSE132465,SMC18,SMC18-T,Tumor,Left,Stromal cells,GEO curated,7,54612,11,4,143.8405756383331,3.1097334441386777,CEBPB,201.4209331282502,5.310349356612051,0.5714285714285714,False
GSE132465,SMC18,SMC18-T,Tumor,Left,T cells,GEO curated,273,561348,58,45,99.03058165364243,1.0335565076655733,CEBPB,103.32271603354782,4.647489133437082,0.16483516483516483,True
GSE132465,SMC19,SMC19-T,Tumor,Right,B cells,GEO curated,330,3004137,96,59,36.258152909918785,0.8731619954717914,CEBPB,31.955932768711946,3.495171298419461,0.1787878787878788,True
