test_id,biomarker,exposure_axis,ranking_method,destination_sex,outcome_id,outcome_name,organ_system_id,organ_system_name,sex_beta,sex_se,sex_z,beta_interaction,p_interaction,bh_q_interaction_fixed406,interaction_direction_supports_destination,primary_interaction_sign,creatinine_beta,creatinine_direction_agrees,loco_successful_n,loco_min_beta,loco_max_beta,loco_sign_reversals,winsor_beta,tail_delete_beta,lod_beta,cycle_heterogeneity_p,cycle_heterogeneity_status
NHANES_URXMHP,URXMHP,DEHP-related exposure axis,effect,male,myocardial_infarction,Myocardial infarction,cardiovascular,Cardiovascular,0.132365776314157,0.0480264045995684,2.756104218456248,-0.0114869434721631,0.8738890714487594,0.9661358669209712,True,-1.0,-0.0114869434721631,True,10,-0.044578809070966,0.0218807890483406,3,-0.0054466330094753,0.0097596422409628,0.0002537801494117,0.2047535263453489,ok
NHANES_URXMHP,URXMHP,DEHP-related exposure axis,effect,female,coronary_heart_disease,Coronary heart disease,cardiovascular,Cardiovascular,0.120816755256181,0.0561916338653289,2.150084397718978,0.1164926700365698,0.0758526504347358,0.3979861861784668,True,1.0,0.1164926700365698,True,10,0.078896544212486,0.1474378859379715,0,0.121784189521349,0.1475036725225949,0.066008797164808,0.0064271002223462,ok
NHANES_URXMHP,URXMHP,DEHP-related exposure axis,z,male,myocardial_infarction,Myocardial infarction,cardiovascular,Cardiovascular,0.132365776314157,0.0480264045995684,2.756104218456248,-0.0114869434721631,0.8738890714487594,0.9661358669209712,True,-1.0,-0.0114869434721631,True,10,-0.044578809070966,0.0218807890483406,3,-0.0054466330094753,0.0097596422409628,0.0002537801494117,0.2047535263453489,ok
NHANES_URXMHP,URXMHP,DEHP-related exposure axis,z,female,coronary_heart_disease,Coronary heart disease,cardiovascular,Cardiovascular,0.120816755256181,0.0561916338653289,2.150084397718978,0.1164926700365698,0.0758526504347358,0.3979861861784668,True,1.0,0.1164926700365698,True,10,0.078896544212486,0.1474378859379715,0,0.121784189521349,0.1475036725225949,0.066008797164808,0.0064271002223462,ok
NHANES_URXMIB,URXMIB,phthalate exposure axis,effect,male,myocardial_infarction,Myocardial infarction,cardiovascular,Cardiovascular,0.0892533837829803,0.0475830894969383,1.875737467377423,-0.0235789104667061,0.7262518025783896,0.9573168049977776,True,-1.0,-0.023578910466706,True,9,-0.0795460315995208,0.0165758511517343,2,-0.0313753250202009,-0.0526037915248627,-0.0003301255462229,0.1102740086662219,ok
NHANES_URXMIB,URXMIB,phthalate exposure axis,effect,female,coronary_heart_disease,Coronary heart disease,cardiovascular,Cardiovascular,0.1973369605133767,0.061875376418402,3.189264808329923,0.187949886910635,0.0067885813184151,0.1156174460247801,True,1.0,0.1879498869106349,True,9,0.1509889337043928,0.2214374601211113,0,0.1844738157725549,0.1738023969634167,0.1928101027311404,0.1130427848786346,ok
NHANES_URXMIB,URXMIB,phthalate exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.0665160168226199,0.022846277452315,2.911459731741981,0.1214359474788018,5.323657220846164e-05,0.0054035120791588,False,1.0,0.1214359474788018,True,9,0.0762045900384584,0.15615209961564,0,0.1210474980759666,0.1230864100194608,0.128869149685723,0.1581191030253914,ok
NHANES_URXMIB,URXMIB,phthalate exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1815586645661258,0.0217354203692914,8.353124139371996,0.1214359474788018,5.323657220846164e-05,0.0054035120791588,True,1.0,0.1214359474788018,True,9,0.0762045900384584,0.15615209961564,0,0.1210474980759666,0.1230864100194608,0.128869149685723,0.1581191030253914,ok
NHANES_URXMOH,URXMOH,DEHP-related exposure axis;phthalate exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.1020394012631596,0.0202848011901874,5.030337754186139,0.0381391242439824,0.1233877140544844,0.4919225107746001,False,1.0,0.0381391242439824,True,9,0.0274000773444355,0.0531097660370191,0,0.0385507351404261,0.041258218953724,0.0394100069796411,0.0420699806891989,ok
NHANES_URXMOH,URXMOH,DEHP-related exposure axis;phthalate exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.1605625844659709,0.0190942770413235,8.408937616149812,0.0381391242439824,0.1233877140544844,0.4919225107746001,True,1.0,0.0381391242439824,True,9,0.0274000773444355,0.0531097660370191,0,0.0385507351404261,0.041258218953724,0.0394100069796411,0.0420699806891989,ok
