gene,condition,subtype,mean_expression,detection_fraction,n_cells
STAT3,tumor,FCN1_inflammatory_monocyte_like,0.39699313,0.3078947368421053,380
STAT3,tumor,SPP1_like_TAM,0.44898257,0.43243243243243246,185
STAT3,tumor,resident_like,0.30032018,0.2857142857142857,105
PTGER4,border,C1QC_like_TAM,0.23041336,0.2832369942196532,173
PTGER4,border,FCN1_inflammatory_monocyte_like,0.104989134,0.10285714285714286,350
PTGER4,border,SPP1_like_TAM,0.13837111,0.16521739130434782,230
PTGER4,border,resident_like,0.25287163,0.23333333333333334,120
PTGER4,normal,C1QC_like_TAM,0.16721387,0.1895424836601307,153
PTGER4,normal,FCN1_inflammatory_monocyte_like,0.1426531,0.12156862745098039,255
PTGER4,normal,SPP1_like_TAM,0.0,0.0,1
PTGER4,normal,resident_like,0.09577213,0.07627118644067797,354
PTGER4,tumor,C1QC_like_TAM,0.17679277,0.22115384615384615,208
PTGER4,tumor,FCN1_inflammatory_monocyte_like,0.14555135,0.11842105263157894,380
PTGER4,tumor,SPP1_like_TAM,0.0981412,0.10810810810810811,185
PTGER4,tumor,resident_like,0.21236934,0.19047619047619047,105
PTGES3,border,C1QC_like_TAM,1.0737389,0.7167630057803468,173
PTGES3,border,FCN1_inflammatory_monocyte_like,0.9103169,0.6228571428571429,350
PTGES3,border,SPP1_like_TAM,0.84682757,0.6478260869565218,230
PTGES3,border,resident_like,0.9862118,0.625,120
PTGES3,normal,C1QC_like_TAM,0.8878743,0.673202614379085,153
PTGES3,normal,FCN1_inflammatory_monocyte_like,0.76314276,0.5607843137254902,255
PTGES3,normal,SPP1_like_TAM,0.0,0.0,1
PTGES3,normal,resident_like,0.8079073,0.5225988700564972,354
PTGES3,tumor,C1QC_like_TAM,1.0273356,0.7307692307692307,208
PTGES3,tumor,FCN1_inflammatory_monocyte_like,0.9050034,0.6078947368421053,380
PTGES3,tumor,SPP1_like_TAM,0.88694274,0.6648648648648648,185
PTGES3,tumor,resident_like,0.94208163,0.6285714285714286,105
CXCR4,border,C1QC_like_TAM,0.90079135,0.5375722543352601,173
CXCR4,border,FCN1_inflammatory_monocyte_like,1.2647732,0.6485714285714286,350
CXCR4,border,SPP1_like_TAM,0.90582335,0.6086956521739131,230
CXCR4,border,resident_like,0.97217506,0.55,120
CXCR4,normal,C1QC_like_TAM,0.9702495,0.5751633986928104,153
CXCR4,normal,FCN1_inflammatory_monocyte_like,1.8958124,0.8509803921568627,255
CXCR4,normal,SPP1_like_TAM,2.1706495,1.0,1
CXCR4,normal,resident_like,0.64982134,0.3587570621468927,354
CXCR4,tumor,C1QC_like_TAM,0.9128552,0.5769230769230769,208
CXCR4,tumor,FCN1_inflammatory_monocyte_like,1.26121,0.631578947368421,380
CXCR4,tumor,SPP1_like_TAM,1.0469692,0.6270270270270271,185
CXCR4,tumor,resident_like,1.0017406,0.5904761904761905,105
