donor_id,condition,subtype,dinp_crc_program_mean,dinp_crc_program_median,driver_7gene_mean,PTGER4_mean,PTGER4_detection_fraction,n_cells
KUL19,normal,FCN1_inflammatory_monocyte_like,0.009167024,-0.013639615,0.06655308,0.12760244,0.11864406779661017,59
KUL19,normal,SPP1_like_TAM,,,,,,0
KUL19,normal,resident_like,-0.04890504,-0.04831704,-0.21011241,0.08463563,0.0703125,128
KUL19,tumor,C1QC_like_TAM,0.0300273,0.051157232,-0.047044955,0.18923742,0.27906976744186046,129
KUL19,tumor,FCN1_inflammatory_monocyte_like,0.027977118,0.01816045,0.0476806,0.052318867,0.05714285714285714,35
KUL19,tumor,SPP1_like_TAM,0.05279091,0.047201317,0.00974579,0.19875996,0.25,8
KUL19,tumor,resident_like,0.0022579527,0.012684015,-0.15716787,0.14331758,0.1111111111111111,9
KUL21,border,C1QC_like_TAM,-0.14414874,-0.1782091,-0.33868834,0.10364695,0.18181818181818182,11
KUL21,border,FCN1_inflammatory_monocyte_like,-0.027874473,-0.034557536,0.12773064,0.10604261,0.08823529411764706,136
KUL21,border,SPP1_like_TAM,0.0030837997,-0.009011724,0.11238636,0.4569493,0.3333333333333333,9
KUL21,border,resident_like,0.009372963,-0.012344407,-0.008855567,0.31467798,0.2857142857142857,84
KUL21,normal,C1QC_like_TAM,-0.13448437,-0.16776429,-0.43808654,0.0,0.0,18
KUL21,normal,FCN1_inflammatory_monocyte_like,-0.037201896,-0.048461176,-0.058086645,0.1264946,0.1,30
KUL21,normal,SPP1_like_TAM,,,,,,0
KUL21,normal,resident_like,-0.06468985,-0.07597074,-0.15580808,0.0,0.0,30
KUL21,tumor,C1QC_like_TAM,-0.10990163,-0.10990163,-0.23832668,0.28592613,0.5,2
KUL21,tumor,FCN1_inflammatory_monocyte_like,-0.024648646,-0.024986902,0.093270935,0.08919908,0.06474820143884892,139
KUL21,tumor,SPP1_like_TAM,-0.006349342,-0.035937093,-0.15801682,0.060547292,0.1111111111111111,9
KUL21,tumor,resident_like,-0.010881678,-0.0022528963,0.013820892,0.25010622,0.2261904761904762,84
KUL28,border,C1QC_like_TAM,-0.002327323,-0.025248919,-0.0016536828,0.28402305,0.22727272727272727,22
KUL28,border,FCN1_inflammatory_monocyte_like,-0.055428408,-0.058248706,-0.21399827,0.0,0.0,11
KUL28,border,SPP1_like_TAM,-0.047097962,-0.047097962,0.14540525,0.0,0.0,1
KUL28,border,resident_like,,,,,,0
KUL28,normal,C1QC_like_TAM,-0.07002498,-0.12015821,-0.03280133,0.49280533,0.6,5
KUL28,normal,FCN1_inflammatory_monocyte_like,0.031009566,0.031009566,0.008828431,0.0,0.0,2
KUL28,normal,SPP1_like_TAM,,,,,,0
KUL28,normal,resident_like,-0.03170771,-0.020226555,-0.21625508,0.0,0.0,7
KUL28,tumor,C1QC_like_TAM,-0.016052315,0.014261896,-0.26836932,0.03395346,0.038461538461538464,26
KUL28,tumor,FCN1_inflammatory_monocyte_like,-0.016584296,-0.006418596,0.07328594,0.23005451,0.14285714285714285,14
KUL28,tumor,SPP1_like_TAM,0.20168938,0.19793025,0.43392113,0.0,0.0,12
KUL28,tumor,resident_like,0.07160151,0.018691892,-0.18117374,0.0,0.0,4
KUL30,border,C1QC_like_TAM,-0.016879577,-0.031921197,0.08396137,0.18463159,0.21621621621621623,37
KUL30,border,FCN1_inflammatory_monocyte_like,-0.058650132,-0.076183245,0.056613132,0.0,0.0,22
KUL30,border,SPP1_like_TAM,-0.007040208,-0.046374414,0.054016817,0.0,0.0,11
KUL30,border,resident_like,-0.100996904,-0.11743972,0.019392129,0.0,0.0,4
KUL30,normal,C1QC_like_TAM,0.0057358146,0.0057358146,0.19772851,0.0,0.0,2
KUL30,normal,FCN1_inflammatory_monocyte_like,-0.0006612683,0.007043543,0.11601399,0.19711624,0.13793103448275862,29
KUL30,normal,SPP1_like_TAM,,,,,,0
KUL30,normal,resident_like,-0.09059291,-0.08051775,-0.31271535,0.06561255,0.03225806451612903,31
KUL30,tumor,C1QC_like_TAM,0.0024316162,-0.036035705,0.14121027,0.31109527,0.2,30
KUL30,tumor,FCN1_inflammatory_monocyte_like,-0.019650606,-0.015308847,0.27312225,0.35259455,0.25806451612903225,31
KUL30,tumor,SPP1_like_TAM,,,,,,0
KUL30,tumor,resident_like,0.3551124,0.3551124,-0.2180952,0.0,0.0,1
KUL31,border,C1QC_like_TAM,0.023507012,0.024200786,0.14624597,0.33119094,0.4358974358974359,39
KUL31,border,FCN1_inflammatory_monocyte_like,0.061233114,0.04916115,0.3956632,0.0,0.0,5
KUL31,border,SPP1_like_TAM,-0.029399162,-0.014442914,-0.13129108,0.15815312,0.1875,16
KUL31,border,resident_like,,,,,,0
KUL31,normal,C1QC_like_TAM,0.026954276,0.02464661,-0.20361073,0.111015,0.16666666666666666,6
KUL31,normal,FCN1_inflammatory_monocyte_like,0.052086197,0.013289714,0.06218535,0.0,0.0,13
KUL31,normal,SPP1_like_TAM,,,,,,0
KUL31,normal,resident_like,-0.052533485,-0.09585516,-0.32584184,0.0,0.0,10
KUL31,tumor,C1QC_like_TAM,-0.023220986,-0.039946772,-0.3664149,0.31475362,0.4,5
KUL31,tumor,FCN1_inflammatory_monocyte_like,,,,,,0
KUL31,tumor,SPP1_like_TAM,,,,,,0
KUL31,tumor,resident_like,,,,,,0
