disease_id,test_id,variable,cycle,exposure_rows,exposure_nonmissing,outcome_rows,merge_rows,complete_case_rows,complete_case_cases
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP04,URXP04,2005-2006,2638,2431,4979,1543,1328,433
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP04,URXP04,2007-2008,2718,2582,5935,1900,1630,582
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP04,URXP04,2009-2010,2819,2747,6218,1967,1710,591
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP04,URXP04,2011-2012,2594,2492,5560,1775,1524,540
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP04,URXP04,2013-2014,2755,2650,5769,1858,1659,596
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP04,URXP04,2015-2016,3279,3037,5719,1861,1590,552
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP04,URXP04,2017-2018,2979,2774,5569,1757,1442,570
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP10,URXP10,2001-2002,2901,2747,5411,1713,1446,388
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP10,URXP10,2003-2004,2697,2515,5041,1585,1345,432
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP10,URXP10,2005-2006,2638,2415,4979,1543,1315,429
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP10,URXP10,2007-2008,2718,2581,5935,1900,1620,577
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP10,URXP10,2009-2010,2819,2746,6218,1967,1710,591
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP10,URXP10,2011-2012,2594,2487,5560,1775,1521,538
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP10,URXP10,2013-2014,2755,2650,5769,1858,1659,596
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP10,URXP10,2015-2016,3279,3036,5719,1861,1589,553
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP10,URXP10,2017-2018,2979,2775,5569,1757,1443,570
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP25,URXP25,2013-2014,2755,2650,5769,1858,1659,596
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP25,URXP25,2015-2016,3279,3035,5719,1861,1591,553
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXP25,URXP25,2017-2018,2979,2774,5569,1757,1443,571
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,1999-2000,2547,2180,4880,1448,1053,307
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,2001-2002,2804,2690,5411,1621,1367,411
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,2003-2004,2673,2558,5041,1611,1425,524
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,2005-2006,2692,2576,4979,1593,1429,423
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,2007-2008,2720,2627,5935,1920,1668,586
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,2009-2010,2941,2848,6218,2073,1811,623
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,2011-2012,2594,2504,5560,1775,1530,542
NHANES_HIGH_BLOOD_PRESSURE,NHANES_URXUBA,URXUBA,2013-2014,2755,2664,5769,1858,1668,600
