gene_symbol,CTD,ToxCast,ChEMBL,exposure_support_count,CTD_direction,CTD_action,CTD_raw_row_count,CTD_unique_chemical_gene_pairs,CTD_unique_pmids,CTD_single_chemical_evidence,CTD_cotreatment_evidence,ToxCast_assay_count,ChEMBL_record_count,GeneCards,DisGeNET,OpenTargets,disease_support_count,GeneCards_score,DisGeNET_score,OpenTargets_score,total_support_count,OpenTargets_right_ascending,OpenTargets_right_ascending_score,OpenTargets_left_sigmoid_strict,OpenTargets_left_sigmoid_strict_score,OpenTargets_left_rectosigmoid_sensitivity,OpenTargets_left_rectosigmoid_sensitivity_score,left_expanded_support,anatomic_pattern
CXCL13,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.10954225230494494,2,0,,0,,0,,0,neither
CXCR4,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,1,0,1,2,16.6,,0.44561460410197107,3,0,,0,,0,,0,neither
CYP11A1,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.011974462134809771,2,0,,0,,0,,0,neither
CYP2A6,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,1,0,1,2,4.0,,0.04283795817501075,3,0,,0,,0,,0,neither
DDIT4,1,0,0,1,increases,increases^expression;increases^reaction,7,1,1,1,0,0,0,0,0,1,1,,,0.090344312055115,2,0,,0,,0,,0,neither
DKK1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,12.5,,0.13900514415904197,3,0,,0,,0,,0,neither
DPT,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.04492784597638618,2,0,,0,,0,,0,neither
DUSP1,1,0,0,1,affects;increases,affects^cotreatment;increases^expression;increases^reaction,2,1,1,1,1,0,0,0,0,1,1,,,0.05777968984593972,2,0,,0,,0,,0,neither
ESR1,1,0,0,1,decreases;increases,decreases^reaction;increases^activity,1,1,1,1,0,0,0,1,0,1,2,15.1,,0.44359283745283135,3,0,,0,,0,,0,neither
FLG,1,0,0,1,affects,affects^abundance;affects^response to substance,1,1,1,1,0,0,0,0,0,1,1,,,0.010491494971534189,2,0,,0,,0,,0,neither
GSTA2,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.04003159305842688,2,0,,0,,0,,0,neither
HPGD,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,2,1,1,0,1,0,0,1,0,1,2,8.1,,0.0872684514166338,3,0,,0,,0,,0,neither
HSD3B2,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.0461294127075778,2,0,,0,,0,,0,neither
HSPA1A,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0,1,0,1,2,6.8,,0.10248523410290747,3,0,,0,,0,,0,neither
HSPA1L,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0,0,0,1,1,,,0.03436871251611191,2,0,,0,,0,,0,neither
IGFBP1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,3.9,,0.0860665440824603,3,0,,0,,0,,0,neither
LUM,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.05716535208768435,2,0,,0,,0,,0,neither
MAP1LC3B,1,0,0,1,increases,increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,7.4,,0.09243324016806351,3,0,,0,,0,,0,neither
MMP2,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,1,0,1,2,22.1,,0.12397873112343949,3,0,,0,,0,,0,neither
MMP9,1,0,0,1,affects,affects^expression,1,1,1,1,0,0,0,1,0,1,2,23.7,,0.12616035305467896,3,0,,0,,0,,0,neither
NEAT1,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,19.6,,0.11881408426664597,3,0,,0,,0,,0,neither
NR1I2,1,0,0,1,affects;increases,affects^binding;increases^activity,3,1,3,1,0,0,0,1,0,1,2,9.7,,0.10921251303596125,3,0,,0,,0,,0,neither
NR1I3,1,0,0,1,affects;increases,affects^binding;increases^activity,2,1,2,1,0,0,0,0,0,1,1,,,0.03060859687083273,2,0,,0,,0,,0,neither
NR3C1,1,0,0,1,affects;increases,affects^cotreatment;increases^activity;increases^reaction,2,1,1,1,1,0,0,0,0,1,1,,,0.3861902214325396,2,0,,0,,0,,0,neither
OMD,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.2639929434226974,2,0,,0,,0,,0,neither
PARP10,1,0,0,1,increases,increases^methylation,1,1,1,1,0,0,0,0,0,1,1,,,0.05299118085325851,2,0,,0,,0,,0,neither
PGR,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,4.3,,0.06159327306149363,3,0,,1,0.0022174791281082107,0,,1,left_only
PLA2G4A,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,1,1,1,0,1,0,0,1,0,1,2,3.7,,0.0476348116572022,3,0,,0,,0,,0,neither
PLAC8,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.09950989803805872,2,0,,0,,0,,0,neither
PPARA,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0,1,0,1,2,9.6,,0.09750255771859456,3,0,,0,,0,,0,neither
PPARD,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0,1,0,1,2,15.8,,0.12561597067540708,3,0,,0,,0,,0,neither
PPARG,1,0,0,1,affects;increases,affects^activity;affects^binding;increases^activity,3,1,3,1,0,0,0,1,0,1,2,36.7,,0.5893755515633613,3,0,,0,,0,,0,neither
PTGER1,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression;decreases^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.02818355480039779,2,0,,0,,0,,0,neither
PTGER2,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,1,0,1,2,4.8,,0.04431235795898724,3,0,,0,,0,,0,neither
PTGER3,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.02050863188675833,2,0,,0,,0,,0,neither
PTGER4,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression;decreases^reaction,1,1,1,0,1,0,0,1,0,1,2,8.0,,0.3775381472857955,3,0,,0,,0,,0,neither
PTGES,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,7.0,,0.025968696366343684,3,0,,0,,0,,0,neither
PTGES2,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,2,1,1,0,1,0,0,1,0,1,2,6.8,,0.018482258328419744,3,0,,0,,0,,0,neither
PTGES3,1,0,0,1,affects;decreases,affects^cotreatment;affects^reaction;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.019640483768194866,2,0,,0,,0,,0,neither
PTGFR,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,0,0,1,1,,,0.008551667193121016,2,0,,0,,0,,0,neither
PTGS1,1,0,0,1,affects,affects^cotreatment;affects^expression;affects^reaction,2,1,1,0,1,0,0,1,0,1,2,15.6,,0.44140332898538487,3,0,,0,,0,,0,neither
PTGS2,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,39.9,,0.45032373358330563,3,0,,0,,0,,0,neither
PTX3,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.1077380923003705,2,0,,0,,0,,0,neither
RELA,1,0,0,1,increases,increases^phosphorylation,1,1,1,1,0,0,0,1,0,1,2,13.4,,0.10351441479600511,3,0,,0,,0,,0,neither
RGS2,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.03148189555576462,2,0,,0,,0,,0,neither
RPS2,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.05946599810345295,2,0,,0,,0,,0,neither
RXRA,1,0,0,1,affects,affects^binding,1,1,2,1,0,0,0,1,0,1,2,6.7,,0.5133977025410836,3,0,,0,,0,,0,neither
RXRB,1,0,0,1,affects,affects^binding,1,1,1,1,0,0,0,0,0,1,1,,,0.004506821005738447,2,0,,0,,0,,0,neither
SCGN,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.025202015132017364,2,0,,0,,0,,0,neither
SIRT1,1,0,0,1,decreases,decreases^expression,2,1,1,1,0,0,0,1,0,1,2,14.7,,0.11964360569781919,3,0,,0,,0,,0,neither
SIRT2,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,1,0,1,2,4.0,,0.1044224063383827,3,0,,0,,0,,0,neither
SIRT3,1,0,0,1,decreases,decreases^expression,2,1,1,1,0,0,0,1,0,1,2,4.0,,0.10525772281685455,3,0,,0,,0,,0,neither
SIRT5,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,1,0,1,2,3.2,,0.10368165702455345,3,0,,0,,0,,0,neither
SLCO2A1,1,0,0,1,affects;increases,affects^cotreatment;affects^reaction;increases^expression,2,1,1,0,1,0,0,1,0,1,2,3.4,,0.45374262687452843,3,0,,0,,0,,0,neither
SNHG25,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.08755346757480587,2,0,,0,,0,,0,neither
SNORA13,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.077283254057401,2,0,,0,,0,,0,neither
SNORA65,1,0,0,1,affects;increases,affects^cotreatment;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.0036957985468470188,2,0,,0,,0,,0,neither
SPP2,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.03173645692379893,2,0,,0,,0,,0,neither
SQSTM1,1,0,0,1,decreases;increases,decreases^expression;increases^expression;increases^reaction,3,1,1,1,0,0,0,1,0,1,2,8.7,,0.11049178605110838,3,0,,0,,0,,0,neither
STAR,1,0,0,1,affects;decreases;increases,affects^cotreatment;decreases^reaction;increases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.015963796500964206,2,0,,0,,0,,0,neither
STAT3,1,0,0,1,increases,increases^phosphorylation,1,1,1,1,0,0,0,1,0,1,2,30.7,,0.4404197366317531,3,0,,0,,0,,0,neither
SUSD2,1,0,0,1,affects;decreases,affects^cotreatment;decreases^expression,1,1,1,0,1,0,0,0,0,1,1,,,0.06888988522447713,2,0,,0,,0,,0,neither
TIMP1,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,1,0,1,2,10.8,,0.12427138586533426,3,0,,0,,0,,0,neither
TIMP2,1,0,0,1,affects,affects^expression,1,1,1,1,0,0,0,1,0,1,2,7.9,,0.1120919548524406,3,0,,0,,0,,0,neither
TNC,1,0,0,1,decreases,decreases^expression,1,1,1,1,0,0,0,0,0,1,1,,,0.29737789127719705,2,0,,0,,0,,0,neither
