cluster_id,theme_label,gene_symbol,cluster_term_count,fraction_of_cluster_terms,cluster_top_driver,global_significant_term_count,global_theme_cluster_count,overall_driver_rank
theme_05,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2,6,1.0,True,37,15,14
theme_05,Lipid / fatty-acid / eicosanoid metabolism,CYP3A4,6,1.0,True,28,12,16
theme_05,Lipid / fatty-acid / eicosanoid metabolism,STAT3,5,0.8333333333333334,False,47,17,10
theme_06,Lipid / fatty-acid / eicosanoid metabolism,PTGS2,2,1.0,True,87,32,1
theme_06,Lipid / fatty-acid / eicosanoid metabolism,PPARD,2,1.0,True,85,33,2
theme_06,Lipid / fatty-acid / eicosanoid metabolism,SIRT1,2,1.0,True,74,27,4
theme_06,Lipid / fatty-acid / eicosanoid metabolism,BECN1,2,1.0,True,53,19,8
theme_06,Lipid / fatty-acid / eicosanoid metabolism,PTGS1,2,1.0,True,38,15,13
theme_06,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2,2,1.0,True,37,15,14
theme_06,Lipid / fatty-acid / eicosanoid metabolism,CYP3A4,2,1.0,True,28,12,16
theme_06,Lipid / fatty-acid / eicosanoid metabolism,PPARG,1,0.5,False,77,30,3
theme_06,Lipid / fatty-acid / eicosanoid metabolism,ESR1,1,0.5,False,61,22,5
theme_07,Inflammation / defense / stimulus response,PTGS2,2,1.0,True,87,32,1
theme_07,Inflammation / defense / stimulus response,PPARD,2,1.0,True,85,33,2
theme_07,Inflammation / defense / stimulus response,PPARG,2,1.0,True,77,30,3
theme_07,Inflammation / defense / stimulus response,ESR1,2,1.0,True,61,22,5
theme_07,Inflammation / defense / stimulus response,RELA,2,1.0,True,58,21,6
theme_07,Inflammation / defense / stimulus response,MMP9,2,1.0,True,56,21,7
theme_07,Inflammation / defense / stimulus response,BECN1,2,1.0,True,53,19,8
theme_07,Inflammation / defense / stimulus response,STAT3,2,1.0,True,47,17,10
theme_07,Inflammation / defense / stimulus response,CXCR4,2,1.0,True,38,14,12
theme_07,Inflammation / defense / stimulus response,NEAT1,2,1.0,True,20,10,18
theme_07,Inflammation / defense / stimulus response,MMP2,1,0.5,False,50,21,9
theme_07,Inflammation / defense / stimulus response,CRP,1,0.5,False,25,13,17
theme_08,Development / reproduction / circulation,PTGS2,7,1.0,True,87,32,1
theme_08,Development / reproduction / circulation,PPARD,7,1.0,True,85,33,2
theme_08,Development / reproduction / circulation,PPARG,7,1.0,True,77,30,3
theme_08,Development / reproduction / circulation,SIRT1,7,1.0,True,74,27,4
theme_08,Development / reproduction / circulation,ESR1,7,1.0,True,61,22,5
theme_08,Development / reproduction / circulation,RELA,7,1.0,True,58,21,6
theme_08,Development / reproduction / circulation,MMP9,7,1.0,True,56,21,7
theme_08,Development / reproduction / circulation,MMP2,7,1.0,True,50,21,9
theme_08,Development / reproduction / circulation,STAT3,7,1.0,True,47,17,10
theme_08,Development / reproduction / circulation,TIMP1,7,1.0,True,42,17,11
theme_08,Development / reproduction / circulation,CXCR4,7,1.0,True,38,14,12
theme_08,Development / reproduction / circulation,DKK1,7,1.0,True,32,9,15
theme_08,Development / reproduction / circulation,BECN1,6,0.8571428571428571,False,53,19,8
theme_08,Development / reproduction / circulation,CYP1A2,6,0.8571428571428571,False,37,15,14
theme_08,Development / reproduction / circulation,CRP,3,0.42857142857142855,False,25,13,17
theme_08,Development / reproduction / circulation,PTGS1,1,0.14285714285714285,False,38,15,13
theme_09,Development / reproduction / circulation,PTGS2,1,1.0,True,87,32,1
theme_09,Development / reproduction / circulation,PPARD,1,1.0,True,85,33,2
theme_09,Development / reproduction / circulation,MMP9,1,1.0,True,56,21,7
theme_09,Development / reproduction / circulation,MMP2,1,1.0,True,50,21,9
theme_09,Development / reproduction / circulation,TIMP1,1,1.0,True,42,17,11
theme_10,Lipid / fatty-acid / eicosanoid metabolism,PTGS2,4,1.0,True,87,32,1
theme_10,Lipid / fatty-acid / eicosanoid metabolism,SIRT1,4,1.0,True,74,27,4
theme_10,Lipid / fatty-acid / eicosanoid metabolism,PTGS1,4,1.0,True,38,15,13
theme_10,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2,4,1.0,True,37,15,14
theme_10,Lipid / fatty-acid / eicosanoid metabolism,CYP3A4,4,1.0,True,28,12,16
theme_11,Development / reproduction / circulation,PTGS2,3,1.0,True,87,32,1
