cluster_id,theme_label,family_id,family_label,source,term_id,term_name,global_fdr,term_size,effective_domain_size,intersection_size,term_theme_id,term_theme_label,parents,intersection_genes
theme_02,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0031347,regulation of defense response,0.0031003540661524403,65,868,9,inflammation_defense,Inflammation / defense / stimulus response,"{'GO:0080134', 'GO:0006952'}",BECN1;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
theme_04,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0008283,cell population proliferation,0.00428942664119152,209,868,14,development_reproduction,Development / reproduction / circulation,{'GO:0009987'},BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_07,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0032101,regulation of response to external stimulus,0.004696542460027737,92,868,10,inflammation_defense,Inflammation / defense / stimulus response,"{'GO:0009605', 'GO:0048583'}",BECN1;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
theme_08,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0051239,regulation of multicellular organismal process,0.004696542460027737,214,868,14,development_reproduction,Development / reproduction / circulation,"{'GO:0050789', 'GO:0032501'}",BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_09,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0007566,embryo implantation,0.004696542460027737,13,868,5,development_reproduction,Development / reproduction / circulation,"{'GO:0007275', 'GO:0022414', 'GO:0007565'}",MMP2;MMP9;PPARD;PTGS2;TIMP1
theme_05,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0019752,carboxylic acid metabolic process,0.005849796511218857,54,868,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0043436'},CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
theme_06,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0008610,lipid biosynthetic process,0.005849796511218857,38,868,7,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0009058', 'GO:0006629'}",BECN1;CYP1A2;CYP3A4;PPARD;PTGS1;PTGS2;SIRT1
theme_10,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0006633,fatty acid biosynthetic process,0.005849796511218857,14,868,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0008610', 'GO:0006631', 'GO:0072330'}",CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
theme_05,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0043436,oxoacid metabolic process,0.005849796511218857,55,868,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0006082'},CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
theme_05,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0006082,organic acid metabolic process,0.005849796511218857,55,868,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0044281'},CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
theme_11,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0007565,female pregnancy,0.0059639120599296585,25,868,6,development_reproduction,Development / reproduction / circulation,"{'GO:0044703', 'GO:0044706'}",ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1
theme_11,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0044706,multi-multicellular organism process,0.006443937153578333,26,868,6,development_reproduction,Development / reproduction / circulation,{'GO:0032501'},ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1
theme_12,Signaling / receptor / hormone response,family_06,Signaling / receptor / hormone response,GO:BP,GO:0030522,intracellular receptor signaling pathway,0.006443937153578333,40,868,7,signaling_receptor,Signaling / receptor / hormone response,{'GO:0035556'},BECN1;ESR1;PPARD;PPARG;RELA;SIRT1;STAT3
theme_11,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0044703,multi-organism reproductive process,0.006443937153578333,26,868,6,development_reproduction,Development / reproduction / circulation,{'GO:0022414'},ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1
theme_07,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0009605,response to external stimulus,0.006443937153578333,157,868,12,inflammation_defense,Inflammation / defense / stimulus response,{'GO:0050896'},BECN1;CRP;CXCR4;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
theme_08,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0032501,multicellular organismal process,0.006641004960446473,320,868,16,development_reproduction,Development / reproduction / circulation,{'GO:0008150'},BECN1;CRP;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_13,General metabolism / biosynthesis / storage,family_09,General metabolism / biosynthesis / storage,GO:BP,GO:0065008,regulation of biological quality,0.006878078148631979,159,868,12,general_metabolism,General metabolism / biosynthesis / storage,{'GO:0065007'},CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;PPARD;PPARG;PTGS1;PTGS2;SIRT1
theme_14,Development / reproduction / circulation,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0048584,positive regulation of response to stimulus,0.00722674533949985,194,868,13,inflammation_defense,Inflammation / defense / stimulus response,"{'GO:0048518', 'GO:0050896', 'GO:0048583'}",BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3
theme_15,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0006950,response to stress,0.00752390252693529,276,868,15,inflammation_defense,Inflammation / defense / stimulus response,{'GO:0050896'},BECN1;CRP;CXCR4;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_16,General metabolism / biosynthesis / storage,family_09,General metabolism / biosynthesis / storage,GO:BP,GO:0009056,catabolic process,0.009427534111278836,136,868,11,general_metabolism,General metabolism / biosynthesis / storage,{'GO:0008152'},BECN1;CYP1A2;CYP3A4;MMP2;MMP9;NEAT1;PPARD;RELA;SIRT1;STAT3;TIMP1
theme_10,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0072330,monocarboxylic acid biosynthetic process,0.009427534111278836,17,868,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0032787', 'GO:0046394'}",CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
theme_17,miRNA transcription / metabolism,family_05,miRNA transcription / metabolism,GO:BP,GO:2000628,regulation of miRNA metabolic process,0.011287521275165295,30,868,6,mirna_regulation,miRNA transcription / metabolism,"{'GO:0051252', 'GO:0010586'}",ESR1;NEAT1;PPARD;PPARG;RELA;STAT3
theme_17,miRNA transcription / metabolism,family_05,miRNA transcription / metabolism,GO:BP,GO:0010586,miRNA metabolic process,0.013442385214167914,31,868,6,mirna_regulation,miRNA transcription / metabolism,{'GO:0016070'},ESR1;NEAT1;PPARD;PPARG;RELA;STAT3
theme_03,Chemical / oxygen / abiotic stress response,family_10,Ontology umbrella / root term,REAC,REAC:0000000,REACTOME root term,0.008532166825121671,387,868,17,ontology_umbrella,Ontology umbrella / root term,set(),BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_18,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,REAC,REAC:R-HSA-556833,Metabolism of lipids,0.009427534111278836,29,868,6,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'REAC:R-HSA-1430728'},CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2
theme_19,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,REAC,REAC:R-HSA-8978868,Fatty acid metabolism,0.008072712826864078,8,868,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'REAC:R-HSA-556833'},CYP1A2;PPARD;PTGS1;PTGS2
theme_20,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0008015,blood circulation,0.01590157939375247,32,868,6,development_reproduction,Development / reproduction / circulation,{'GO:0003013'},CRP;MMP2;PPARD;PPARG;PTGS1;PTGS2
theme_08,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0048731,system development,0.016539778405010502,253,868,14,development_reproduction,Development / reproduction / circulation,"{'GO:0007275', 'GO:0048856'}",BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_03,Chemical / oxygen / abiotic stress response,family_08,Development / reproduction / circulation,GO:BP,GO:0065007,biological regulation,0.016895039215047522,484,868,18,development_reproduction,Development / reproduction / circulation,{'GO:0008150'},BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_08,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0048513,animal organ development,0.018025021529489507,216,868,13,development_reproduction,Development / reproduction / circulation,{'GO:0048856'},CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_21,Signaling / receptor / hormone response,family_06,Signaling / receptor / hormone response,GO:BP,GO:0009966,regulation of signal transduction,0.01804116983302586,218,868,13,signaling_receptor,Signaling / receptor / hormone response,"{'GO:0010646', 'GO:0023051', 'GO:0007165', 'GO:0048583'}",BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_10,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0016053,organic acid biosynthetic process,0.018025021529489507,20,868,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0006082', 'GO:0044283'}",CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
theme_22,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0046457,prostanoid biosynthetic process,0.01804116983302586,4,868,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0006636', 'GO:0046456', 'GO:0006692'}",PTGS1;PTGS2;SIRT1
theme_10,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0046394,carboxylic acid biosynthetic process,0.018025021529489507,20,868,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0016053', 'GO:0019752'}",CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
theme_23,Chemical / oxygen / abiotic stress response,family_03,Chemical / oxygen / abiotic stress response,GO:BP,GO:0071492,cellular response to UV-A,0.01804116983302586,4,868,3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,"{'GO:0070141', 'GO:0034644'}",MMP2;MMP9;TIMP1
theme_22,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0001516,prostaglandin biosynthetic process,0.01804116983302586,4,868,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0006693', 'GO:0046457'}",PTGS1;PTGS2;SIRT1
theme_24,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0001676,long-chain fatty acid metabolic process,0.020329567669730736,11,868,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0006631'},CYP1A2;CYP3A4;PTGS1;PTGS2
theme_24,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0120254,olefinic compound metabolic process,0.020329567669730736,11,868,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0008152'},CYP1A2;CYP3A4;PTGS1;PTGS2
theme_25,Lipid / fatty-acid / eicosanoid metabolism,family_09,General metabolism / biosynthesis / storage,GO:BP,GO:0170062,nutrient storage,0.020329567669730736,11,868,4,general_metabolism,General metabolism / biosynthesis / storage,{'GO:0009987'},CRP;PPARD;PPARG;SIRT1
theme_26,Chemical / oxygen / abiotic stress response,family_03,Chemical / oxygen / abiotic stress response,GO:BP,GO:0001666,response to hypoxia,0.020329567669730736,52,868,7,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,"{'GO:0036293', 'GO:0006950'}",BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1
theme_08,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0032502,developmental process,0.020329567669730736,307,868,15,development_reproduction,Development / reproduction / circulation,{'GO:0008150'},BECN1;CRP;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_25,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0010883,regulation of lipid storage,0.020329567669730736,11,868,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0050794', 'GO:0019915'}",CRP;PPARD;PPARG;SIRT1
theme_25,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0019915,lipid storage,0.020329567669730736,11,868,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0170062'},CRP;PPARD;PPARG;SIRT1
theme_14,Development / reproduction / circulation,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0048583,regulation of response to stimulus,0.020329567669730736,263,868,14,inflammation_defense,Inflammation / defense / stimulus response,"{'GO:0050896', 'GO:0050789'}",BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_03,Chemical / oxygen / abiotic stress response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0051716,cellular response to stimulus,0.020441619780274933,362,868,16,inflammation_defense,Inflammation / defense / stimulus response,"{'GO:0050896', 'GO:0009987'}",BECN1;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_27,Signaling / receptor / hormone response,family_06,Signaling / receptor / hormone response,GO:BP,GO:0009755,hormone-mediated signaling pathway,0.022383661616626156,22,868,5,signaling_receptor,Signaling / receptor / hormone response,"{'GO:0032870', 'GO:0007165'}",ESR1;PPARD;PPARG;RELA;SIRT1
theme_28,Chemical / oxygen / abiotic stress response,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0033993,response to lipid,0.022920812324725717,99,868,9,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0042221'},DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;RELA;SIRT1;STAT3
theme_26,Chemical / oxygen / abiotic stress response,family_03,Chemical / oxygen / abiotic stress response,GO:BP,GO:0036293,response to decreased oxygen levels,0.024987481900900138,55,868,7,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,{'GO:0070482'},BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1
theme_29,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0033559,unsaturated fatty acid metabolic process,0.025618847845572085,12,868,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0006631'},CYP1A2;PTGS1;PTGS2;SIRT1
theme_17,miRNA transcription / metabolism,family_05,miRNA transcription / metabolism,GO:BP,GO:1902894,negative regulation of miRNA transcription,0.025618847845572085,12,868,4,mirna_regulation,miRNA transcription / metabolism,"{'GO:0045892', 'GO:0061614', 'GO:2000629', 'GO:1902893'}",ESR1;PPARD;PPARG;RELA
theme_08,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0007275,multicellular organism development,0.025618847845572085,273,868,14,development_reproduction,Development / reproduction / circulation,"{'GO:0048856', 'GO:0032501'}",BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_30,Signaling / receptor / hormone response,family_06,Signaling / receptor / hormone response,GO:BP,GO:1902532,negative regulation of intracellular signal transduction,0.025618847845572085,77,868,8,signaling_receptor,Signaling / receptor / hormone response,"{'GO:0009968', 'GO:0035556', 'GO:1902531'}",DKK1;ESR1;MMP9;PPARG;PTGS2;RELA;SIRT1;STAT3
theme_20,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0003013,circulatory system process,0.025618847845572085,38,868,6,development_reproduction,Development / reproduction / circulation,{'GO:0003008'},CRP;MMP2;PPARD;PPARG;PTGS1;PTGS2
theme_21,Signaling / receptor / hormone response,family_06,Signaling / receptor / hormone response,GO:BP,GO:0023051,regulation of signaling,0.025618847845572085,231,868,13,signaling_receptor,Signaling / receptor / hormone response,"{'GO:0023052', 'GO:0050789'}",BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_17,miRNA transcription / metabolism,family_05,miRNA transcription / metabolism,GO:BP,GO:2000629,negative regulation of miRNA metabolic process,0.025618847845572085,12,868,4,mirna_regulation,miRNA transcription / metabolism,"{'GO:0010586', 'GO:0051253', 'GO:2000628'}",ESR1;PPARD;PPARG;RELA
theme_31,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0009628,response to abiotic stimulus,0.02585071762250262,130,868,10,inflammation_defense,Inflammation / defense / stimulus response,{'GO:0050896'},BECN1;CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
theme_21,Signaling / receptor / hormone response,family_06,Signaling / receptor / hormone response,GO:BP,GO:0010646,regulation of cell communication,0.025841931441080542,232,868,13,signaling_receptor,Signaling / receptor / hormone response,"{'GO:0050794', 'GO:0007154'}",BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_32,Apoptosis / programmed cell death,family_04,Apoptosis / programmed cell death,GO:BP,GO:0042981,regulation of apoptotic process,0.026253202802905256,162,868,11,apoptosis_cell_death,Apoptosis / programmed cell death,"{'GO:0006915', 'GO:0043067'}",BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
theme_26,Chemical / oxygen / abiotic stress response,family_03,Chemical / oxygen / abiotic stress response,GO:BP,GO:0070482,response to oxygen levels,0.026253202802905256,57,868,7,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,{'GO:0009628'},BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1
theme_33,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0008202,steroid metabolic process,0.026253202802905256,24,868,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0006629'},CYP1A2;CYP3A4;ESR1;PPARD;SIRT1
theme_15,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0080134,regulation of response to stress,0.026253202802905256,131,868,10,inflammation_defense,Inflammation / defense / stimulus response,"{'GO:0006950', 'GO:0048583'}",BECN1;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3
theme_34,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0043207,response to external biotic stimulus,0.026253202802905256,104,868,9,inflammation_defense,Inflammation / defense / stimulus response,"{'GO:0009607', 'GO:0009605'}",BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
theme_14,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0048522,positive regulation of cellular process,0.026253202802905256,323,868,15,development_reproduction,Development / reproduction / circulation,"{'GO:0050794', 'GO:0048518', 'GO:0009987'}",BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_34,Inflammation / defense / stimulus response,family_02,Inflammation / defense / stimulus response,GO:BP,GO:0051707,response to other organism,0.026253202802905256,104,868,9,inflammation_defense,Inflammation / defense / stimulus response,"{'GO:0043207', 'GO:0044419'}",BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
theme_22,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0046456,icosanoid biosynthetic process,0.026253202802905256,5,868,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0006690', 'GO:0046394'}",PTGS1;PTGS2;SIRT1
theme_22,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0006636,unsaturated fatty acid biosynthetic process,0.026253202802905256,5,868,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,"{'GO:0006633', 'GO:0033559'}",PTGS1;PTGS2;SIRT1
theme_14,Development / reproduction / circulation,family_08,Development / reproduction / circulation,GO:BP,GO:0048518,positive regulation of biological process,0.026894914308514272,325,868,15,development_reproduction,Development / reproduction / circulation,"{'GO:0050789', 'GO:0008150'}",BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_35,Chemical / oxygen / abiotic stress response,family_03,Chemical / oxygen / abiotic stress response,GO:BP,GO:0062197,cellular response to chemical stress,0.028237591296531184,40,868,6,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,"{'GO:0070887', 'GO:0033554'}",BECN1;MMP2;PPARG;PTGS2;RELA;SIRT1
theme_29,Lipid / fatty-acid / eicosanoid metabolism,family_01,Lipid / fatty-acid / eicosanoid metabolism,GO:BP,GO:0006690,icosanoid metabolic process,0.028606256739203573,13,868,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,{'GO:0019752'},CYP1A2;PTGS1;PTGS2;SIRT1
theme_32,Apoptosis / programmed cell death,family_04,Apoptosis / programmed cell death,GO:BP,GO:0006915,apoptotic process,0.02933133489791236,201,868,12,apoptosis_cell_death,Apoptosis / programmed cell death,{'GO:0012501'},BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
