family_id,theme_id,theme_label,term_id,source,term_name,global_fdr,intersection_size,intersection_genes
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0046394,GO:BP,carboxylic acid biosynthetic process,0.018025021529489507,5,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0001516,GO:BP,prostaglandin biosynthetic process,0.01804116983302586,3,PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0046457,GO:BP,prostanoid biosynthetic process,0.01804116983302586,3,PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0001676,GO:BP,long-chain fatty acid metabolic process,0.020329567669730736,4,CYP1A2;CYP3A4;PTGS1;PTGS2
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0010883,GO:BP,regulation of lipid storage,0.020329567669730736,4,CRP;PPARD;PPARG;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0019915,GO:BP,lipid storage,0.020329567669730736,4,CRP;PPARD;PPARG;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0120254,GO:BP,olefinic compound metabolic process,0.020329567669730736,4,CYP1A2;CYP3A4;PTGS1;PTGS2
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0033993,GO:BP,response to lipid,0.022920812324725717,9,DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;RELA;SIRT1;STAT3
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0033559,GO:BP,unsaturated fatty acid metabolic process,0.025618847845572085,4,CYP1A2;PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0006636,GO:BP,unsaturated fatty acid biosynthetic process,0.026253202802905256,3,PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0008202,GO:BP,steroid metabolic process,0.026253202802905256,5,CYP1A2;CYP3A4;ESR1;PPARD;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0046456,GO:BP,icosanoid biosynthetic process,0.026253202802905256,3,PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0006690,GO:BP,icosanoid metabolic process,0.028606256739203573,4,CYP1A2;PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0006692,GO:BP,prostanoid metabolic process,0.040022080267862956,3,PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0006693,GO:BP,prostaglandin metabolic process,0.040022080267862956,3,PTGS1;PTGS2;SIRT1
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0008203,GO:BP,cholesterol metabolic process,0.040022080267862956,3,CYP1A2;CYP3A4;PPARD
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-9018677,REAC,Biosynthesis of DHA-derived SPMs,0.040022080267862956,3,CYP1A2;CYP3A4;PTGS2
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-9018678,REAC,Biosynthesis of specialized proresolving mediators (SPMs),0.040022080267862956,3,CYP1A2;CYP3A4;PTGS2
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0010876,GO:BP,lipid localization,0.04876019881269913,5,CRP;PPARD;PPARG;PTGS2;SIRT1
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0006954,GO:BP,inflammatory response,0.000246249980700841,11,CRP;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3;TIMP1
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0006952,GO:BP,defense response,0.0006036566795846424,12,BECN1;CRP;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3;TIMP1
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0050727,GO:BP,regulation of inflammatory response,0.001982446792593204,8,ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0050896,GO:BP,response to stimulus,0.001982446792593204,18,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0031347,GO:BP,regulation of defense response,0.0031003540661524403,9,BECN1;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0032101,GO:BP,regulation of response to external stimulus,0.004696542460027737,10,BECN1;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0009605,GO:BP,response to external stimulus,0.006443937153578333,12,BECN1;CRP;CXCR4;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0048584,GO:BP,positive regulation of response to stimulus,0.00722674533949985,13,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0006950,GO:BP,response to stress,0.00752390252693529,15,BECN1;CRP;CXCR4;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0048583,GO:BP,regulation of response to stimulus,0.020329567669730736,14,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0051716,GO:BP,cellular response to stimulus,0.020441619780274933,16,BECN1;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0009628,GO:BP,response to abiotic stimulus,0.02585071762250262,10,BECN1;CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0043207,GO:BP,response to external biotic stimulus,0.026253202802905256,9,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0051707,GO:BP,response to other organism,0.026253202802905256,9,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0080134,GO:BP,regulation of response to stress,0.026253202802905256,10,BECN1;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0009607,GO:BP,response to biotic stimulus,0.03658169649799155,9,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
family_02,inflammation_defense,Inflammation / defense / stimulus response,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,0.04101220417348617,9,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:0070887,GO:BP,cellular response to chemical stimulus,0.0007479911063191124,15,BECN1;CXCR4;CYP1A2;CYP3A4;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:0042221,GO:BP,response to chemical,0.0012686458499641202,16,BECN1;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:0071492,GO:BP,cellular response to UV-A,0.01804116983302586,3,MMP2;MMP9;TIMP1
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:0001666,GO:BP,response to hypoxia,0.020329567669730736,7,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:0036293,GO:BP,response to decreased oxygen levels,0.024987481900900138,7,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:0070482,GO:BP,response to oxygen levels,0.026253202802905256,7,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:0062197,GO:BP,cellular response to chemical stress,0.028237591296531184,6,BECN1;MMP2;PPARG;PTGS2;RELA;SIRT1
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:0036294,GO:BP,cellular response to decreased oxygen levels,0.02933133489791236,5,BECN1;PPARD;PPARG;PTGS2;SIRT1
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:0071453,GO:BP,cellular response to oxygen levels,0.033807645234822395,5,BECN1;PPARD;PPARG;PTGS2;SIRT1
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,GO:1901700,GO:BP,response to oxygen-containing compound,0.037467514944093665,11,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;RELA;SIRT1;STAT3;TIMP1
family_04,apoptosis_cell_death,Apoptosis / programmed cell death,GO:0042981,GO:BP,regulation of apoptotic process,0.026253202802905256,11,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
family_04,apoptosis_cell_death,Apoptosis / programmed cell death,GO:0006915,GO:BP,apoptotic process,0.02933133489791236,12,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
family_04,apoptosis_cell_death,Apoptosis / programmed cell death,GO:0043067,GO:BP,regulation of programmed cell death,0.030115366957533606,11,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
family_04,apoptosis_cell_death,Apoptosis / programmed cell death,GO:0043066,GO:BP,negative regulation of apoptotic process,0.03658169649799155,9,BECN1;DKK1;ESR1;MMP9;PPARD;PTGS2;RELA;SIRT1;TIMP1
family_04,apoptosis_cell_death,Apoptosis / programmed cell death,GO:0008219,GO:BP,cell death,0.03732800247468826,12,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
family_04,apoptosis_cell_death,Apoptosis / programmed cell death,GO:0012501,GO:BP,programmed cell death,0.03732800247468826,12,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
family_04,apoptosis_cell_death,Apoptosis / programmed cell death,GO:0043069,GO:BP,negative regulation of programmed cell death,0.04876019881269913,9,BECN1;DKK1;ESR1;MMP9;PPARD;PTGS2;RELA;SIRT1;TIMP1
family_05,mirna_regulation,miRNA transcription / metabolism,GO:2000628,GO:BP,regulation of miRNA metabolic process,0.011287521275165295,6,ESR1;NEAT1;PPARD;PPARG;RELA;STAT3
family_05,mirna_regulation,miRNA transcription / metabolism,GO:0010586,GO:BP,miRNA metabolic process,0.013442385214167914,6,ESR1;NEAT1;PPARD;PPARG;RELA;STAT3
family_05,mirna_regulation,miRNA transcription / metabolism,GO:1902894,GO:BP,negative regulation of miRNA transcription,0.025618847845572085,4,ESR1;PPARD;PPARG;RELA
family_05,mirna_regulation,miRNA transcription / metabolism,GO:2000629,GO:BP,negative regulation of miRNA metabolic process,0.025618847845572085,4,ESR1;PPARD;PPARG;RELA
family_05,mirna_regulation,miRNA transcription / metabolism,GO:0061614,GO:BP,miRNA transcription,0.033807645234822395,5,ESR1;PPARD;PPARG;RELA;STAT3
family_05,mirna_regulation,miRNA transcription / metabolism,GO:1902893,GO:BP,regulation of miRNA transcription,0.033807645234822395,5,ESR1;PPARD;PPARG;RELA;STAT3
family_06,signaling_receptor,Signaling / receptor / hormone response,GO:0030522,GO:BP,intracellular receptor signaling pathway,0.006443937153578333,7,BECN1;ESR1;PPARD;PPARG;RELA;SIRT1;STAT3
family_06,signaling_receptor,Signaling / receptor / hormone response,GO:0009966,GO:BP,regulation of signal transduction,0.01804116983302586,13,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_06,signaling_receptor,Signaling / receptor / hormone response,GO:0009755,GO:BP,hormone-mediated signaling pathway,0.022383661616626156,5,ESR1;PPARD;PPARG;RELA;SIRT1
family_06,signaling_receptor,Signaling / receptor / hormone response,GO:0023051,GO:BP,regulation of signaling,0.025618847845572085,13,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_06,signaling_receptor,Signaling / receptor / hormone response,GO:1902532,GO:BP,negative regulation of intracellular signal transduction,0.025618847845572085,8,DKK1;ESR1;MMP9;PPARG;PTGS2;RELA;SIRT1;STAT3
family_06,signaling_receptor,Signaling / receptor / hormone response,GO:0010646,GO:BP,regulation of cell communication,0.025841931441080542,13,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_06,signaling_receptor,Signaling / receptor / hormone response,REAC:R-HSA-383280,REAC,Nuclear Receptor transcription pathway,0.026253202802905256,3,ESR1;PPARD;PPARG
family_06,signaling_receptor,Signaling / receptor / hormone response,GO:1902531,GO:BP,regulation of intracellular signal transduction,0.03546946054989412,11,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3
family_06,signaling_receptor,Signaling / receptor / hormone response,GO:2001233,GO:BP,regulation of apoptotic signaling pathway,0.037467514944093665,7,BECN1;MMP2;MMP9;PPARG;PTGS2;RELA;SIRT1
family_07,matrix_migration,Matrix remodeling / cell migration,REAC:R-HSA-1592389,REAC,Activation of Matrix Metalloproteinases,0.026253202802905256,3,MMP2;MMP9;TIMP1
family_07,matrix_migration,Matrix remodeling / cell migration,GO:0030334,GO:BP,regulation of cell migration,0.04360122660091371,9,CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0042127,GO:BP,regulation of cell population proliferation,0.001982446792593204,14,BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0008283,GO:BP,cell population proliferation,0.00428942664119152,14,BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0007566,GO:BP,embryo implantation,0.004696542460027737,5,MMP2;MMP9;PPARD;PTGS2;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0051239,GO:BP,regulation of multicellular organismal process,0.004696542460027737,14,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0007565,GO:BP,female pregnancy,0.0059639120599296585,6,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0044703,GO:BP,multi-organism reproductive process,0.006443937153578333,6,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0044706,GO:BP,multi-multicellular organism process,0.006443937153578333,6,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0032501,GO:BP,multicellular organismal process,0.006641004960446473,16,BECN1;CRP;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0008015,GO:BP,blood circulation,0.01590157939375247,6,CRP;MMP2;PPARD;PPARG;PTGS1;PTGS2
family_08,development_reproduction,Development / reproduction / circulation,GO:0048731,GO:BP,system development,0.016539778405010502,14,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0065007,GO:BP,biological regulation,0.016895039215047522,18,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0048513,GO:BP,animal organ development,0.018025021529489507,13,CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0032502,GO:BP,developmental process,0.020329567669730736,15,BECN1;CRP;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0003013,GO:BP,circulatory system process,0.025618847845572085,6,CRP;MMP2;PPARD;PPARG;PTGS1;PTGS2
family_08,development_reproduction,Development / reproduction / circulation,GO:0007275,GO:BP,multicellular organism development,0.025618847845572085,14,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0048522,GO:BP,positive regulation of cellular process,0.026253202802905256,15,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0048518,GO:BP,positive regulation of biological process,0.026894914308514272,15,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_08,development_reproduction,Development / reproduction / circulation,GO:0048856,GO:BP,anatomical structure development,0.046117314599727836,14,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_09,general_metabolism,General metabolism / biosynthesis / storage,GO:0065008,GO:BP,regulation of biological quality,0.006878078148631979,12,CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;PPARD;PPARG;PTGS1;PTGS2;SIRT1
family_09,general_metabolism,General metabolism / biosynthesis / storage,GO:0009056,GO:BP,catabolic process,0.009427534111278836,11,BECN1;CYP1A2;CYP3A4;MMP2;MMP9;NEAT1;PPARD;RELA;SIRT1;STAT3;TIMP1
family_09,general_metabolism,General metabolism / biosynthesis / storage,GO:0170062,GO:BP,nutrient storage,0.020329567669730736,4,CRP;PPARD;PPARG;SIRT1
family_09,general_metabolism,General metabolism / biosynthesis / storage,GO:0044238,GO:BP,primary metabolic process,0.031999805704375446,16,BECN1;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
family_09,general_metabolism,General metabolism / biosynthesis / storage,GO:0044281,GO:BP,small molecule metabolic process,0.034215201865082395,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3
family_10,ontology_umbrella,Ontology umbrella / root term,REAC:0000000,REAC,REACTOME root term,0.008532166825121671,17,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
