cluster_id,theme_label,term_id,source,term_name,global_fdr,intersection_size,term_theme_id,term_theme_label,intersection_genes
theme_13,General metabolism / biosynthesis / storage,GO:0065008,GO:BP,regulation of biological quality,0.006878078148631979,12,general_metabolism,General metabolism / biosynthesis / storage,CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;PPARD;PPARG;PTGS1;PTGS2;SIRT1
theme_14,Development / reproduction / circulation,GO:0048584,GO:BP,positive regulation of response to stimulus,0.00722674533949985,13,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3
theme_14,Development / reproduction / circulation,GO:0048583,GO:BP,regulation of response to stimulus,0.020329567669730736,14,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_14,Development / reproduction / circulation,GO:0048522,GO:BP,positive regulation of cellular process,0.026253202802905256,15,development_reproduction,Development / reproduction / circulation,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_14,Development / reproduction / circulation,GO:0048518,GO:BP,positive regulation of biological process,0.026894914308514272,15,development_reproduction,Development / reproduction / circulation,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_15,Inflammation / defense / stimulus response,GO:0006950,GO:BP,response to stress,0.00752390252693529,15,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CRP;CXCR4;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1
theme_15,Inflammation / defense / stimulus response,GO:0080134,GO:BP,regulation of response to stress,0.026253202802905256,10,inflammation_defense,Inflammation / defense / stimulus response,BECN1;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3
theme_16,General metabolism / biosynthesis / storage,GO:0009056,GO:BP,catabolic process,0.009427534111278836,11,general_metabolism,General metabolism / biosynthesis / storage,BECN1;CYP1A2;CYP3A4;MMP2;MMP9;NEAT1;PPARD;RELA;SIRT1;STAT3;TIMP1
theme_17,miRNA transcription / metabolism,GO:2000628,GO:BP,regulation of miRNA metabolic process,0.011287521275165295,6,mirna_regulation,miRNA transcription / metabolism,ESR1;NEAT1;PPARD;PPARG;RELA;STAT3
theme_17,miRNA transcription / metabolism,GO:0010586,GO:BP,miRNA metabolic process,0.013442385214167914,6,mirna_regulation,miRNA transcription / metabolism,ESR1;NEAT1;PPARD;PPARG;RELA;STAT3
theme_17,miRNA transcription / metabolism,GO:1902894,GO:BP,negative regulation of miRNA transcription,0.025618847845572085,4,mirna_regulation,miRNA transcription / metabolism,ESR1;PPARD;PPARG;RELA
theme_17,miRNA transcription / metabolism,GO:2000629,GO:BP,negative regulation of miRNA metabolic process,0.025618847845572085,4,mirna_regulation,miRNA transcription / metabolism,ESR1;PPARD;PPARG;RELA
