dataset_version_id,role,cell_type_original,cell_class,gene_symbol,available_in_dataset,expression_transform,n_cells,n_male_cells,n_female_cells,n_male_donors,n_female_donors,male_mean_expression,female_mean_expression,female_minus_male_beta,se,raw_p,test_status,male_detection_fraction,female_detection_fraction,FDR,fdr_family,fdr_denominator,logFC_or_effect,direction,analysis_method
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,JUN,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.6464297484898194,nan,nan,1.0,insufficient_donors,nan,0.15795328142380421,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ADAM10,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.05039261878203492,nan,nan,1.0,insufficient_donors,nan,0.03337041156840934,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ADAM17,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.03766155522941743,nan,nan,1.0,insufficient_donors,nan,0.02335928809788654,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ADRA2C,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ADRB2,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0064294090206991105,nan,nan,1.0,insufficient_donors,nan,0.004449388209121246,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AGER,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.008287573287417692,nan,nan,1.0,insufficient_donors,nan,0.0055617352614015575,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AHRR,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AHSG,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AKT1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.015886571449988108,nan,nan,1.0,insufficient_donors,nan,0.010011123470522803,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ALB,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ALDH1A1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.6650435635174148,nan,nan,1.0,insufficient_donors,nan,0.017797552836484983,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ALDH2,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.05750315094687528,nan,nan,1.0,insufficient_donors,nan,0.04004449388209121,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ALOX12,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ALOX15,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ALPL,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.00394487340978328,nan,nan,1.0,insufficient_donors,nan,0.002224694104560623,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ANGPTL4,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.002005566286560673,nan,nan,1.0,insufficient_donors,nan,0.0011123470522803114,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ANXA5,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.8481801315308685,nan,nan,1.0,insufficient_donors,nan,0.0778642936596218,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ANXA6,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.05175262809599806,nan,nan,1.0,insufficient_donors,nan,0.03337041156840934,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,APAF1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.01877777048405385,nan,nan,1.0,insufficient_donors,nan,0.013348164627363738,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,APLNR,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,APOBEC3A,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,APOBEC3F,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.005018174381597463,nan,nan,1.0,insufficient_donors,nan,0.0033370411568409346,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,APOC2,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,APOD,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.05563482995534637,nan,nan,1.0,insufficient_donors,nan,0.034482758620689655,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,APP,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.4576109306790952,nan,nan,1.0,insufficient_donors,nan,0.09121245828698554,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AREG,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.12890130988170104,nan,nan,1.0,insufficient_donors,nan,0.08342602892102335,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ARG1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ARG2,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.009212360286072597,nan,nan,1.0,insufficient_donors,nan,0.0055617352614015575,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ARNT,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.013237004512108413,nan,nan,1.0,insufficient_donors,nan,0.010011123470522803,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ARRB1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ASCL1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ATF3,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.426172034719113,nan,nan,1.0,insufficient_donors,nan,0.07119021134593993,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ATF6,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.02436390699156179,nan,nan,1.0,insufficient_donors,nan,0.01557285873192436,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ATG4B,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.019526004791259766,nan,nan,1.0,insufficient_donors,nan,0.012235817575083427,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ATM,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.07836647308379478,nan,nan,1.0,insufficient_donors,nan,0.05116796440489433,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ATP5F1A,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.201355052541033,nan,nan,1.0,insufficient_donors,nan,0.13236929922135707,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ATP5F1B,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.9037809393016552,nan,nan,1.0,insufficient_donors,nan,0.1746384872080089,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ATRX,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0873816985411932,nan,nan,1.0,insufficient_donors,nan,0.05672969966629588,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,ATXN2,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.025141280769501756,nan,nan,1.0,insufficient_donors,nan,0.01557285873192436,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AURKA,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.347152480049688,nan,nan,1.0,insufficient_donors,nan,0.006674082313681869,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AURKB,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.014199620925340077,nan,nan,1.0,insufficient_donors,nan,0.011123470522803115,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,AVPR1A,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,BAX,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.05745584892746586,nan,nan,1.0,insufficient_donors,nan,0.041156840934371525,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,BAZ2B,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.025195943829197213,nan,nan,1.0,insufficient_donors,nan,0.01668520578420467,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,BCL2,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.038278766393128126,nan,nan,1.0,insufficient_donors,nan,0.024471635150166853,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,BCL2L1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.009564957496037153,nan,nan,1.0,insufficient_donors,nan,0.006674082313681869,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,BCL2L11,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.10025931844775308,nan,nan,1.0,insufficient_donors,nan,0.06562847608453838,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,BIRC5,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.004958384522388979,nan,nan,1.0,insufficient_donors,nan,0.004449388209121246,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,BPIFB4,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,BRCA1,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0018024183226378438,nan,nan,1.0,insufficient_donors,nan,0.0011123470522803114,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,CALCB,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,nan,0.0,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,CAMP,True,X as supplied (treated as already normalized/log-scaled),899,0,899,0,2,nan,0.0015177114697910794,nan,nan,1.0,insufficient_donors,nan,0.0011123470522803114,1.0,all prespecified candidate genes x all prespecified target curated cell types x datasets,15510,nan,undetermined,donor-level mean expression; Welch two-sample test
