dataset_version_id,role,cell_type_original,cell_class,branch_class,module_id,module_size,module_genes_total,module_genes_found,module_gene_coverage,module_genes_found_list,n_male_donors,n_female_donors,male_mean_activity,female_mean_activity,female_minus_male_activity,se,raw_p,test_status,activity_definition,FDR,fdr_family,fdr_denominator,direction
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M035,1,1,1,1.0,TCF19,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M036,1,1,1,1.0,TGM2,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M037,1,1,1,1.0,THRSP,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M038,1,1,1,1.0,TNC,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,thyroid-branch,THY_M039,1,1,1,1.0,WDR1,0,2,nan,5.551115123125783e-17,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M001,152,152,152,1.0,ABL1;ACHE;ACTB;ADAM10;AKT1;ANXA5;APAF1;APP;AR;ARNT;ASCL1;ATF3;ATF6;ATM;ATP5F1A;ATRX;ATXN2;AURKA;AURKB;BAX;BCL2;BCL2L1;BCL2L11;BIRC5;BRCA1;CASP3;CASP7;CASP9;CBX1;CCN1;CCNA2;CCNB2;CCND1;CDC20;CDCA3;CDK1;CDK2;CDKN1A;CDKN1B;CFTR;CKB;CKS1B;CLCA1;CREB1;CYCS;DDIT4;DNMT1;DUSP1;EGFR;ENO1;EPAS1;ERG;ERRFI1;ESR1;ESR2;ESRRA;FBP1;FEN1;FKBP5;FOS;FOXA2;FUS;FXN;GDF15;GSK3A;HDAC3;HDAC6;HDAC9;HIF1A;HSPA1A;HSPA1B;HSPA5;HSPA9;HSPB1;HSPD1;HTT;IDE;IDH1;IER3;JUN;KIF22;KMT2A;KRT19;LGALS9;LMNA;LRG1;MAPK1;MAPT;MBD2;MCL1;MDM2;MDM4;MEN1;MITF;MMEL1;MOV10;MUC1;MYBL2;MYC;NAE1;NCOA1;NCOA3;NR3C1;NRGN;P4HB;PABPC1;PCLAF;PDIA3;PGR;PIN1;PKM;PLK1;PPP1CA;PRKN;PRMT1;PRNP;PTPN5;RAD52;RAF1;RAN;RARA;RHOC;RPS27A;RPSA;SELENBP1;SFN;SGK1;SMAD2;SMAD3;SNCA;SOX17;SOX2;SUMO1;SYNPO;SYP;TARDBP;TGM2;THRB;TK1;TNFRSF10B;TP53;TSG101;TUBA1A;TUBB;TUBB4A;TUBB6;UCHL1;USP1;USP2;VCP;WRN;YAP1,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M002,89,89,86,0.9662921348314607,A2M;ADAM17;AGER;AHSG;ALB;ALPL;APOC2;APOD;ARG1;ARG2;CAMP;CASP1;CCL17;CCL2;CCL3;CCL7;CCL8;CD177;CFB;CGAS;CHI3L1;CLU;COL18A1;COL1A1;COL1A2;COL5A1;COL5A2;CXCL1;CXCL10;CXCL14;CXCL2;CXCL8;CXCR6;EDN1;ELN;ERAP1;F3;FGF22;FGF7;HMGB1;IFNG;IGF1;IL11;IL1B;IL4;ITGA2B;LOX;LYPLA1;MFAP4;MMP14;MMP9;NFKB1;NFKB2;NGF;NLRP3;NOD2;NOS3;NTRK2;ORM1;PADI4;PAFAH1B2;PAPPA;PF4;PGF;PLA2G7;PLAT;PLAUR;PON1;PRTN3;PTX3;RIPK2;RORC;S100A6;S100A8;S100A9;SAA2;SERPINA1;SERPINE1;SLC22A4;TIMP1;TIMP3;TMEM37;TNF;TNFAIP6;TNFRSF12A;TTR,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M003,59,59,57,0.9661016949152542,ABCB1;ADA;AHR;AHRR;ALDH1A1;ALDH2;ALOX12;ALOX15;CES1;CYP19A1;CYP1A1;CYP1A2;CYP1B1;CYP2A6;CYP2B6;CYP2C19;CYP2C8;CYP2C9;CYP2D6;CYP2E1;CYP3A4;CYP3A5;CYP3A7;ENC1;EPHX1;EPHX2;FMO3;GCLC;GGT1;GPX3;GPX4;GSR;GSS;GSTA3;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;GSTO2;GSTP1;HMOX1;KCNH2;KCNQ1;KEAP1;NFE2L2;NQO1;NR1I2;PLA2G5;POR;PRDX2;PRDX6;SLC7A11;SULT1A1;UGT1A1;UGT1A7;UGT1A9,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M004,43,43,38,0.8837209302325582,ADRB2;APLNR;ARRB1;AVPR1A;CHRM1;COMT;DRD1;DRD2;EDN2;GCGR;GLI3;GLP1R;GNAI1;GNAS;GNRHR;GPR183;GRK2;HRH2;HRH3;HTR2A;KISS1R;MC1R;MC4R;OPRD1;OPRM1;OXTR;PLCB3;PRKAR2B;PTGER1;PTH1R;RAPGEF3;RAPGEF4;RGS16;RGS4;RRAS2;RXFP1;SCGB1A1;TSHR,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
f56c02aa-01c0-4fe0-b0ef-7a92bdba5a29,thyroid,B cell,immune,hypertension-branch,HYP_M005,17,17,17,1.0,ANGPTL4;AREG;FASN;IGFBP3;IGFBP6;MCOLN1;NR0B1;NR1H4;NR2F2;NRG1;PPARA;PPARD;PPARG;RXRA;TRPA1;TRPV1;VDR,0,2,nan,0.0,nan,nan,1.0,insufficient_donors,mean of within-cell-type donor-level z-scored expression across available M3 module genes,1.0,all M3 module x target curated cell type x dataset activity tests,4212,undetermined
