chemical_id,canonical_name,synonym,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,source,parent_metabolite_status,eligible_as_environmental_exposure,exclusion_reason,classification_rule_prefixes,drug_like_exclusion,drugcentral_match
C414673,"1,1,1,3,3,3-hexafluoropropane","1,1,1,3,3,3-HFP|2,2-dihydroperfluoropropane|bistrifluoromethylmethane",690-39-1,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C046325,"1,1,1,3,3,4,4,4-octafluoro-2-(trifluoromethyl)-2-butanol","1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)butan-2-ol|CCRL 583|CCRL-583",6188-98-3,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C403631,"1,1,1,3,3-pentafluoropropane",HFC 245fa|HFC-245fa,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C543583,"1,1,1,3-tetrafluoropropene","trans-1,1,1,3-tetrafluoropropene",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C113464,"1,1,2,2,3,3,3-heptafluoro-1-iodopropane",Heptafluoro-1-iodopropane|HF-1-IP,754-34-7,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C585233,"1,1,2,2,3,3,4-heptafluorocyclopentane","1,2,2,3,3,4,4-Heptafluorocyclopentane|1H,1H,2H-heptafluorocyclopentane|1H,1H,2H-perfluorocyclopentane",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C090336,"1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane","(1H,1H-perfluoroethyl)(2H-perfluoroethyl)ether|TFTFE-ethane",406-78-0,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C527440,"1,1,2,2-tetrafluoroethanesulfonic acid","1,1,2,2-tetrafluoroethane-1-sulfonic acid",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C505284,"1,1,2,2-tetrahydroheptadecafluorodecanol-3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-1-decanol","3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecan-1-ol|8-2 telomer B alcohol",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C091756,"1,1,2,3,3,3-hexafluoropropyl methyl ether",HFPME,382-34-3,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C006718,"1,12-benzoperylene","1,12-benzperylene|benzo(ghi)perylene;benao[ghi]perylene|benzo(g,h,i)perylene|benzo[g,h,i]perylene|benzo[ghi]perylene|Benzo[ghi] perylene|b[ghi]p|BghiP",191-24-2,CID:9117,DTXSID5023908,GYFAGKUZYNFMBN-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C581681,"1,1,3,4-tetrahydro-6-(1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl)quinazolin-2,4-dione",pyrifluquinazon;337458-27-2|heptafluoroisopropyl pesticide pyrifluquinazon|PFQ,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C000705689,"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene","1,1-dichloro-2,2-bis(4-hydroxyphenyl)ethylene|4-(2,2-dichloro-1-(4-hydroxyphenyl)ethenyl)phenol|4,4'-(2,2-dichloroethenylidene)bis-phenol|bisphenol C 2|bisphenol C2;14868-03-2|4,4'-(2,2-dicloroetane-1,1-diil) diphenol|BPC|BPC2|dihydroxy-methoxychlor olefin",,,,,bisphenols,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.455.426.559.389.657.110,False,False
C040952,"1,1-dihydroperfluoroheptyl acrylate","1,1-DPFHA|2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptyl acrylate|acrylic acid 1,1-dihydroperfluoroheptyl ester",559-11-5,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C018931,11-eicosafluoroundecanoic acid,"11-H-eicosafluoroundecanoic acid|11-H-perfluoroundecanoic acid|2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-icosafluoroundecanoic acid|Undecanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-eicosafluoro-",1765-48-6,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C541120,"11-fluoro-7-(14,14,15,15-pentafluoro-6-methyl-10-thia-6-azapentadecyl)estra-1,3-5(10)-triene-3,17-diol",ZK 191703|ZK-191703|ZK191703,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C466991,"11-fluoro-7-(5-(methyl(3-((4,4,5,5,5-pentafluoropentyl)sulfanyl)propyl)amino)pentyl)estra-1,3,5(10)-triene-3,17-diol","(11beta-fluoro-7alpha-(5-(methyl-(3-((4,4,5,5,5-pentafluoropentyl)-sulfanyl)-propyl)-amino)-pentyl)-estra-1,3,5(10)-triene-3,17beta-diol)|(11b-fluoro-7a-(5-(methyl-(3-((4,4,5,5,5-pentafluoropentyl)-sulfanyl)-propyl)-amino)-pentyl)-estra-1,3,5(10)-triene-3,17b-diol)",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C471034,"11-fluoro-7-(5-(methyl(7,7,8,8,9,9,10,10,10-nonafluorodecyl)amino)pentyl)estra-1,3,5(10)-triene-3,17-diol",AE2 steroid,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C034041,11-methylbenzanthracene,11-methylbenz(a)anthracene,,CID:22488,,,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C402363,1-(1-propynyl)pyrene,,,CID:54377632,,,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C057082,"12,13-didehydro-F430",,98971-74-5,,,,heavy_metals,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D01.268.556;D01.552.544,False,False
C528199,"1,2,3,3,3-pentafluoropropene",,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C000588980,"1,2,3,3,4,4,5,5,6,6-decafluorocyclohex-1-ene",decafluorocyclohex-1-ene|decafluorocyclohexene|perfluorocyclohexene,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C000628157,"1, 2-benzenedicarboxylicacid, bis (2-methylpropyl) ester",DIBP compound,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C000628158,"1, 2-benzenedicarboxylic acid, mono (2-ethylhexyl) ester",MEHP compound,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C555026,"1-(2-benzyl-1,3-dioxoisoindolin-5-yl)-3-(1-phenylethyl)thiourea",BDP-thiourea,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C562128,"1,2-bis(2-methyl-6-nitro-1-benzothiophen-3-yl)perfluorocyclopentene",,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C007784,"1,2-dibromotetrafluoroethane","1,2-dibromo-1,1,2,2-tetrafluoroethane|Freon-114B2|Halon 2402",124-73-2,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C042839,"1,2-diglycidyl phthalate",,7195-45-1,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C117619,"1,2-dimethylnaphthalene",,573-98-8,CID:11317,DTXSID1058717,QNLZIZAQLLYXTC-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C402267,1-(2-methoxyphenyl)-4-(4--(2-phthalimido)cyclohexyl)piperazine,2-MeOPh-4-Pc6Pip,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C021220,12-methylbenzanthracene,12-methylbenz(a)anthracene,2422-79-9,CID:17026,DTXSID2074829,ACYOLKMEHHTLAB-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C420844,"1,2-phthalic dicarboxaldehyde",PDCA cpd,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C098119,"1,2-phthaloyl dichloride",o-phthaloyl dichloride,88-95-9,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C581936,"1,3,3,3-tetrafluoropropene","HFO-1234ze|trans-1,3,3,3-tetrafluoropropene",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C570911,"1,3-bis(4-isobutyramidobenzamido)-2,4-bis(3-methoxy-4-(thiophene-2-carbonyloxy)phenyl)cyclobutane-1,3-dicarboxylic acid",,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C547494,"1,4-benzenedicarboxylate",,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C031969,"1,4-dimethylnaphthalene",,571-58-4,CID:11304,DTXSID8035423,APQSQLNWAIULLK-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C466921,"1,6-dimethylnaphthalene",,,CID:11328,,,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C481499,(188)Rhenium tin-colloid,188Re-tin-colloid,,,,,heavy_metals,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D01.268.556;D01.552.544,False,False
C078818,1-benzyl-4-(2-(4-(benzoylamino)phthalimido)ethyl)piperidine,1-benzyl-4-(2-(4-(benzoylamino)phthalimido)ethyl)piperidine monohydrochloride|BBPEP,144319-66-4,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C119498,1-(erythro-pentofuranosyl)-4-pentafluorophenyloxy-2(1H)pyrimidinone,1-(beta-D-Erythro-pentofuranosyl)-4-pentafluorophenyloxy-2(1H)pyrimidinone|EPPP cpd,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C121407,1-ethylpyrene,,17088-22-1,CID:180541,DTXSID50878251,ZWAMZDRREBOHIO-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C042881,1-ethynylpyrene,,34993-56-1,CID:154905,DTXSID30188527,VEBUBSLYGRMOSZ-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C546883,"1H,1H,10H,10H-perfluorodecane-1,10-diol",FC10diol;754-96-1,,CID:2733404,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C518336,"1H,1H,2H,2H-perfluorooctyl-1,3-dimethylbutyl ether",PF-DMB-E cpd,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C520952,"1H,1H,9H- perfluorononanol","1H,1H-perfluorononanol|HDFC9OH cpd",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C046634,1-(heptafluorobutyryl)imidazole,"1-HFBI|2,2,3,3,4,4,4-heptafluoro-1-imidazol-1-ylbutan-1-one|HFBI N-(heptafluorobutyryl)imidazole|N-heptafluorobutyrylimidazole",32477-35-3,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C527906,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,1-HMIT-PFP cpd,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C496309,1-methyl-3-(pentafluorophenyl)imidazolium,1-methyl-3-(pentafluorophenyl)imidazolium chloride,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C051246,1-methylanthracene,,610-48-0,CID:11884,DTXSID3074787,KZNJSFHJUQDYHE-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C022032,1-methylbenz(a)anthracene,1-methylbenzanthracene,2498-77-3,CID:17256,DTXSID50179699,MWMBCXXTFFHALK-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C053036,1-methylfluorene,,1730-37-6,CID:15604,DTXSID4061919,GKEUODMJRFDLJY-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C025968,1-methylnaphthalene,,90-12-0,CID:7002,DTXSID9020877,QPUYECUOLPXSFR-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C041507,1-methylphenanthrene,,832-69-9,CID:13257,DTXSID6025648,DOWJXOHBNXRUOD-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C053035,1-methylpyrene,1-MP,2381-21-7,CID:16932,DTXSID0025654,KBSPJIWZDWBDGM-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C533033,"1-((N-(2,3,4,5,6-pentafluorocinnamoyl)-O-(2,6-dichlorobenzyl))tyrosyl)-4-(bis(diethoxyphosphono))methylaminiopiperidine",BKM 1740|BKM-1740|BKM1740,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C059857,1-N-3-methylphthalimidobutan-3-semicarbazone,1-MPIBSC,120592-98-5,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C104493,1-N-desmethyl-25-N-phthaloylgoldinamine,1-DMP-goldinamine,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C548715,1-octadecyl-3-methylimidazolium,1-octadecyl-3-methylimidazolium bis(triflic)imide|1-octadecyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C055317,1-O-hexadecyl-2-O-acetyl-sn-glycero-3-heptafluorobutyrate,HAGHB,119206-62-1,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C540001,"1-O-methyl-2,3,4-tri-acetyl-6-tetrafluorophthalimido-6-deoxy-D-glucopyranose",STA-35,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C488181,1-(perfluorobutyl)undecanoic acid,"12,12,13,13,14,14,15,15,15-nonafluoropentadecanoic acid",,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C065011,1-vinylpyrene,1-ethenylpyrene,17088-21-0,CID:146322,DTXSID90168961,WPMHMYHJGDAHKX-UHFFFAOYSA-N,pahs,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.426.559.847,False,False
C057155,"2-(1,1,2,2-tetrafluoroethyl)benzimidazole",2-TFEB,41185-74-4,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C000593535,"2-(1-((1,3-dioxo-2,3-dihydro-1H-isoindol-2-yl)methyl)-1,2,3,4-tetrahydroisoquinolin-2-carbonyl)cyclohexane-1-carboxylic acid",,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C000620631,"2,17-bis-sulfonato-5,10,15-tris(pentafluorophenyl)corrolatoiron(III)",,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C544514,2-18F-fluoropropionic acid,(18)F-FPA,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C577111,2-((1-oxo-1-(phenethylamino)-3-phenylpropan-2-yl)carbamoyl)benzoic acid,,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C520385,"(2.2)(1,4)phthalocyaninophane",phthalocyaninophane,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C000621111,"2-(2,2,3,3,3-pentafluoropropoxy)-3-(4-(2,2,2-trifluoroethoxy)phenyl)-5,7-dihydro-3H-pyrrolo(2,3-d)pyrimidine-4,6-dione",,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C000599324,"2-(2-(3-(1-(2-fluoroethyl)-1H-indazol-6-yl)-7-methyl-4-oxo-3,4-dihydroquinazolin-2-yl)ethyl)-4-isopropoxyisoindoline-1,3-dione",18F-MNI-654|MNI-654,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C438507,"2,2,3,3,3-pentafluoro-1-propanol",,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C532136,"2,2,3,3,3-pentafluoropropyl chloroformate",,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C519792,"2,2,3,3-tetrafluoro-1-propanol",,,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C000599323,"2-(2-(3-(4-(2-fluoroethoxy)phenyl)-7-methyl-4-oxo-3,4-dihydroquinazolin-2-yl)ethyl)-4-isopropoxyisoindoline-1,3-dione",18F-MNI-659|MNI-659,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C575354,"2-(2,4-difluorophenyl)-4,5,6,7-tetrafluoroisoindoline-1,3-dione",NSC-726796,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C477195,2-(2-(4'-fluorobiphenyl)ethylthio)-5-(phthalimidomethyl)cyclopentanecarboxylic acid,2-FbiPhET-PICCA,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,possible metabolite or transformation product; parent relationship not inferred,True,,D02.241.223.805,False,False
C051906,"2,2,5,5-tetrakis(trifluoromethyl)-3-imidazoline","1H-imidazole, 2,5-dihydro-2,2,5,5-tetrakis(trifluoromethyl)-|2,2,5,5-tetrakis(trifluoromethyl)-2,5-dihydro-1H-imidazole|TTFMI",114611-60-8,,,,pfas_perfluoro,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.455.526.510.435,False,False
C000631256,(225)Ac-PSMA-617,225Ac-prostate-specific membrane antigen-617|225Ac-prostate-specific membrane antigen (PSMA)-617,,,,,heavy_metals,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D01.268.556;D01.552.544,False,False
C103309,"2-(2,6-diisopropylphenyl)-1H-isoindole-1,3-dione",PP-33,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C103310,"2-(2,6-diisopropylphenyl)-4,5,6,7-tetrafluoro-1H-isoindole-1,3-dione",FPP-33,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
C579116,"2-(2,6-diisopropylphenyl)-5-amino-1H-isoindole-1,3-dione",TC11 compound,,,,,phthalates,CTD chemical vocabulary; prespecified CTD MeSH hierarchy rules,parent/classified environmental chemical entity,True,,D02.241.223.805,False,False
