external_priority_rank,model_id,model_number,selector_name,classifier_name,requested_features,selective_selector,full_train_selected_feature_count,full_train_selected_features,internal_cv_folds,internal_roc_auc_mean,internal_roc_auc_sd,internal_pr_auc_mean,internal_pr_auc_sd,internal_balanced_accuracy_mean,internal_balanced_accuracy_sd,internal_f1_mean,internal_f1_sd,internal_sensitivity_mean,internal_sensitivity_sd,internal_specificity_mean,internal_specificity_sd,GSE10950_roc_auc,GSE10950_pr_auc,GSE10950_balanced_accuracy,GSE10950_f1,GSE10950_sensitivity,GSE10950_specificity,GSE74602_roc_auc,GSE74602_pr_auc,GSE74602_balanced_accuracy,GSE74602_f1,GSE74602_sensitivity,GSE74602_specificity,external_mean_roc_auc,external_mean_pr_auc,external_mean_balanced_accuracy,external_auc_ge_0_75_both_datasets,external_validation_qualified
11,M056_f_classif_top95__logistic_l1,56,f_classif_top95,logistic_l1,95,True,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7916666666666666,0.7058823529411765,0.7916666666666667,0.8275862068965517,1.0,0.5833333333333334,0.9755555555555556,0.9711529810256079,0.5,0.0,0.0,1.0,0.8836111111111111,0.8385176669833923,0.6458333333333334,True,True
12,M038_f_classif_top60__logistic_l1,38,f_classif_top60,logistic_l1,60,True,60,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;ATF4;BMP2;CAT;CCR7;CD36;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IL18;IL1A;IL1B;IL5;INHBA;LDLR;LEPR;MKI67;MMP9;MUC2;NLRP3;NOS3;NR3C1;PGR;PPARA;PPARD;PPARG;RBFOX1;RXRA;RYR1;SLC2A1;SORBS1;TIMP1;TIMP2;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7916666666666666,0.7058823529411765,0.7916666666666667,0.8275862068965517,1.0,0.5833333333333334,0.9744444444444444,0.9690696476922747,0.5,0.0,0.0,1.0,0.8830555555555555,0.8374760003167256,0.6458333333333334,True,True
13,M083_mutual_info_top40__logistic_l1,83,mutual_info_top40,logistic_l1,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;BECN1;BMP2;BSCL2;CAT;CD36;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;HSPA9;IL18;IL1A;INHBA;MKI67;NOS3;NR3C1;PGR;PPARD;RBFOX1;RXRA;SLC2A1;TIMP1;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7916666666666666,0.7058823529411765,0.7916666666666667,0.8275862068965517,1.0,0.5833333333333334,0.9744444444444444,0.9690696476922747,0.5,0.0,0.0,1.0,0.8830555555555555,0.8374760003167256,0.6458333333333334,True,True
14,M092_mutual_info_top60__logistic_l1,92,mutual_info_top60,logistic_l1,60,True,60,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;ATF4;BECN1;BMP2;BSCL2;CAT;CD36;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GJB2;GPX1;GRN;GSR;HSPA9;IL18;IL1A;IL33;INHBA;LEPR;MKI67;MUC2;NFE2L2;NOS3;NR3C1;PGR;PPARD;RBFOX1;RELA;RXRA;RYR1;SLC2A1;SLC2A3;SORBS1;STAT6;TIMP1;TIMP2;TP53;TPM1;TXN;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7916666666666666,0.7058823529411765,0.7916666666666667,0.8275862068965517,1.0,0.5833333333333334,0.9744444444444444,0.9690696476922747,0.5,0.0,0.0,1.0,0.8830555555555555,0.8374760003167256,0.6458333333333334,True,True
15,M029_f_classif_top40__logistic_l1,29,f_classif_top40,logistic_l1,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;BMP2;CAT;CCR7;CD36;CEBPB;CNR1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;HSPA9;IL18;IL1A;INHBA;LDLR;LEPR;MKI67;MUC2;NOS3;NR3C1;PGR;PPARD;RBFOX1;RXRA;SLC2A1;SORBS1;TIMP1;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7916666666666666,0.7058823529411765,0.7916666666666667,0.8275862068965517,1.0,0.5833333333333334,0.9733333333333334,0.9668474254700524,0.5,0.0,0.0,1.0,0.8825000000000001,0.8363648892056145,0.6458333333333334,True,True
16,M047_f_classif_top80__logistic_l1,47,f_classif_top80,logistic_l1,80,True,80,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;ATF4;ATG5;BMP2;BSCL2;CAT;CCR7;CD36;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP11B1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL5;IL6;INHBA;LDLR;LEPR;MKI67;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RXRA;RYR1;SIRT3;SLC2A1;SLC2A3;SORBS1;SREBF1;STAT3;TIMP1;TIMP2;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7916666666666666,0.7058823529411765,0.7916666666666667,0.8275862068965517,1.0,0.5833333333333334,0.9733333333333334,0.9668474254700524,0.5,0.0,0.0,1.0,0.8825000000000001,0.8363648892056145,0.6458333333333334,True,True
17,M024_f_classif_top20__extra_trees,24,f_classif_top20,extra_trees,20,True,20,ACACA;ADIPOQ;AGTR1;ANGPT2;BMP2;CAT;CD36;CEBPB;CNR1;EPAS1;FABP1;FAS;FASN;INHBA;MKI67;NR3C1;RXRA;TIMP1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8020833333333334,0.7971257439933138,0.5,0.6666666666666666,1.0,0.0,0.9616666666666666,0.9508312739891686,0.5,0.6666666666666666,1.0,0.0,0.881875,0.8739785089912412,0.5,True,True
18,M091_mutual_info_top60__logistic_l2,91,mutual_info_top60,logistic_l2,60,True,60,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;ATF4;BECN1;BMP2;BSCL2;CAT;CD36;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GJB2;GPX1;GRN;GSR;HSPA9;IL18;IL1A;IL33;INHBA;LEPR;MKI67;MUC2;NFE2L2;NOS3;NR3C1;PGR;PPARD;RBFOX1;RELA;RXRA;RYR1;SLC2A1;SLC2A3;SORBS1;STAT6;TIMP1;TIMP2;TP53;TPM1;TXN;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7265625,0.7020347707847708,0.6666666666666667,0.5294117647058824,0.375,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.86328125,0.8510173853923855,0.8333333333333334,False,False
19,M087_mutual_info_top40__extra_trees,87,mutual_info_top40,extra_trees,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;BECN1;BMP2;BSCL2;CAT;CD36;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;HSPA9;IL18;IL1A;INHBA;MKI67;NOS3;NR3C1;PGR;PPARD;RBFOX1;RXRA;SLC2A1;TIMP1;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8706597222222222,0.8651834344849049,0.5,0.6666666666666666,1.0,0.0,0.8411111111111111,0.8291992525693234,0.5,0.6666666666666666,1.0,0.0,0.8558854166666667,0.8471913435271141,0.5,True,True
20,M066_mutual_info_top10__linear_svm,66,mutual_info_top10,linear_svm,10,True,10,BMP2;CD36;CNR1;FABP1;INHBA;NR3C1;RXRA;TIMP1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7083333333333333,0.631578947368421,0.7083333333333334,0.7741935483870968,1.0,0.4166666666666667,1.0,1.0,0.8666666666666667,0.8461538461538461,0.7333333333333333,1.0,0.8541666666666666,0.8157894736842105,0.7875000000000001,False,False
21,M073_mutual_info_top20__logistic_l2,73,mutual_info_top20,logistic_l2,20,True,20,ACACA;AGTR1;ANGPT2;BMP2;CD36;CEBPB;CNR1;EPAS1;FABP1;FASN;HSPA9;INHBA;NR3C1;PGR;RBFOX1;RXRA;TIMP1;TP53;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982758620689655,0.0038552896163789306,0.9982608695652175,0.0038888138739126554,0.9965517241379309,0.0077105792327579106,1.0,0.0,0.7083333333333333,0.631578947368421,0.7083333333333334,0.7741935483870968,1.0,0.4166666666666667,1.0,1.0,0.6833333333333333,0.5365853658536586,0.36666666666666664,1.0,0.8541666666666666,0.8157894736842105,0.6958333333333333,False,False
22,M064_mutual_info_top10__logistic_l2,64,mutual_info_top10,logistic_l2,10,True,10,BMP2;CD36;CNR1;FABP1;INHBA;NR3C1;RXRA;TIMP1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9965214761040532,0.004763465138543138,0.9964909580607927,0.004805261658106563,0.9930429522081065,0.009526930277086305,1.0,0.0,0.7083333333333333,0.631578947368421,0.7083333333333334,0.7741935483870968,1.0,0.4166666666666667,1.0,1.0,0.5666666666666667,0.23529411764705882,0.13333333333333333,1.0,0.8541666666666666,0.8157894736842105,0.6375,False,False
23,M042_f_classif_top60__extra_trees,42,f_classif_top60,extra_trees,60,True,60,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;ATF4;BMP2;CAT;CCR7;CD36;CD86;CEBPA;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IL18;IL1A;IL1B;IL5;INHBA;LDLR;LEPR;MKI67;MMP9;MUC2;NLRP3;NOS3;NR3C1;PGR;PPARA;PPARD;PPARG;RBFOX1;RXRA;RYR1;SLC2A1;SORBS1;TIMP1;TIMP2;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9875,0.02795084971874737,0.9982905982905983,0.0038223384230765506,1.0,0.0,0.975,0.055901699437494734,0.8715277777777778,0.8375544250544251,0.5,0.6666666666666666,1.0,0.0,0.8288888888888888,0.7763949013949014,0.5,0.6666666666666666,1.0,0.0,0.8502083333333332,0.8069746632246633,0.5,True,True
