dataset_id,sample_id,group,pair_id,gene_symbol,expression_value,expression_scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,STAT6,6.382,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,TIMP1,6.237,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,TIMP2,5.377,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,TNC,1.158,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,TNF,1.071,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,TP53,5.035,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,TPM1,7.918,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,TXN,8.55,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,UBE2C,5.27,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,VEGFA,4.353,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-AA-3525-11,normal,TCGA-AA-3525,WNT4,1.541,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ACACA,3.011,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ACE,4.822,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ACLY,4.959,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ACSL4,2.239,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ADIPOQ,0.7664,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,AGTR1,1.158,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,AKT1,6.452,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ALOX5,2.516,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ANGPT2,-0.8599,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ANGPTL4,1.938,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,AR,-1.056,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ATF4,7.747,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,ATG5,4.361,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,BECN1,6.257,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,BMP2,4.767,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,BSCL2,5.334,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CAT,6.166,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CCR7,-0.9406,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CD36,3.592,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,CD80,-3.171,Toil/Xena RSEM TPM delivered on log2-like scale
