module_id,module_size,module_internal_edges,module_density,n_fdr_hit_tests_relevant,n_unique_fdr_hit_genes_relevant,n_tissues_with_fdr_hits,female_biased_fdr_hits,male_biased_fdr_hits,hit_tissues,hit_genes,descriptive_module_status
HYP_M039,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M040,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M041,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M042,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M044,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M045,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M046,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M047,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M048,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M049,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M050,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M051,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M052,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M054,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M055,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M056,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M057,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M058,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M059,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
HYP_M061,1,0,0.0,0,0,0,0,0,,,no_relevant_fdr_hits
