gene_symbol,gene_id,branch_membership,tissue,focus_group,tissue_role,n_male,n_female,beta_female_minus_male,se_female_minus_male,t_statistic,raw_p,fdr_fixed_3960,direction,meaningful_abs_effect_ge_0_25,is_expressed_median_tpm_ge_0_1,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate,module_id,module_size
CDK2,ENSG00000123374.11,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.1235016506435168,0.0374951344164423,-3.2938047180158696,0.0010641769126155,0.0345421358521102,male-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
PTH1R,ENSG00000160801.14,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,0.1741758461785575,0.0537450873003924,3.240777063121184,0.0012779551028151,0.0401643032313331,female-biased,False,True,False,False,True,2,True,False,False,HYP_M004,43
KCNK3,ENSG00000171303.8,hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.2342457808145874,0.0735591752420192,-3.18445360546646,0.0015480911667455,0.046093541506109,male-biased,False,True,False,False,True,1,False,False,False,HYP_M036,1
TGM2,ENSG00000198959.12,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,artery,hypertension/cardiovascular tissue,308.0,164.0,-0.2256642372970092,0.0707989585279736,-3.187394871180856,0.0015327705906841,0.046093541506109,male-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
PLA2G5,ENSG00000127472.11,hypertension-branch,Artery - Coronary,artery,hypertension/cardiovascular tissue,168.0,100.0,-0.6024597043036386,0.1085915046636872,-5.547945082531855,7.132884937608227e-08,3.460551241768713e-05,male-biased,True,True,False,False,True,1,False,False,False,HYP_M003,59
DRD1,ENSG00000184845.4,hypertension-branch,Artery - Coronary,artery,hypertension/cardiovascular tissue,168.0,100.0,-0.1831252218186922,0.0408651935513491,-4.4812028502590175,1.1149223214317457e-05,0.0016352194047665,male-biased,False,True,False,False,True,1,False,False,False,HYP_M004,43
IL1B,ENSG00000125538.12,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,artery,hypertension/cardiovascular tissue,168.0,100.0,-0.5594159391972511,0.1535067750724355,-3.6442426657278055,0.0003239882715275,0.0154834256605633,male-biased,True,True,False,False,True,1,False,True,False,HYP_M002,89
CES1,ENSG00000198848.13,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.3410011877065066,0.0592651678678742,5.753821341850153,1.3181398194358066e-08,1.0439667369931588e-05,female-biased,True,True,True,False,False,1,False,False,False,HYP_M003,59
PKM,ENSG00000067225.21,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.1725107353469942,0.0305009220157378,-5.655918704948734,2.2813403349087205e-08,1.5056846210397557e-05,male-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
PLA2G5,ENSG00000127472.11,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.3019156487924447,0.0637078025519201,-4.739068633647998,2.614178874272542e-06,0.0005448499127431,male-biased,True,True,False,False,True,1,False,False,False,HYP_M003,59
CLCNKB,ENSG00000184908.20,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.0933528680827313,0.0207372167426321,4.501706725706048,7.926521165516177e-06,0.0012555609526177,female-biased,False,True,False,False,True,1,False,False,False,HYP_M009,2
CCND1,ENSG00000110092.4,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.227246688833063,0.0547620936723281,-4.149707828791306,3.750146607934507e-05,0.0035358525160525,male-biased,False,True,False,False,True,1,False,True,False,HYP_M001,152
LMNA,ENSG00000160789.25,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.1351733083804268,0.0328704925723074,-4.112299445561307,4.395378347611128e-05,0.00395584051285,male-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
DRD1,ENSG00000184845.4,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.1260255101514413,0.031153237951657,-4.045342264165443,5.821928042717372e-05,0.005011920662861,male-biased,False,True,False,False,True,1,False,False,False,HYP_M004,43
SERPINE1,ENSG00000106366.9,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.3966624002455839,0.0991601953438657,-4.0002180196403,7.020422623458007e-05,0.0056736476712027,male-biased,True,True,False,False,True,1,False,False,False,HYP_M002,89
ADA,ENSG00000196839.14,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.2391504151431323,0.0603314074679398,-3.963945566332381,8.14976937093898e-05,0.0061540403975455,male-biased,False,True,False,False,True,1,False,False,False,HYP_M003,59
GPX3,ENSG00000211445.13,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.3094423590168184,0.0800407739463212,3.866059056654594,0.0001211840324983,0.0081337079439555,female-biased,True,True,False,False,True,1,False,False,False,HYP_M003,59
COL1A2,ENSG00000164692.19,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.2866444914777999,0.0748828935076878,-3.82790351775565,0.0001411264647556,0.0088708063560714,male-biased,True,True,False,False,True,1,False,False,False,HYP_M002,89
TNFAIP6,ENSG00000123610.5,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.3533656278935795,0.0936506307471081,-3.773232759614824,0.0001751590253148,0.0102004373565685,male-biased,True,True,False,False,True,1,False,False,False,HYP_M002,89
GSS,ENSG00000100983.12,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.0974874185116046,0.0258691073849454,-3.768487913438305,0.000178451895157,0.0102415870264019,male-biased,False,True,False,False,True,1,False,False,False,HYP_M003,59
TUBB6,ENSG00000176014.13,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.1532187409015772,0.041079231502064,-3.729834646343829,0.00020753485553,0.0111238378270692,male-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
CHRM1,ENSG00000168539.4,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.0722724073204074,0.0194171641048623,3.722088711312347,0.0002138758193276,0.011144055849178,female-biased,False,False,True,False,True,1,False,False,False,HYP_M004,43
PTH1R,ENSG00000160801.14,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.174001011066785,0.0470090822866758,3.701433906019975,0.0002316871392939,0.0119153385922615,female-biased,False,True,False,False,True,2,True,False,False,HYP_M004,43
CHI3L1,ENSG00000133048.13,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.6753299700191808,0.1841053351447109,-3.66817164471826,0.0002633306710324,0.0130348682161046,male-biased,True,True,False,False,True,1,False,False,False,HYP_M002,89
PTPN5,ENSG00000110786.18,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.1611359814543482,0.0458947525452249,-3.51098922029406,0.0004758438258722,0.0211723769713923,male-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
EGFR,ENSG00000146648.21,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.1103725927083197,0.0315693711806648,3.496192308572786,0.000502531517879,0.0218684045142984,female-biased,False,True,False,False,True,1,False,True,False,HYP_M001,152
ALDH1A1,ENSG00000165092.13,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.2693574122035733,0.0780825948874628,3.4496472945319843,0.0005958799721391,0.0240784152007264,female-biased,True,True,False,False,True,1,False,False,False,HYP_M003,59
IGF1,ENSG00000017427.17,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.3947167235058794,0.1161511700773376,-3.398301741110854,0.0007174886836056,0.0270595732102694,male-biased,True,True,False,False,True,1,False,False,False,HYP_M002,89
NFIC,ENSG00000141905.19,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.098304475746928,0.0289769145230199,3.3925101193514795,0.0007325696167899,0.0273676951178136,female-biased,False,True,False,False,True,1,False,False,False,HYP_M043,1
BCL2,ENSG00000171791.14,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.0973080332114363,0.028713588331573,3.388919284060292,0.0007420675218317,0.0274634335182597,female-biased,False,True,False,False,True,1,False,True,False,HYP_M001,152
MCOLN1,ENSG00000090674.16,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,0.1277693131696146,0.0383096723159521,3.3351711316103216,0.0008986437095908,0.031064038524169,female-biased,False,True,False,False,True,1,False,False,False,HYP_M005,17
NQO1,ENSG00000181019.13,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.1890284321621482,0.0570229002543968,-3.314956470450184,0.0009650928181233,0.0322074492792189,male-biased,False,True,False,False,True,1,False,False,False,HYP_M003,59
PGF,ENSG00000119630.14,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.3013872763087866,0.0908403395917911,-3.3177691503920994,0.0009555815419736,0.0322074492792189,male-biased,True,True,False,False,True,1,False,False,False,HYP_M002,89
TRIM54,ENSG00000138100.14,hypertension-branch,Artery - Tibial,artery,hypertension/cardiovascular tissue,471.0,220.0,-0.2027794420569806,0.0640664755354608,-3.1651412125010987,0.0016190380273617,0.0474917821359433,male-biased,False,True,False,False,True,1,False,False,False,HYP_M060,1
UCHL1,ENSG00000154277.13,hypertension-branch,Heart - Atrial Appendage,heart,hypertension/cardiovascular tissue,318.0,143.0,-0.4336317459862017,0.0884608633685604,-4.901961494311135,1.3231655284526923e-06,0.0003742668209051,male-biased,True,True,False,False,True,1,False,False,False,HYP_M001,152
PTK2B,ENSG00000120899.18,hypertension-branch,Heart - Atrial Appendage,heart,hypertension/cardiovascular tissue,318.0,143.0,-0.3258749663241371,0.0698151632442346,-4.667681792623295,4.015809248649772e-06,0.0007572668868882,male-biased,True,True,False,False,True,1,False,False,False,HYP_M006,12
CYP19A1,ENSG00000137869.16,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,heart,hypertension/cardiovascular tissue,318.0,143.0,-0.1443074174003697,0.0368930558945746,-3.9115062144144814,0.0001057479029082,0.0076138490093947,male-biased,False,True,True,False,True,2,True,False,False,HYP_M003,59
SAA2,ENSG00000134339.9,hypertension-branch,Heart - Atrial Appendage,heart,hypertension/cardiovascular tissue,318.0,143.0,0.3518175571794792,0.0905779687464952,3.8841405040129264,0.0001179607819349,0.0081337079439555,female-biased,True,True,False,False,True,1,False,False,False,HYP_M002,89
SNCA,ENSG00000145335.17,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,heart,hypertension/cardiovascular tissue,318.0,143.0,0.1547724742414709,0.0419131164994494,3.692697827504766,0.0002488900419558,0.0125690730729707,female-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
APOD,ENSG00000189058.9,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,heart,hypertension/cardiovascular tissue,318.0,143.0,-0.3058633922232635,0.0883669371832223,-3.461287693937816,0.000588446166657,0.0240231630923902,male-biased,True,True,False,False,True,1,False,False,False,HYP_M002,89
ESR2,ENSG00000140009.19,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,heart,hypertension/cardiovascular tissue,308.0,143.0,-0.0710666282422052,0.0152808387087834,-4.650702071827788,4.378604327775349e-06,0.0007881487789995,male-biased,False,True,True,False,True,1,False,False,False,HYP_M001,152
TUBB4A,ENSG00000104833.12,hypertension-branch,Heart - Left Ventricle,heart,hypertension/cardiovascular tissue,308.0,143.0,-0.1729413262745774,0.0408956027582467,-4.228848937547531,2.857576322721739e-05,0.0030583789832373,male-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
BCL2,ENSG00000171791.14,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,heart,hypertension/cardiovascular tissue,308.0,143.0,-0.2045392468032708,0.0487364764091074,-4.196841090568627,3.27469503181441e-05,0.0033507837890217,male-biased,False,True,False,False,True,1,False,True,False,HYP_M001,152
GSTM3,ENSG00000134202.12,hypertension-branch,Heart - Left Ventricle,heart,hypertension/cardiovascular tissue,308.0,143.0,-0.3489566767768943,0.0932908864947717,-3.740522680063188,0.0002078696967684,0.0111238378270692,male-biased,True,True,False,False,True,1,False,False,False,HYP_M003,59
SFN,ENSG00000175793.12,hypertension-branch,Heart - Left Ventricle,heart,hypertension/cardiovascular tissue,308.0,143.0,0.1411786328743451,0.041861882191113,3.372486507649581,0.0008106125488615,0.0291820517590144,female-biased,False,True,False,False,True,1,False,False,False,HYP_M001,152
UCHL1,ENSG00000154277.13,hypertension-branch,Heart - Left Ventricle,heart,hypertension/cardiovascular tissue,308.0,143.0,-0.3512934868672023,0.1105259577679461,-3.1783799386272458,0.0015852202555645,0.0468468075525042,male-biased,True,True,False,False,True,1,False,False,False,HYP_M001,152
