algorithm,rank,gene_symbol,score,top25_flag
MCC,60,AGTR1,2.0,False
MCC,61,ANGPTL4,2.0,False
MCC,62,BMP2,2.0,False
MCC,63,COPS5,2.0,False
MCC,64,CYP3A4,2.0,False
MCC,65,DUSP1,2.0,False
MCC,66,FABP1,2.0,False
MCC,67,FDPS,2.0,False
MCC,68,GATA2,2.0,False
MCC,69,HSPA9,2.0,False
MCC,70,NR1I2,2.0,False
MCC,71,VEGFA,2.0,False
MCC,72,ACSL4,1.0,False
MCC,73,ALOX5,1.0,False
MCC,74,ANGPT2,1.0,False
MCC,75,CYP11B1,1.0,False
MCC,76,MKI67,1.0,False
MCC,77,SIRT3,1.0,False
MCC,78,UBE2C,1.0,False
MNC,1,IL6,36.0,True
MNC,2,TNF,36.0,True
MNC,3,AKT1,32.0,True
MNC,4,TP53,31.0,True
MNC,5,IL1B,29.0,True
MNC,6,STAT3,29.0,True
MNC,7,PPARG,22.0,True
MNC,8,MMP9,21.0,True
MNC,9,IFNG,20.0,True
MNC,10,SIRT1,19.0,True
MNC,11,IL4,18.0,True
MNC,12,ESR1,17.0,True
MNC,13,IL13,17.0,True
MNC,14,RELA,17.0,True
MNC,15,IL1A,16.0,True
MNC,16,ADIPOQ,15.0,True
MNC,17,PPARA,15.0,True
MNC,18,CEBPB,14.0,True
MNC,19,SREBF1,14.0,True
MNC,20,CD80,13.0,True
MNC,21,CD86,13.0,True
MNC,22,NFE2L2,13.0,True
MNC,23,CD36,12.0,True
MNC,24,CEBPA,12.0,True
MNC,25,CXCR4,12.0,True
MNC,26,IL18,12.0,False
MNC,27,IL5,12.0,False
MNC,28,STAT6,12.0,False
MNC,29,NR3C1,11.0,False
MNC,30,CCR7,10.0,False
MNC,31,MMP2,10.0,False
MNC,32,TIMP1,10.0,False
MNC,33,FASN,9.0,False
MNC,34,IL33,9.0,False
MNC,35,RXRA,8.0,False
MNC,36,ACACA,7.0,False
MNC,37,AR,7.0,False
MNC,38,CCN2,7.0,False
MNC,39,LEPR,7.0,False
MNC,40,NOS3,7.0,False
MNC,41,SQSTM1,7.0,False
MNC,42,BECN1,6.0,False
MNC,43,HMGCR,6.0,False
MNC,44,NLRP3,6.0,False
MNC,45,PGR,6.0,False
MNC,46,ACE,5.0,False
MNC,47,ACLY,5.0,False
MNC,48,ATG5,5.0,False
MNC,49,TXN,5.0,False
MNC,50,EPAS1,4.0,False
MNC,51,FAS,4.0,False
MNC,52,PPARD,4.0,False
MNC,53,SLC2A1,4.0,False
MNC,54,G6PD,3.0,False
MNC,55,GSR,3.0,False
MNC,56,NR4A1,3.0,False
MNC,57,TIMP2,3.0,False
MNC,58,AGTR1,2.0,False
MNC,59,ATF4,2.0,False
MNC,60,BMP2,2.0,False
MNC,61,COPS5,2.0,False
MNC,62,FABP1,2.0,False
MNC,63,FDPS,2.0,False
MNC,64,GATA2,2.0,False
MNC,65,HSPA9,2.0,False
MNC,66,VEGFA,2.0,False
MNC,67,ACSL4,1.0,False
MNC,68,ALOX5,1.0,False
MNC,69,ANGPT2,1.0,False
MNC,70,ANGPTL4,1.0,False
MNC,71,CYP11B1,1.0,False
MNC,72,CYP17A1,1.0,False
MNC,73,CYP3A4,1.0,False
MNC,74,DUSP1,1.0,False
MNC,75,MKI67,1.0,False
MNC,76,NR1I2,1.0,False
MNC,77,SIRT3,1.0,False
MNC,78,UBE2C,1.0,False
EPC,1,ADIPOQ,68.26,True
EPC,2,AKT1,68.26,True
EPC,3,CCR7,68.26,True
EPC,4,CD36,68.26,True
EPC,5,CD80,68.26,True
EPC,6,CD86,68.26,True
EPC,7,CEBPB,68.26,True
EPC,8,CXCR4,68.26,True
EPC,9,ESR1,68.26,True
EPC,10,IFNG,68.26,True
EPC,11,IL13,68.26,True
EPC,12,IL18,68.26,True
EPC,13,IL1A,68.26,True
EPC,14,IL1B,68.26,True
EPC,15,IL33,68.26,True
EPC,16,IL4,68.26,True
EPC,17,IL5,68.26,True
EPC,18,IL6,68.26,True
EPC,19,MMP9,68.26,True
EPC,20,NFE2L2,68.26,True
EPC,21,NR3C1,68.26,True
EPC,22,PPARA,68.26,True
EPC,23,PPARG,68.26,True
EPC,24,RELA,68.26,True
EPC,25,SIRT1,68.26,True
EPC,26,SREBF1,68.26,False
EPC,27,STAT3,68.26,False
EPC,28,STAT6,68.26,False
EPC,29,TIMP1,68.26,False
EPC,30,TNF,68.26,False
EPC,31,TP53,68.26,False
EPC,32,MMP2,68.203,False
EPC,33,CEBPA,68.196,False
EPC,34,NLRP3,68.192,False
EPC,35,RXRA,68.137,False
EPC,36,FASN,68.134,False
EPC,37,SQSTM1,67.791,False
EPC,38,AR,67.747,False
EPC,39,CCN2,67.733,False
EPC,40,LEPR,67.532,False
EPC,41,BECN1,67.509,False
EPC,42,NOS3,67.481,False
EPC,43,HMGCR,67.415,False
EPC,44,ACACA,67.252,False
EPC,45,PGR,67.205,False
EPC,46,TXN,67.031,False
EPC,47,ACLY,67.009,False
EPC,48,ACE,66.71,False
EPC,49,ATG5,66.208,False
EPC,50,NR4A1,65.34,False
EPC,51,PPARD,64.217,False
EPC,52,SLC2A1,64.123,False
EPC,53,FAS,63.98,False
EPC,54,EPAS1,63.09,False
EPC,55,G6PD,62.405,False
EPC,56,TIMP2,61.216,False
EPC,57,ATF4,60.654,False
EPC,58,GSR,58.429,False
EPC,59,VEGFA,53.542,False
EPC,60,FDPS,52.588,False
EPC,61,GATA2,51.921,False
EPC,62,FABP1,51.644,False
EPC,63,BMP2,51.464,False
EPC,64,AGTR1,51.383,False
EPC,65,ANGPTL4,50.919,False
EPC,66,DUSP1,50.609,False
EPC,67,HSPA9,50.15,False
EPC,68,COPS5,49.6,False
EPC,69,NR1I2,39.776,False
EPC,70,CYP17A1,39.5,False
EPC,71,ALOX5,35.277,False
EPC,72,ANGPT2,34.991,False
EPC,73,ACSL4,33.663,False
EPC,74,SIRT3,32.474,False
EPC,75,CYP3A4,30.044,False
EPC,76,CYP11B1,20.36,False
EPC,77,MKI67,1.5,False
EPC,78,UBE2C,1.5,False
Degree,1,IL6,38.0,True
Degree,2,TNF,36.0,True
Degree,3,AKT1,32.0,True
Degree,4,TP53,32.0,True
Degree,5,IL1B,29.0,True
Degree,6,STAT3,29.0,True
Degree,7,PPARG,23.0,True
Degree,8,MMP9,21.0,True
Degree,9,IFNG,20.0,True
Degree,10,SIRT1,19.0,True
Degree,11,IL4,18.0,True
Degree,12,ESR1,17.0,True
Degree,13,IL13,17.0,True
Degree,14,RELA,17.0,True
Degree,15,IL1A,16.0,True
Degree,16,PPARA,16.0,True
Degree,17,ADIPOQ,15.0,True
Degree,18,CEBPB,15.0,True
Degree,19,SREBF1,14.0,True
Degree,20,CD36,13.0,True
Degree,21,CD80,13.0,True
Degree,22,CD86,13.0,True
Degree,23,IL18,13.0,True
Degree,24,NFE2L2,13.0,True
Degree,25,CEBPA,12.0,True
Degree,26,CXCR4,12.0,False
Degree,27,IL5,12.0,False
Degree,28,STAT6,12.0,False
Degree,29,NR3C1,11.0,False
Degree,30,CCR7,10.0,False
Degree,31,FASN,10.0,False
Degree,32,MMP2,10.0,False
Degree,33,RXRA,10.0,False
Degree,34,TIMP1,10.0,False
Degree,35,IL33,9.0,False
Degree,36,AR,8.0,False
Degree,37,NLRP3,8.0,False
Degree,38,ACACA,7.0,False
Degree,39,BECN1,7.0,False
Degree,40,CCN2,7.0,False
Degree,41,HMGCR,7.0,False
Degree,42,LEPR,7.0,False
Degree,43,NOS3,7.0,False
Degree,44,SQSTM1,7.0,False
Degree,45,TXN,7.0,False
Degree,46,ACE,6.0,False
Degree,47,ACLY,6.0,False
Degree,48,PGR,6.0,False
Degree,49,ATG5,5.0,False
Degree,50,NR4A1,5.0,False
Degree,51,EPAS1,4.0,False
Degree,52,FAS,4.0,False
Degree,53,G6PD,4.0,False
Degree,54,PPARD,4.0,False
Degree,55,SLC2A1,4.0,False
Degree,56,ATF4,3.0,False
Degree,57,CYP17A1,3.0,False
Degree,58,GSR,3.0,False
Degree,59,TIMP2,3.0,False
Degree,60,AGTR1,2.0,False
Degree,61,ANGPTL4,2.0,False
Degree,62,BMP2,2.0,False
Degree,63,COPS5,2.0,False
Degree,64,CYP3A4,2.0,False
Degree,65,DUSP1,2.0,False
Degree,66,FABP1,2.0,False
Degree,67,FDPS,2.0,False
Degree,68,GATA2,2.0,False
Degree,69,HSPA9,2.0,False
Degree,70,NR1I2,2.0,False
Degree,71,VEGFA,2.0,False
Degree,72,ACSL4,1.0,False
Degree,73,ALOX5,1.0,False
Degree,74,ANGPT2,1.0,False
Degree,75,CYP11B1,1.0,False
Degree,76,MKI67,1.0,False
Degree,77,SIRT3,1.0,False
Degree,78,UBE2C,1.0,False
Closeness,1,IL6,55.333333333333336,True
Closeness,2,TNF,54.333333333333336,True
Closeness,3,AKT1,52.5,True
Closeness,4,TP53,52.333333333333336,True
Closeness,5,STAT3,50.666666666666664,True
Closeness,6,IL1B,50.5,True
Closeness,7,PPARG,48.083333333333336,True
Closeness,8,MMP9,46.166666666666664,True
Closeness,9,SIRT1,46.0,True
Closeness,10,ESR1,44.666666666666664,True
Closeness,11,IFNG,44.5,True
Closeness,12,RELA,44.25,True
Closeness,13,IL4,43.583333333333336,True
Closeness,14,PPARA,43.416666666666664,True
Closeness,15,CEBPB,43.25,True
Closeness,16,ADIPOQ,42.916666666666664,True
Closeness,17,CEBPA,41.916666666666664,True
Closeness,18,IL13,41.916666666666664,True
Closeness,19,NFE2L2,41.833333333333336,True
Closeness,20,STAT6,41.5,True
Closeness,21,SREBF1,41.333333333333336,True
Closeness,22,IL1A,41.0,True
Closeness,23,CD36,40.53333333333333,True
Closeness,24,NR3C1,40.166666666666664,True
Closeness,25,CXCR4,39.916666666666664,True
Closeness,26,CD80,39.833333333333336,False
Closeness,27,CD86,39.833333333333336,False
Closeness,28,IL18,39.333333333333336,False
Closeness,29,MMP2,38.5,False
Closeness,30,NOS3,37.583333333333336,False
Closeness,31,IL5,37.56666666666666,False
Closeness,32,AR,37.5,False
Closeness,33,TIMP1,37.25,False
Closeness,34,NLRP3,37.03333333333333,False
Closeness,35,CCN2,36.833333333333336,False
Closeness,36,TXN,36.75,False
Closeness,37,CCR7,36.56666666666666,False
Closeness,38,RXRA,36.5,False
Closeness,39,FASN,36.416666666666664,False
Closeness,40,LEPR,36.333333333333336,False
Closeness,41,BECN1,36.166666666666664,False
Closeness,42,IL33,36.06666666666666,False
Closeness,43,ACE,35.9,False
Closeness,44,PGR,35.583333333333336,False
Closeness,45,SLC2A1,35.5,False
Closeness,46,SQSTM1,35.25,False
Closeness,47,FAS,35.0,False
Closeness,48,ACLY,34.916666666666664,False
Closeness,49,NR4A1,34.916666666666664,False
Closeness,50,ATG5,34.25,False
Closeness,51,ACACA,33.28333333333333,False
Closeness,52,G6PD,32.833333333333336,False
Closeness,53,HMGCR,32.78333333333333,False
Closeness,54,ATF4,32.666666666666664,False
Closeness,55,HSPA9,32.583333333333336,False
Closeness,56,EPAS1,32.416666666666664,False
Closeness,57,TIMP2,32.4,False
Closeness,58,DUSP1,32.36666666666667,False
Closeness,59,PPARD,31.78333333333333,False
Closeness,60,BMP2,31.4,False
Closeness,61,COPS5,31.333333333333332,False
Closeness,62,ANGPT2,31.233333333333334,False
Closeness,63,SIRT3,30.25,False
Closeness,64,ANGPTL4,29.866666666666667,False
Closeness,65,VEGFA,28.566666666666666,False
Closeness,66,FABP1,28.45,False
Closeness,67,GSR,28.4,False
Closeness,68,GATA2,28.116666666666667,False
Closeness,69,FDPS,26.983333333333334,False
Closeness,70,CYP17A1,26.5,False
Closeness,71,AGTR1,26.099999999999998,False
Closeness,72,ALOX5,25.3,False
Closeness,73,NR1I2,25.28333333333333,False
Closeness,74,ACSL4,24.099999999999998,False
Closeness,75,CYP3A4,21.733333333333334,False
Closeness,76,CYP11B1,19.566666666666666,False
Closeness,77,MKI67,1.0,False
Closeness,78,UBE2C,1.0,False
Betweenness,1,TP53,438.87225120583355,True
Betweenness,2,IL6,400.7283519779579,True
Betweenness,3,AKT1,360.93670746143005,True
Betweenness,4,TNF,298.98308444966835,True
Betweenness,5,PPARG,192.24019488322853,True
Betweenness,6,AR,181.67693251804423,True
Betweenness,7,STAT3,155.20477839282228,True
Betweenness,8,PPARA,144.26222784960555,True
Betweenness,9,IL1B,122.17809366220976,True
Betweenness,10,CYP17A1,117.04106605502511,True
Betweenness,11,SREBF1,115.0769629258308,True
Betweenness,12,MMP9,114.0721574407989,True
Betweenness,13,RXRA,112.77694426140889,True
Betweenness,14,ESR1,88.70838759312929,True
Betweenness,15,FASN,85.47708398339876,True
Betweenness,16,SIRT1,84.85546923616118,True
Betweenness,17,NFE2L2,84.53879255592577,True
Betweenness,18,CD36,77.65184547190091,True
Betweenness,19,IL18,77.55790849958633,True
Betweenness,20,CEBPB,74.26678669484157,True
Betweenness,21,RELA,66.89514684949316,True
Betweenness,22,CEBPA,49.949903071404684,True
Betweenness,23,ADIPOQ,48.444195698391255,True
Betweenness,24,ACE,46.605302707203315,True
Betweenness,25,NOS3,44.83138420822243,True
Betweenness,26,NR1I2,32.20893394497489,False
Betweenness,27,IFNG,28.54714710605175,False
Betweenness,28,TXN,27.68451875427863,False
Betweenness,29,IL4,25.902880927341023,False
Betweenness,30,MMP2,24.91461355408725,False
Betweenness,31,HMGCR,19.66762595531864,False
Betweenness,32,NR4A1,17.46818129636802,False
Betweenness,33,ACLY,16.447933018563823,False
Betweenness,34,NR3C1,16.21422596505666,False
Betweenness,35,IL13,14.14867751541403,False
Betweenness,36,NLRP3,10.799384497081864,False
Betweenness,37,G6PD,9.917344229844227,False
Betweenness,38,IL1A,8.747334441028414,False
Betweenness,39,STAT6,8.624895468575472,False
Betweenness,40,CCN2,8.567266967924862,False
Betweenness,41,BECN1,5.306594137367792,False
Betweenness,42,CYP3A4,5.25,False
Betweenness,43,SQSTM1,4.141654456654456,False
Betweenness,44,CD80,4.001106012764571,False
Betweenness,45,CD86,4.001106012764571,False
Betweenness,46,CXCR4,3.8723292734038988,False
Betweenness,47,CCR7,3.6685308972073676,False
Betweenness,48,SLC2A1,2.9257052298323645,False
Betweenness,49,ACACA,2.7990654147194394,False
Betweenness,50,LEPR,2.1543941320257107,False
Betweenness,51,TIMP1,1.8947311460469354,False
Betweenness,52,DUSP1,1.6699786324786325,False
Betweenness,53,IL5,1.6127344877344878,False
Betweenness,54,FAS,1.136286655687916,False
Betweenness,55,PPARD,0.9408648309964099,False
Betweenness,56,EPAS1,0.7261904761904762,False
Betweenness,57,ATF4,0.6054894179894179,False
Betweenness,58,PGR,0.5630541871921182,False
Betweenness,59,GSR,0.5221590909090909,False
Betweenness,60,ATG5,0.4436736411736412,False
Betweenness,61,ANGPTL4,0.07142857142857142,False
Betweenness,62,ACSL4,0.0,False
Betweenness,63,AGTR1,0.0,False
Betweenness,64,ALOX5,0.0,False
Betweenness,65,ANGPT2,0.0,False
Betweenness,66,BMP2,0.0,False
Betweenness,67,COPS5,0.0,False
Betweenness,68,CYP11B1,0.0,False
Betweenness,69,FABP1,0.0,False
Betweenness,70,FDPS,0.0,False
Betweenness,71,GATA2,0.0,False
Betweenness,72,HSPA9,0.0,False
Betweenness,73,IL33,0.0,False
Betweenness,74,MKI67,0.0,False
Betweenness,75,SIRT3,0.0,False
Betweenness,76,TIMP2,0.0,False
Betweenness,77,UBE2C,0.0,False
Betweenness,78,VEGFA,0.0,False
Radiality,1,IL6,65.47692307692307,True
Radiality,2,TNF,65.08717948717948,True
Radiality,3,AKT1,64.6974358974359,True
Radiality,4,TP53,64.5025641025641,True
Radiality,5,STAT3,63.72307692307692,True
Radiality,6,IL1B,63.333333333333336,True
Radiality,7,PPARG,62.94358974358975,True
Radiality,8,SIRT1,62.16410256410256,True
Radiality,9,ESR1,61.38461538461538,True
Radiality,10,MMP9,61.38461538461538,True
Radiality,11,RELA,60.8,True
Radiality,12,CEBPB,60.41025641025641,True
Radiality,13,PPARA,60.21538461538462,True
Radiality,14,ADIPOQ,60.02051282051282,True
Radiality,15,CEBPA,60.02051282051282,True
Radiality,16,IFNG,59.630769230769225,True
Radiality,17,IL4,59.43589743589744,True
Radiality,18,NFE2L2,59.43589743589744,True
Radiality,19,STAT6,59.43589743589744,True
Radiality,20,NR3C1,58.46153846153847,True
Radiality,21,SREBF1,58.46153846153847,True
Radiality,22,IL13,57.87692307692307,True
Radiality,23,CD36,57.68205128205128,True
Radiality,24,CXCR4,57.48717948717948,True
Radiality,25,IL1A,57.0974358974359,True
Radiality,26,CD80,56.9025641025641,False
Radiality,27,CD86,56.9025641025641,False
Radiality,28,NOS3,56.70769230769231,False
Radiality,29,AR,56.51282051282051,False
Radiality,30,MMP2,56.51282051282051,False
Radiality,31,IL18,56.31794871794872,False
Radiality,32,CCN2,55.733333333333334,False
Radiality,33,TXN,55.733333333333334,False
Radiality,34,LEPR,55.343589743589746,False
Radiality,35,NLRP3,55.343589743589746,False
Radiality,36,SLC2A1,55.343589743589746,False
Radiality,37,BECN1,54.95384615384616,False
Radiality,38,PGR,54.95384615384616,False
Radiality,39,TIMP1,54.95384615384616,False
Radiality,40,ACE,54.758974358974356,False
Radiality,41,FAS,54.758974358974356,False
Radiality,42,NR4A1,54.369230769230775,False
Radiality,43,RXRA,54.369230769230775,False
Radiality,44,FASN,54.174358974358974,False
Radiality,45,IL5,54.174358974358974,False
Radiality,46,ACLY,53.97948717948718,False
Radiality,47,SQSTM1,53.97948717948718,False
Radiality,48,CCR7,53.78461538461538,False
Radiality,49,IL33,53.58974358974359,False
Radiality,50,ATG5,53.39487179487179,False
Radiality,51,HSPA9,52.61538461538462,False
Radiality,52,ATF4,52.42051282051282,False
Radiality,53,DUSP1,52.225641025641025,False
Radiality,54,G6PD,52.030769230769224,False
Radiality,55,EPAS1,51.641025641025635,False
Radiality,56,TIMP2,51.641025641025635,False
Radiality,57,ACACA,51.44615384615385,False
Radiality,58,ANGPT2,51.05641025641025,False
Radiality,59,COPS5,51.05641025641025,False
Radiality,60,BMP2,50.86153846153846,False
Radiality,61,HMGCR,50.86153846153846,False
Radiality,62,PPARD,50.86153846153846,False
Radiality,63,SIRT3,50.08205128205128,False
Radiality,64,ANGPTL4,49.3025641025641,False
Radiality,65,FABP1,47.15897435897436,False
Radiality,66,VEGFA,47.15897435897436,False
Radiality,67,GATA2,46.96410256410256,False
Radiality,68,GSR,46.57435897435897,False
Radiality,69,FDPS,44.62564102564102,False
Radiality,70,AGTR1,43.65128205128205,False
Radiality,71,CYP17A1,43.45641025641025,False
Radiality,72,ALOX5,41.8974358974359,False
Radiality,73,NR1I2,41.312820512820515,False
Radiality,74,ACSL4,39.753846153846155,False
Radiality,75,CYP3A4,33.51794871794872,False
Radiality,76,CYP11B1,29.035897435897436,False
Radiality,77,MKI67,0.07692307692307693,False
Radiality,78,UBE2C,0.07692307692307693,False
Stress,1,IL6,2361.0,True
Stress,2,TP53,2302.0,True
Stress,3,AKT1,2177.0,True
Stress,4,TNF,2033.0,True
Stress,5,PPARG,1411.0,True
Stress,6,IL1B,1270.0,True
Stress,7,STAT3,1141.0,True
Stress,8,PPARA,1122.0,True
Stress,9,AR,975.0,True
Stress,10,RXRA,891.0,True
Stress,11,SREBF1,854.0,True
Stress,12,SIRT1,710.0,True
Stress,13,MMP9,705.0,True
Stress,14,CD36,653.0,True
Stress,15,RELA,650.0,True
Stress,16,ESR1,630.0,True
Stress,17,CYP17A1,600.0,True
Stress,18,FASN,590.0,True
Stress,19,ADIPOQ,570.0,True
Stress,20,CEBPB,531.0,True
Stress,21,NFE2L2,513.0,True
Stress,22,IL18,501.0,True
Stress,23,CEBPA,407.0,True
Stress,24,IFNG,318.0,True
Stress,25,IL4,295.0,True
Stress,26,ACE,254.0,False
Stress,27,NOS3,235.0,False
Stress,28,MMP2,169.0,False
Stress,29,TXN,169.0,False
Stress,30,NR1I2,161.0,False
Stress,31,NR3C1,154.0,False
Stress,32,IL13,143.0,False
Stress,33,STAT6,117.0,False
Stress,34,HMGCR,112.0,False
Stress,35,NR4A1,112.0,False
Stress,36,ACLY,110.0,False
Stress,37,IL1A,94.0,False
Stress,38,NLRP3,76.0,False
Stress,39,CD80,65.0,False
Stress,40,CD86,65.0,False
Stress,41,CXCR4,60.0,False
Stress,42,BECN1,59.0,False
Stress,43,G6PD,48.0,False
Stress,44,CCN2,41.0,False
Stress,45,LEPR,34.0,False
Stress,46,SQSTM1,32.0,False
Stress,47,SLC2A1,31.0,False
Stress,48,ACACA,25.0,False
Stress,49,CCR7,24.0,False
Stress,50,FAS,18.0,False
Stress,51,DUSP1,15.0,False
Stress,52,IL5,13.0,False
Stress,53,TIMP1,12.0,False
Stress,54,PPARD,11.0,False
Stress,55,ATF4,7.0,False
Stress,56,ATG5,7.0,False
Stress,57,CYP3A4,7.0,False
Stress,58,PGR,7.0,False
Stress,59,EPAS1,4.0,False
Stress,60,GSR,4.0,False
Stress,61,ANGPTL4,1.0,False
Stress,62,ACSL4,0.0,False
Stress,63,AGTR1,0.0,False
Stress,64,ALOX5,0.0,False
Stress,65,ANGPT2,0.0,False
Stress,66,BMP2,0.0,False
Stress,67,COPS5,0.0,False
Stress,68,CYP11B1,0.0,False
Stress,69,FABP1,0.0,False
Stress,70,FDPS,0.0,False
Stress,71,GATA2,0.0,False
Stress,72,HSPA9,0.0,False
Stress,73,IL33,0.0,False
Stress,74,MKI67,0.0,False
Stress,75,SIRT3,0.0,False
Stress,76,TIMP2,0.0,False
Stress,77,UBE2C,0.0,False
Stress,78,VEGFA,0.0,False
