stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000231449,9606.ENSP00000263339,9606.ENSP00000231449,9606.ENSP00000263339,9606,0.995,0.0,0,0.0,0.111,0.0,0.4,0.992
9606.ENSP00000231449,9606.ENSP00000300134,9606.ENSP00000231449,9606.ENSP00000300134,9606,0.997,0.0,0,0.0,0.0,0.0,0.5,0.995
9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000231449,9606.ENSP00000263341,9606,0.998,0.0,0,0.0,0.072,0.0,0.4,0.998
9606.ENSP00000231454,9606.ENSP00000264246,9606.ENSP00000231454,9606.ENSP00000264246,9606,0.77,0.0,0,0.0,0.044,0.0,0.0,0.77
9606.ENSP00000231454,9606.ENSP00000332049,9606.ENSP00000231454,9606.ENSP00000332049,9606,0.773,0.0,0,0.0,0.0,0.0,0.0,0.773
9606.ENSP00000231454,9606.ENSP00000280357,9606.ENSP00000231454,9606.ENSP00000280357,9606,0.786,0.0,0,0.0,0.0,0.0,0.0,0.786
9606.ENSP00000231454,9606.ENSP00000300134,9606.ENSP00000231454,9606.ENSP00000300134,9606,0.833,0.0,0,0.0,0.0,0.0,0.0,0.833
9606.ENSP00000231454,9606.ENSP00000263339,9606.ENSP00000231454,9606.ENSP00000263339,9606,0.918,0.0,0,0.0,0.134,0.0,0.0,0.909
9606.ENSP00000231454,9606.ENSP00000398698,9606.ENSP00000231454,9606.ENSP00000398698,9606,0.93,0.0,0,0.0,0.054,0.0,0.0,0.929
9606.ENSP00000231454,9606.ENSP00000370842,9606.ENSP00000231454,9606.ENSP00000370842,9606,0.938,0.0,0,0.0,0.086,0.0,0.0,0.935
9606.ENSP00000231454,9606.ENSP00000385675,9606.ENSP00000231454,9606.ENSP00000385675,9606,0.977,0.0,0,0.0,0.042,0.0,0.0,0.977
9606.ENSP00000231454,9606.ENSP00000304915,9606.ENSP00000231454,9606.ENSP00000304915,9606,0.991,0.0,0,0.0,0.406,0.0,0.0,0.986
9606.ENSP00000231454,9606.ENSP00000263341,9606.ENSP00000231454,9606.ENSP00000263341,9606,0.998,0.0,0,0.0,0.104,0.0,0.0,0.998
9606.ENSP00000231509,9606.ENSP00000263734,9606.ENSP00000231509,9606.ENSP00000263734,9606,0.718,0.0,0,0.0,0.109,0.25,0.5,0.257
9606.ENSP00000231509,9606.ENSP00000325120,9606.ENSP00000231509,9606.ENSP00000325120,9606,0.733,0.0,0,0.0,0.0,0.0,0.5,0.488
9606.ENSP00000231509,9606.ENSP00000398698,9606.ENSP00000231509,9606.ENSP00000398698,9606,0.745,0.0,0,0.0,0.086,0.0,0.0,0.733
9606.ENSP00000231509,9606.ENSP00000427514,9606.ENSP00000231509,9606.ENSP00000427514,9606,0.758,0.0,0,0.0,0.0,0.294,0.0,0.671
9606.ENSP00000231509,9606.ENSP00000451828,9606.ENSP00000231509,9606.ENSP00000451828,9606,0.791,0.0,0,0.0,0.09,0.314,0.0,0.692
9606.ENSP00000231509,9606.ENSP00000363822,9606.ENSP00000231509,9606.ENSP00000363822,9606,0.795,0.0,0,0.0,0.042,0.0,0.5,0.607
9606.ENSP00000231509,9606.ENSP00000384273,9606.ENSP00000231509,9606.ENSP00000384273,9606,0.85,0.0,0,0.0,0.054,0.739,0.0,0.443
9606.ENSP00000231509,9606.ENSP00000305422,9606.ENSP00000231509,9606.ENSP00000305422,9606,0.886,0.0,0,0.0,0.06,0.512,0.0,0.773
9606.ENSP00000231509,9606.ENSP00000405330,9606.ENSP00000231509,9606.ENSP00000405330,9606,0.896,0.0,0,0.0,0.0,0.0,0.5,0.802
9606.ENSP00000231509,9606.ENSP00000269305,9606.ENSP00000231509,9606.ENSP00000269305,9606,0.936,0.0,0,0.0,0.0,0.51,0.0,0.875
9606.ENSP00000231509,9606.ENSP00000264657,9606.ENSP00000231509,9606.ENSP00000264657,9606,0.981,0.0,0,0.0,0.062,0.736,0.0,0.932
9606.ENSP00000239223,9606.ENSP00000385675,9606.ENSP00000239223,9606.ENSP00000385675,9606,0.745,0.0,0,0.0,0.137,0.0,0.0,0.717
9606.ENSP00000239223,9606.ENSP00000440864,9606.ENSP00000239223,9606.ENSP00000440864,9606,0.794,0.0,0,0.0,0.37,0.0,0.0,0.686
9606.ENSP00000246657,9606.ENSP00000361405,9606.ENSP00000246657,9606.ENSP00000361405,9606,0.706,0.0,0,0.0,0.174,0.0,0.0,0.658
9606.ENSP00000246657,9606.ENSP00000498466,9606.ENSP00000246657,9606.ENSP00000498466,9606,0.721,0.0,0,0.0,0.064,0.0,0.0,0.714
9606.ENSP00000246657,9606.ENSP00000398698,9606.ENSP00000246657,9606.ENSP00000398698,9606,0.783,0.0,0,0.0,0.177,0.0,0.0,0.747
9606.ENSP00000246657,9606.ENSP00000263341,9606.ENSP00000246657,9606.ENSP00000263341,9606,0.804,0.0,0,0.0,0.145,0.0,0.0,0.78
9606.ENSP00000246657,9606.ENSP00000385675,9606.ENSP00000246657,9606.ENSP00000385675,9606,0.824,0.0,0,0.0,0.126,0.0,0.0,0.807
9606.ENSP00000246657,9606.ENSP00000264246,9606.ENSP00000246657,9606.ENSP00000264246,9606,0.894,0.0,0,0.0,0.179,0.098,0.0,0.868
9606.ENSP00000246657,9606.ENSP00000332049,9606.ENSP00000246657,9606.ENSP00000332049,9606,0.895,0.0,0,0.0,0.2,0.0,0.0,0.874
9606.ENSP00000246657,9606.ENSP00000386884,9606.ENSP00000246657,9606.ENSP00000386884,9606,0.959,0.0,0,0.0,0.176,0.0,0.5,0.91
9606.ENSP00000262768,9606.ENSP00000385675,9606.ENSP00000262768,9606.ENSP00000385675,9606,0.799,0.0,0,0.0,0.086,0.0,0.0,0.789
9606.ENSP00000262768,9606.ENSP00000361405,9606.ENSP00000262768,9606.ENSP00000361405,9606,0.998,0.0,0,0.0,0.133,0.303,0.0,0.997
9606.ENSP00000263339,9606.ENSP00000361405,9606.ENSP00000263339,9606.ENSP00000361405,9606,0.734,0.0,0,0.0,0.08,0.051,0.0,0.72
9606.ENSP00000263339,9606.ENSP00000386884,9606.ENSP00000263339,9606.ENSP00000386884,9606,0.745,0.0,0,0.0,0.103,0.0,0.0,0.727
9606.ENSP00000263339,9606.ENSP00000264246,9606.ENSP00000263339,9606.ENSP00000264246,9606,0.778,0.0,0,0.0,0.116,0.0,0.0,0.76
9606.ENSP00000263339,9606.ENSP00000370842,9606.ENSP00000263339,9606.ENSP00000370842,9606,0.82,0.0,0,0.0,0.085,0.0,0.0,0.812
9606.ENSP00000263339,9606.ENSP00000332049,9606.ENSP00000263339,9606.ENSP00000332049,9606,0.825,0.0,0,0.0,0.123,0.0,0.0,0.808
9606.ENSP00000263339,9606.ENSP00000337383,9606.ENSP00000263339,9606.ENSP00000337383,9606,0.845,0.0,0,0.0,0.102,0.0,0.0,0.835
9606.ENSP00000263339,9606.ENSP00000264657,9606.ENSP00000263339,9606.ENSP00000264657,9606,0.861,0.0,0,0.0,0.083,0.0,0.5,0.722
9606.ENSP00000263339,9606.ENSP00000384273,9606.ENSP00000263339,9606.ENSP00000384273,9606,0.893,0.0,0,0.0,0.059,0.0,0.4,0.827
9606.ENSP00000263339,9606.ENSP00000304915,9606.ENSP00000263339,9606.ENSP00000304915,9606,0.943,0.0,0,0.0,0.123,0.0,0.4,0.9
9606.ENSP00000263339,9606.ENSP00000385675,9606.ENSP00000263339,9606.ENSP00000385675,9606,0.989,0.0,0,0.0,0.376,0.0,0.4,0.974
9606.ENSP00000263339,9606.ENSP00000398698,9606.ENSP00000263339,9606.ENSP00000398698,9606,0.994,0.0,0,0.0,0.619,0.0,0.4,0.976
9606.ENSP00000263339,9606.ENSP00000280357,9606.ENSP00000263339,9606.ENSP00000280357,9606,0.997,0.0,0,0.0,0.066,0.0,0.5,0.994
9606.ENSP00000263339,9606.ENSP00000263341,9606.ENSP00000263339,9606.ENSP00000263341,9606,0.999,0.0,0,0.0,0.961,0.0,0.9,0.983
9606.ENSP00000263341,9606.ENSP00000385523,9606.ENSP00000263341,9606.ENSP00000385523,9606,0.711,0.0,0,0.0,0.102,0.0,0.0,0.691
9606.ENSP00000263341,9606.ENSP00000269305,9606.ENSP00000263341,9606.ENSP00000269305,9606,0.718,0.0,0,0.0,0.0,0.0,0.0,0.718
9606.ENSP00000263341,9606.ENSP00000498466,9606.ENSP00000263341,9606.ENSP00000498466,9606,0.72,0.0,0,0.0,0.131,0.0,0.0,0.692
9606.ENSP00000263341,9606.ENSP00000415743,9606.ENSP00000263341,9606.ENSP00000415743,9606,0.727,0.0,0,0.0,0.109,0.0,0.0,0.706
9606.ENSP00000263341,9606.ENSP00000380252,9606.ENSP00000263341,9606.ENSP00000380252,9606,0.749,0.0,0,0.0,0.097,0.0,0.0,0.733
9606.ENSP00000263341,9606.ENSP00000405330,9606.ENSP00000263341,9606.ENSP00000405330,9606,0.82,0.0,0,0.0,0.051,0.0,0.0,0.819
9606.ENSP00000263341,9606.ENSP00000389814,9606.ENSP00000263341,9606.ENSP00000389814,9606,0.833,0.0,0,0.0,0.0,0.0,0.0,0.833
9606.ENSP00000263341,9606.ENSP00000386884,9606.ENSP00000263341,9606.ENSP00000386884,9606,0.838,0.0,0,0.0,0.128,0.0,0.0,0.821
9606.ENSP00000263341,9606.ENSP00000264246,9606.ENSP00000263341,9606.ENSP00000264246,9606,0.855,0.0,0,0.0,0.141,0.0,0.0,0.838
9606.ENSP00000263341,9606.ENSP00000287820,9606.ENSP00000263341,9606.ENSP00000287820,9606,0.858,0.0,0,0.0,0.104,0.0,0.0,0.848
9606.ENSP00000263341,9606.ENSP00000332049,9606.ENSP00000263341,9606.ENSP00000332049,9606,0.863,0.0,0,0.0,0.283,0.0,0.0,0.817
9606.ENSP00000263341,9606.ENSP00000451828,9606.ENSP00000263341,9606.ENSP00000451828,9606,0.864,0.0,0,0.0,0.0,0.0,0.0,0.864
9606.ENSP00000263341,9606.ENSP00000370842,9606.ENSP00000263341,9606.ENSP00000370842,9606,0.89,0.0,0,0.0,0.078,0.0,0.0,0.886
9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000263341,9606.ENSP00000264657,9606,0.938,0.0,0,0.0,0.069,0.0,0.5,0.877
9606.ENSP00000263341,9606.ENSP00000361405,9606.ENSP00000263341,9606.ENSP00000361405,9606,0.949,0.0,0,0.0,0.275,0.051,0.0,0.932
9606.ENSP00000263341,9606.ENSP00000304915,9606.ENSP00000263341,9606.ENSP00000304915,9606,0.953,0.0,0,0.0,0.087,0.0,0.4,0.922
9606.ENSP00000263341,9606.ENSP00000384273,9606.ENSP00000263341,9606.ENSP00000384273,9606,0.99,0.0,0,0.0,0.118,0.0,0.9,0.903
9606.ENSP00000263341,9606.ENSP00000280357,9606.ENSP00000263341,9606.ENSP00000280357,9606,0.99,0.0,0,0.0,0.095,0.312,0.5,0.972
9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000263341,9606.ENSP00000385675,9606,0.996,0.0,0,0.0,0.515,0.0,0.4,0.989
9606.ENSP00000263341,9606.ENSP00000337383,9606.ENSP00000263341,9606.ENSP00000337383,9606,0.997,0.0,0,0.0,0.339,0.312,0.9,0.947
9606.ENSP00000263341,9606.ENSP00000398698,9606.ENSP00000263341,9606.ENSP00000398698,9606,0.998,0.0,0,0.0,0.616,0.0,0.4,0.993
9606.ENSP00000263734,9606.ENSP00000405330,9606.ENSP00000263734,9606.ENSP00000405330,9606,0.724,0.0,0,0.0,0.067,0.314,0.0,0.603
9606.ENSP00000263734,9606.ENSP00000269305,9606.ENSP00000263734,9606.ENSP00000269305,9606,0.736,0.0,0,0.0,0.0,0.0,0.0,0.736
9606.ENSP00000263734,9606.ENSP00000416293,9606.ENSP00000263734,9606.ENSP00000416293,9606,0.888,0.0,0,0.0,0.056,0.067,0.0,0.883
9606.ENSP00000264246,9606.ENSP00000304915,9606.ENSP00000264246,9606.ENSP00000304915,9606,0.707,0.0,0,0.0,0.063,0.0,0.0,0.7
9606.ENSP00000264246,9606.ENSP00000386884,9606.ENSP00000264246,9606.ENSP00000386884,9606,0.716,0.0,0,0.0,0.128,0.098,0.0,0.668
9606.ENSP00000264246,9606.ENSP00000451828,9606.ENSP00000264246,9606.ENSP00000451828,9606,0.777,0.0,0,0.0,0.0,0.102,0.5,0.544
9606.ENSP00000264246,9606.ENSP00000264657,9606.ENSP00000264246,9606.ENSP00000264657,9606,0.809,0.0,0,0.0,0.082,0.0,0.5,0.618
9606.ENSP00000264246,9606.ENSP00000385675,9606.ENSP00000264246,9606.ENSP00000385675,9606,0.847,0.0,0,0.0,0.161,0.0,0.0,0.826
