#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
0.4%,190000,380.00000000108633,-667293.6053889222,132733.05494554926,-534560.5504433729,310.365540235373,507.21095859389976,1.0098999677116456,97.8,1:0:26:06
0.4%,195000,390.0000000011341,-667054.3600042709,133118.27341626614,-533936.0865880048,311.26628450605773,507.9137734733634,1.0085025401143908,97.9,1:0:25:31
0.4%,200000,400.00000000118183,-666793.0280799363,132403.87598348304,-534389.1520964532,309.59583139052114,508.0938589365486,1.0081450930721452,97.9,1:0:25:05
0.4%,205000,410.0000000012296,-666754.5471903379,133103.5873374103,-533650.9598529276,311.2319445083843,509.2227160024867,1.005910212977362,97.9,1:0:24:24
0.4%,210000,420.00000000127733,-666687.9621087206,132762.30193758348,-533925.6601711371,310.43392755974133,509.8457623166662,1.0046809615116965,98,1:0:23:52
0.4%,215000,430.0000000013251,-665351.7610987015,132776.49984434154,-532575.26125436,310.4671260799064,508.0130539956739,1.0083054493936965,97.9,1:0:23:56
0.4%,220000,440.0000000013728,-666402.9874217161,132706.593697001,-533696.3937247151,310.30366672764467,509.3168540961763,1.0057242885000726,98,1:0:23:22
0.5%,225000,450.0000000014206,-665818.099783482,132154.1190337392,-533663.9807497428,309.01183254662664,509.1736933080136,1.0060070609286333,98,1:0:22:40
0.5%,230000,460.0000000014683,-665825.9298762949,133632.47074072054,-532193.4591355744,312.4686159860146,509.0900173303364,1.0061724120875795,98,1:0:22:25
0.5%,235000,470.00000000151607,-667723.1365730166,132195.9047355067,-535527.2318375099,309.1095387427848,507.25762114645397,1.0098070671649542,98,1:0:21:45
0.5%,240000,480.0000000015638,-666760.7758425586,132577.78656034864,-534182.9892822099,310.00248103904823,509.7028667024334,1.004962624638357,98.1,1:0:21:05
0.5%,245000,490.00000000161157,-665453.9259439968,132373.9704822454,-533079.9554617513,309.5259042947315,508.379352021526,1.0075789440899303,98.1,1:0:20:24
0.5%,250000,500.0000000016593,-666070.0146656912,131934.20933255204,-534135.8053331391,308.49762458810454,509.58001651094105,1.0052049022922669,98.2,1:0:19:35
0.5%,255000,510.00000000170706,-666693.9996910016,133334.19417711033,-533359.8055138913,311.7711652504581,506.6856744656647,1.0109469371660385,98.2,1:0:19:11
0.5%,260000,520.0000000015274,-666178.9357311972,132779.09794374192,-533399.8377874553,310.473201134265,509.02412041797913,1.0063026684990068,98.2,1:0:18:40
0.5%,265000,530.0000000012909,-666205.5554063525,133921.4637592974,-532284.0916470551,313.144359299326,507.16922511075313,1.0099830694480987,98.2,1:0:17:59
0.5%,270000,540.0000000010544,-665418.4936577366,132460.40497213678,-532958.0886855999,309.7280113520964,507.1668816774845,1.0099877362116654,98.3,1:0:17:41
0.6%,275000,550.000000000818,-666758.0779733579,131974.77967267123,-534783.2983006866,308.59248894223083,510.39305979523164,1.0036036362102543,98.3,1:0:17:13
0.6%,280000,560.0000000005815,-666659.4134198935,131664.12210677215,-534995.2913131213,307.8660880972565,507.2486571413683,1.0098249122899399,98.3,1:0:16:45
0.6%,285000,570.000000000345,-667448.7789793941,133512.75436752313,-533936.024611871,312.1886869445435,507.7156815451692,1.008896020599673,98.3,1:0:16:14
0.6%,290000,580.0000000001086,-667404.9724375294,132680.00427741028,-534724.9681601191,310.2414935215868,508.0268722219205,1.0082780236932323,98.4,1:0:15:32
0.6%,295000,589.9999999998721,-666423.8975587953,132930.71539584265,-533493.1821629526,310.8277234682056,508.13840119815,1.008056721356168,98.4,1:0:15:04
0.6%,300000,599.9999999996356,-666212.3433613703,132484.38557433867,-533727.9577870315,309.78408444225937,509.04188125379204,1.0062675578781886,98.4,1:0:15:06
0.6%,305000,609.9999999993992,-665653.5164010068,133122.08285901055,-532531.4335419963,311.2751920065734,506.89388532493297,1.010531682343371,98.4,1:0:15:00
0.6%,310000,619.9999999991627,-665559.2611275162,132901.22711709928,-532658.0340104168,310.75877195069137,510.10166862503445,1.0041769361148747,98.4,1:0:15:02
0.6%,315000,629.9999999989262,-666041.5038110418,132357.843202457,-533683.6606085848,309.48819438210944,509.4401482796213,1.0054808841367924,98.4,1:0:14:53
0.6%,320000,639.9999999986898,-667674.1720563467,132986.4326430721,-534687.7394132746,310.95800536026246,507.84979932545446,1.00862958179237,98.4,1:0:14:43
0.7%,325000,649.9999999984533,-665741.6566046225,133347.41596609284,-532394.2406385296,311.8020813450369,508.61013231127214,1.0071217582301,98.4,1:0:14:29
0.7%,330000,659.9999999982168,-666084.7988605574,133035.50649277808,-533049.2923677793,311.0727532042089,508.92685291546115,1.006494995837958,98.4,1:0:14:15
0.7%,335000,669.9999999979804,-666125.3123497451,131582.3397037077,-534542.9726460373,307.67485886864233,509.667980483397,1.0050314132371883,98.4,1:0:14:06
0.7%,340000,679.9999999977439,-666942.3879302088,132993.66062447804,-533948.7273057308,310.9749063225343,508.9884663943257,1.0063731587782845,98.4,1:0:13:45
0.7%,345000,689.9999999975074,-665852.814891777,133179.1427866659,-532673.6721051111,311.4086134461674,510.712250137074,1.0029763933986118,98.4,1:0:13:32
0.7%,350000,699.999999997271,-666250.0832897588,132042.6503164349,-534207.4329733239,308.75118874030665,508.621767102511,1.007098720184607,98.4,1:0:13:18
0.7%,355000,709.9999999970345,-667181.1672003292,132784.8833396685,-534396.2838606607,310.4867289441461,508.50112753476077,1.007337649751733,98.4,1:0:13:03
0.7%,360000,719.999999996798,-665702.4039805708,132025.4016157954,-533677.0023647754,308.71085664447304,508.8990341743655,1.0065500154426792,98.4,1:0:12:57
0.7%,365000,729.9999999965615,-666161.6972539471,132888.90175498364,-533272.7954989634,310.72995194294583,509.59333063769964,1.0051786393396673,98.4,1:0:12:47
0.7%,370000,739.9999999963251,-667228.1096147541,132442.20563309983,-534785.9039816542,309.6854564083076,507.0115753229489,1.0102971128039786,98.4,1:0:12:35
0.8%,375000,749.9999999960886,-665340.7343814909,132751.74315523996,-532588.9912262509,310.4092382900819,510.2143251205139,1.0039552115397419,98.4,1:0:12:22
0.8%,380000,759.9999999958521,-665506.8927649935,133968.35824813443,-531538.5345168591,313.2540112120914,509.82336808656146,1.0047250925932483,98.4,1:0:12:17
0.8%,385000,769.9999999956157,-666902.6116270791,133341.67724700517,-533560.9343800739,311.7886626781447,508.42906470419473,1.0074804260157515,98.4,1:0:12:08
0.8%,390000,779.9999999953792,-666973.7370450534,133118.73310715723,-533855.0039378961,311.2673593868538,505.9389559757545,1.0124390001143129,98.4,1:0:12:04
0.8%,395000,789.9999999951427,-667276.154522032,132746.84614686682,-534529.3083751652,310.3977877689597,507.46999821119925,1.0093844611751628,98.4,1:0:11:54
0.8%,400000,799.9999999949063,-667150.8902619863,132898.7348570368,-534252.1554049496,310.7529443771376,508.2317158160226,1.007871635646599,98.4,1:0:11:40
0.8%,405000,809.9999999946698,-666425.5874801301,132622.63341836532,-533802.9540617648,310.10734504087446,507.95924111631723,1.0084122686325465,98.4,1:0:11:29
0.8%,410000,819.9999999944333,-666889.9829534502,132498.93149779836,-534391.0514556519,309.81809671896497,510.702892531509,1.002994770928126,98.4,1:0:11:20
0.8%,415000,829.9999999941969,-666976.2809502999,134286.90262168413,-532689.3783286158,313.9988535320866,508.5652161468551,1.0072107065990492,98.4,1:0:10:56
0.8%,420000,839.9999999939604,-666848.881626884,133092.41269065917,-533756.4689362248,311.20581518229227,508.7649915859411,1.006815207764635,98.4,1:0:10:42
0.8%,425000,849.9999999937239,-665315.3465165105,132795.90527475195,-532519.4412417585,310.5125011893341,508.11042358724177,1.0081122270443301,98.4,1:0:10:19
0.9%,430000,859.9999999934874,-666276.7134612324,132383.38117834274,-533893.3322828896,309.54790903032233,509.079389310941,1.0061934178877265,98.5,1:0:10:05
0.9%,435000,869.999999993251,-666380.180265463,132969.91214479756,-533410.2681206653,310.91937599718455,509.2933840964634,1.0057706357519698,98.5,1:0:09:48
0.9%,440000,879.9999999930145,-665441.5794587475,133346.14741189225,-532095.4320468553,311.79911512452804,508.47068327998556,1.0073979632468117,98.5,1:0:09:33
0.9%,445000,889.999999992778,-666105.0457481886,133114.12270463342,-532990.9230435552,311.2565790272019,510.8191436013865,1.0027665116378028,98.5,1:0:09:13
0.9%,450000,899.9999999925416,-666058.0564703392,132011.88213810805,-534046.1743322312,308.6792444737305,508.5571564939714,1.007226668951702,98.5,1:0:09:03
0.9%,455000,909.9999999923051,-666452.479526313,132209.44356484484,-534243.0359614682,309.1411961628857,508.71973587701456,1.0069047740479382,98.5,1:0:08:45
0.9%,460000,919.9999999920686,-665931.5775963194,132748.32990362475,-533183.2476926947,310.40125719086024,507.48536393374286,1.0093538988719468,98.5,1:0:08:22
0.9%,465000,929.9999999918322,-665023.3812598968,131812.1225535078,-533211.258706389,308.21215290097126,507.91565661017387,1.008498801012766,98.5,1:0:08:03
0.9%,470000,939.9999999915957,-665059.8242700095,133728.1851609343,-531331.6391090752,312.6924220134593,508.61637811734613,1.0071093907809467,98.5,1:0:07:52
0.9%,475000,949.9999999913592,-666125.4275281946,132691.3185392587,-533434.108988936,310.2679493052828,507.6520939570179,1.0090223931004647,98.5,1:0:07:38
1.0%,480000,959.9999999911228,-665111.0087829344,132655.27725641322,-532455.7315265212,310.1836751037608,509.7892041074789,1.0047924251431934,98.5,1:0:07:23
1.0%,485000,969.9999999908863,-665930.367138553,132897.8084346347,-533032.5587039182,310.7507781526849,509.6307230905112,1.0051048877129782,98.5,1:0:07:07
1.0%,490000,979.9999999906498,-666485.7190846112,132429.02750202775,-534056.6915825834,309.65464239765174,509.5229383838697,1.0053175080433008,98.5,1:0:06:52
1.0%,495000,989.9999999904134,-667447.4284366369,132132.4762112588,-535314.9522253781,308.9612258134801,508.17526657780985,1.0079835922682419,98.6,1:0:06:41
1.0%,500000,999.9999999901769,-664627.2388063967,132692.8926420738,-531934.3461643229,310.2716299805358,510.6569199586859,1.003085066875063,98.5,1:0:06:38
1.0%,505000,1009.9999999899404,-667229.2658320903,132077.09332659934,-535152.172505491,308.83172575093596,508.60742048790144,1.007127128061941,98.6,1:0:06:22
1.0%,510000,1019.999999989704,-665640.8040799703,132273.9819456181,-533366.8221343523,309.2921042349016,508.74560975074,1.0068535647077927,98.6,1:0:06:02
1.0%,515000,1029.9999999894676,-666047.9103094912,133234.77232139139,-532813.1379880998,311.53869024282665,511.5569302768081,1.0013202840000597,98.6,1:0:05:41
1.0%,520000,1039.9999999892311,-665715.3803082532,132984.76059981465,-532730.6197084386,310.9540956739442,511.0480181398971,1.0023174193520712,98.6,1:0:05:21
1.1%,525000,1049.9999999889947,-665758.9215236106,132124.9980329725,-533633.9234906381,308.9437398236884,507.49053500817746,1.0093436140611336,98.6,1:0:05:08
1.1%,530000,1059.9999999887582,-667220.4702071655,133107.8266644897,-534112.6435426758,311.24185719396036,508.6780529981363,1.0069872833865883,98.6,1:0:04:53
1.1%,535000,1069.9999999885217,-667879.7583925617,133218.91521737998,-534660.8431751817,311.50161207375197,507.49732664923926,1.0093301064046898,98.6,1:0:04:47
1.1%,540000,1079.9999999882853,-667075.062776777,132859.6314514607,-534215.4313253162,310.66151011005445,506.0398127351896,1.012237214969928,98.6,1:0:04:33
1.1%,545000,1089.9999999880488,-666093.5549441492,132121.6984142181,-533971.8565299311,308.9360244286219,509.0722280192186,1.0062075723518633,98.6,1:0:04:19
1.1%,550000,1099.9999999878123,-665404.567734628,133068.19069472508,-532336.3770399028,311.14917764873485,507.73334250263173,1.0088609272382327,98.6,1:0:04:05
1.1%,555000,1109.9999999875758,-666251.8494777479,132891.34343560901,-533360.5060421389,310.73566124818774,507.64640602008535,1.0090336987172628,98.6,1:0:03:48
1.1%,560000,1119.9999999873394,-668042.4076940021,133581.3726203608,-534461.0350736413,312.3491348534741,509.2940467488423,1.0057693271242556,98.6,1:0:03:36
1.1%,565000,1129.999999987103,-666670.0248482437,132574.3414034854,-534095.6834447583,309.9944253367856,510.4696562732127,1.0034530444897123,98.6,1:0:03:22
1.1%,570000,1139.9999999868664,-667221.1547732791,132593.6890098296,-534627.4657634494,310.03966523801245,509.5308331674406,1.005301931431191,98.6,1:0:03:08
1.1%,575000,1149.99999998663,-666661.6789866416,133118.27033203503,-533543.4086546066,311.2662772942969,511.0511937967094,1.002311190981647,98.6,1:0:03:00
1.2%,580000,1159.9999999863935,-666720.8281006361,133471.16037160228,-533249.6677290339,312.0914290081552,507.66759419932004,1.0089915853598093,98.6,1:0:02:46
1.2%,585000,1169.999999986157,-666304.6804789421,133008.3313915956,-533296.3490873466,311.0092105172504,507.0363315379793,1.0102477847163969,98.7,1:0:02:36
1.2%,590000,1179.9999999859206,-665696.8057015957,132807.17264651362,-532889.633055082,310.5388473314106,508.73165595112556,1.0068811812964573,98.7,1:0:02:23
1.2%,595000,1189.999999985684,-665726.5571170696,132715.0447047301,-533011.5124123394,310.32342745401724,508.7749297408033,1.0067955411402252,98.7,1:0:02:08
1.2%,600000,1199.9999999854476,-665389.3628281276,132726.71905803715,-532662.6437700904,310.3507252282795,509.33395362606853,1.0056905239877871,98.7,1:0:02:04
1.2%,605000,1209.9999999852112,-666914.1912662797,133174.4998280194,-533739.6914382603,311.3977569615547,510.1600267902701,1.0040620664259803,98.7,1:0:01:51
1.2%,610000,1219.9999999849747,-666490.9194529136,132888.1676616649,-533602.7517912487,310.72823543555774,509.29594275276474,1.005765582852155,98.7,1:0:01:38
1.2%,615000,1229.9999999847382,-666053.0233903406,133020.96028916404,-533032.0631011766,311.03874027242716,509.1161915471858,1.0061206836701,98.7,1:0:01:26
1.2%,620000,1239.9999999845018,-666776.3370022615,132806.89554001534,-533969.4414622462,310.53819938197495,508.88269464175266,1.0065823343974736,98.7,1:0:01:10
1.2%,625000,1249.9999999842653,-667948.4813790563,132869.72498285084,-535078.7563962055,310.68511149799855,508.8821108106,1.006583489231004,98.7,1:0:01:00
1.3%,630000,1259.9999999840288,-666825.2672050423,133252.40908294992,-533572.8581220924,311.57992972933863,507.97794956590025,1.008375129559674,98.7,1:0:00:51
1.3%,635000,1269.9999999837923,-666637.7665487775,133461.1672067261,-533176.5993420514,312.0680623040834,508.56817133473237,1.0072048538991798,98.7,1:0:00:41
1.3%,640000,1279.9999999835559,-666060.9456317485,131433.76842314692,-534627.1772086016,307.32745930209404,507.2520141464242,1.0098182292463218,98.7,1:0:00:29
1.3%,645000,1289.9999999833194,-666187.9856967456,132850.82266376313,-533337.1630329825,310.64091279800056,509.6286316809493,1.0051090124537057,98.7,1:0:00:20
1.3%,650000,1299.999999983083,-667307.7677779528,133480.98899324102,-533826.7787847118,312.1144109659345,507.6971230387235,1.0089329000745642,98.7,1:0:00:07
1.3%,655000,1309.9999999828465,-666827.5044006556,132663.87818754118,-534163.6262131145,310.20378639131576,506.15039981209696,1.0120160547085078,98.7,23:59:57
1.3%,660000,1319.99999998261,-665918.8584062103,132746.2182850524,-533172.640121158,310.396319659367,508.70436645481004,1.0069351955375354,98.7,23:59:44
1.3%,665000,1329.9999999823735,-666910.9143759347,132444.62562041043,-534466.2887555243,309.69111498875185,508.07616501538723,1.0081802020597816,98.7,23:59:34
1.3%,670000,1339.999999982137,-667755.849746645,133157.07480875042,-534598.7749378945,311.3570125853987,506.468897331621,1.0113796393139172,98.7,23:59:24
1.4%,675000,1349.9999999819006,-665936.0270840633,132732.48099917534,-533203.5460848879,310.36419819456427,508.048497185776,1.0082351065781545,98.7,23:59:10
1.4%,680000,1359.9999999816641,-668603.410294164,132945.9418064581,-535657.4684877058,310.86332690668934,506.2658107899056,1.0117853502841863,98.7,23:59:00
1.4%,685000,1369.9999999814277,-666407.3460370023,131377.72209707453,-535029.6239399278,307.1964079352977,507.05411831433,1.0102123465831552,98.7,23:58:49
1.4%,690000,1379.9999999811912,-665553.0764835356,132561.68537505032,-532991.3911084853,309.9648321423541,509.96504471510906,1.004445963532912,98.7,23:58:40
1.4%,695000,1389.9999999809547,-666930.0638724705,133357.39158460754,-533572.672287863,311.8254070210019,508.68246581481975,1.0069785477792441,98.7,23:58:26
1.4%,700000,1399.9999999807183,-665955.9168105614,132565.21526595764,-533390.7015446038,309.973085975575,508.21017675121715,1.0079143514627493,98.7,23:58:15
1.4%,705000,1409.9999999804818,-666650.0078340247,131720.61732715525,-534929.3905068694,307.9981890995435,508.6698630437997,1.007003496613413,98.7,23:58:04
1.4%,710000,1419.9999999802453,-667180.7497269283,132459.97084793117,-534720.7788789971,309.72699625307945,508.3552586866477,1.0076266979716924,98.7,23:57:56
1.4%,715000,1429.9999999800089,-666274.8909150423,132583.70220149524,-533691.1887135471,310.01631339724304,508.82059079084115,1.0067051923170567,98.7,23:57:43
1.4%,720000,1439.9999999797724,-665721.6920252084,132861.1246485763,-532860.567376632,310.66500160604727,511.0849372898315,1.0022450151304105,98.7,23:57:35
1.4%,725000,1449.999999979536,-665375.6465764032,132491.6025130591,-532884.0440633441,309.800959583766,510.4236140609369,1.0035435598906663,98.7,23:57:27
1.5%,730000,1459.9999999792994,-667182.5908240387,132374.04454020353,-534808.5462838352,309.5260774621327,508.17463133020857,1.0079848523058739,98.7,23:57:14
1.5%,735000,1469.999999979063,-665531.8639757601,133475.7754908186,-532056.0884849415,312.1022203967013,509.4866249987922,1.0053891615077952,98.7,23:57:08
1.5%,740000,1479.9999999788265,-667714.6165998382,133074.2407801773,-534640.375819661,311.1633243738337,507.65744460762363,1.0090117581214328,98.7,23:57:00
1.5%,745000,1489.99999997859,-667355.3000944643,133028.75073998616,-534326.5493544781,311.05695643929744,507.3641427175272,1.0095950572371357,98.7,23:56:50
1.5%,750000,1499.9999999783536,-665656.9338782486,133052.71492226335,-532604.2189559853,311.11299113526525,508.08515262147824,1.0081623681859164,98.7,23:56:41
1.5%,755000,1509.999999978117,-666372.3343425798,133024.0162329182,-533348.3181096616,311.04588588988145,510.075416773328,1.0042286176959645,98.7,23:56:31
1.5%,760000,1519.9999999778806,-665414.4094834626,133144.34952827625,-532270.0599551863,311.32725746109577,506.3950543546124,1.0115271195920332,98.7,23:56:17
1.5%,765000,1529.9999999776442,-665673.9059324483,132336.04722510607,-533337.8587073423,309.4372295317317,509.31037142815745,1.0057370896858457,98.7,23:56:08
1.5%,770000,1539.9999999774077,-667835.0577232847,132246.67296302013,-535588.3847602645,309.22824849722736,508.09355652917645,1.008145693100436,98.7,23:55:54
1.6%,775000,1549.9999999771712,-667214.1340081636,132260.04970613396,-534954.0843020296,309.2595269161925,507.2140505981306,1.00989381130693,98.7,23:55:42
1.6%,780000,1559.9999999769348,-667173.2643828914,132769.6092641105,-534403.6551187809,310.4510140522218,506.589113210298,1.011139634369386,98.7,23:55:33
1.6%,785000,1569.9999999766983,-666286.0385445673,131885.39507889812,-534400.6434656691,308.3834837494664,506.9874426311425,1.0103452031249727,98.7,23:55:22
1.6%,790000,1579.9999999764618,-667659.1733537875,133398.5307682626,-534260.6425855249,311.9216014841308,508.90338186733794,1.006541416226041,98.7,23:55:14
1.6%,795000,1589.9999999762254,-666053.7656805194,133544.49481519166,-532509.2708653277,312.2629046380337,507.51848220446027,1.0092880331806573,98.7,23:55:06
1.6%,800000,1599.9999999759889,-666257.2188296472,132867.10224984115,-533390.116579806,310.6789788436437,508.07056911236623,1.0081913061838572,98.7,23:54:58
1.6%,805000,1609.9999999757524,-666295.4799282658,133575.34714363806,-532720.1327846277,312.33504567019565,508.6221259307772,1.0070980096856548,98.7,23:54:52
1.6%,810000,1619.999999975516,-665628.6684504608,132079.2265978991,-533549.4418525617,308.8367139123227,508.1360687968162,1.0080613484491572,98.7,23:54:36
1.6%,815000,1629.9999999752795,-666615.6401098301,132316.9653052562,-534298.6748045739,309.3926108769033,507.86404335057927,1.0086012928333605,98.7,23:54:30
1.6%,820000,1639.999999975043,-666058.5222619297,132489.91908353107,-533568.6031783987,309.7970232732883,508.58783054262875,1.0071659208999455,98.7,23:54:19
1.6%,825000,1649.9999999748065,-667339.7256775936,132105.04887604216,-535234.6768015515,308.8970933355889,507.0787429393783,1.0101632889158796,98.8,23:54:08
1.7%,830000,1659.99999997457,-666739.2553090127,132649.34030870805,-534089.9150003047,310.16979292510814,507.1343663902164,1.0100524923070053,98.8,23:53:54
1.7%,835000,1669.9999999743336,-667527.2775400099,132695.33405199976,-534831.9434880102,310.27733865280976,507.9129433954246,1.0085041883017831,98.8,23:53:40
1.7%,840000,1679.9999999740971,-667724.0239261184,132332.1131322981,-535391.9107938203,309.4280305658812,506.35363797854467,1.0116098558151891,98.8,23:53:32
1.7%,845000,1689.9999999738607,-668149.2517690901,132893.1395933472,-535256.1121757429,310.7398611475044,507.58755455496953,1.0091506895910303,98.8,23:53:17
1.7%,850000,1699.9999999736242,-666595.610938929,132821.63655491915,-533773.9743840098,310.57266783488683,509.6639934193842,1.0050392755241677,98.8,23:53:03
1.7%,855000,1709.9999999733877,-665964.639984068,131755.5936492768,-534209.0463347912,308.07997313679897,508.60190321152174,1.0071380533036278,98.8,23:52:53
1.7%,860000,1719.9999999731513,-667113.6594446898,132603.88109999834,-534509.7783446914,310.0634970828581,506.5808957821983,1.0111560364234573,98.8,23:52:39
1.7%,865000,1729.9999999729148,-666704.1402640282,132988.09434606944,-533716.0459179587,310.9618908682747,509.9906302570749,1.0043955718338733,98.8,23:52:25
1.7%,870000,1739.9999999726783,-665780.4489801773,132291.87281635808,-533488.5761638192,309.33393789694435,507.91769094153307,1.0084947617348021,98.8,23:52:19
1.8%,875000,1749.9999999724419,-666337.6156166038,133606.28732349526,-532731.3282931085,312.40739212255676,508.2524911968976,1.0078304377824145,98.8,23:52:08
1.8%,880000,1759.9999999722054,-666680.589873815,133565.22446502873,-533115.3654087862,312.31137612822283,507.21069373754835,1.009900495063344,98.8,23:52:04
1.8%,885000,1769.999999971969,-665183.2142721028,132900.1908462505,-532283.0234258523,310.75634887106025,509.3543951710403,1.0056501633503436,98.8,23:51:54
1.8%,890000,1779.9999999717324,-667472.3137701545,132276.0922853487,-535196.2214848058,309.29703877611917,507.4866481563602,1.0093513446469036,98.8,23:51:42
1.8%,895000,1789.999999971496,-665604.7994992412,133313.1736595885,-532291.6258396527,311.7220136334825,509.1433696067119,1.006066976974769,98.8,23:51:33
1.8%,900000,1799.9999999712595,-667217.7065189658,131776.18010032194,-535441.5264186438,308.1281097897433,508.3032803090526,1.0077297364587745,98.8,23:51:24
1.8%,905000,1809.999999971023,-664601.3256192077,132655.11599031737,-531946.2096288903,310.1832980203057,508.5801787584698,1.0071810740981253,98.8,23:51:16
1.8%,910000,1819.9999999707866,-668812.1535272258,133111.7135709771,-535700.4399562487,311.25094582551714,508.7567435544796,1.0068315303856417,98.8,23:51:06
1.8%,915000,1829.99999997055,-668570.3453735043,132639.48612826155,-535930.8592452428,310.1467512039701,506.9131359912007,1.010493306127036,98.8,23:50:56
1.8%,920000,1839.9999999703136,-666631.310361498,132657.9694913778,-533973.3408701202,310.18997027235736,507.2140749423191,1.0098937628361824,98.8,23:50:47
1.9%,925000,1849.9999999700772,-666219.7671273411,133421.05949731142,-532798.7076300296,311.9742797048266,506.8652268243075,1.010588818483942,98.8,23:50:40
1.9%,930000,1859.9999999698407,-666303.7848442541,131496.78925650177,-534806.9955877524,307.47481894056756,509.59699679279237,1.0051714078590839,98.8,23:50:31
